Bin,PopulationSum
-20000.0,-1478980.3921568627
-19800.0,-98456.4705882353
-19000.0,-19000.0
-18800.0,-18800.0
-18400.0,-51808.62745098039
-18200.0,-49247.05882352941
-17800.0,-14938.039215686274
-17600.0,-46726.274509803916
-16800.0,-13110.588235294117
-16700.0,-16799.792240947485
-16600.0,-58913.725490196084
-16200.0,-28588.235294117647
-16000.0,-35262.74509803922
-15800.0,-15800.0
-15600.0,-36705.882352941175
-15000.0,-40588.23529411765
-14600.0,-9847.843137254902
-14400.0,-18804.70588235294
-14200.0,-31908.235294117647
-14000.0,-22729.41176470588
-13600.0,-16693.333333333336
-13200.0,-28263.529411764706
-13100.0,-13199.861313268542
-13000.0,-19831.37254901961
-12800.0,-25600.0
-12200.0,-24256.470588235297
-12000.0,-18023.529411764706
-11800.0,-24340.392156862745
-11600.0,-17559.21568627451
-11400.0,-5498.823529411765
-11200.0,-27846.274509803923
-11000.0,-5823.529411764706
-10800.0,-5040.0
-10600.0,-10475.29411764706
-10400.0,-8442.35294117647
-10000.0,-15921.56862745098
-9800.0,-3881.5686274509803
-9600.0,-13778.823529411766
-9400.0,-13381.176470588234
-9300.0,-9399.991689638235
-9200.0,-7179.607843137255
-9000.0,-28411.76470588235
-8900.0,-8991.69582329318
-8800.0,-10801.56862745098
-8600.0,-3203.921568627451
-8400.0,-8400.0
-8200.0,-2829.8039215686276
-8000.0,-12454.901960784315
-7800.0,-2508.2352941176473
-7600.0,-7212.549019607843
-7200.0,-9176.470588235294
-6900.0,-6998.941661521792
-6800.0,-4266.666666666667
-6600.0,-8385.882352941177
-6400.0,-3312.9411764705883
-6200.0,-3136.470588235294
-6000.0,-8729.411764705883
-5900.0,-5929.278376172352
-5800.0,-15466.666666666666
-5600.0,-1207.843137254902
-5500.0,-5599.9754588175565
-5400.0,-11117.64705882353
-5200.0,-6056.470588235295
-5000.0,-10862.745098039215
-4800.0,-1938.8235294117646
-4600.0,-1695.686274509804
-4400.0,-1518.4313725490197
-4300.0,-4399.915464527905
-4200.0,-4941.176470588235
-4100.0,-4198.595433637034
