Bin,PopulationSum
-20000.0,-5897803.9215686275
-19800.0,-135261.17647058822
-19600.0,-37970.19607843137
-19400.0,-90761.56862745098
-19200.0,-36065.882352941175
-19000.0,-33827.450980392154
-18800.0,-66647.84313725491
-18600.0,-98324.70588235294
-18400.0,-16018.823529411766
-18200.0,-65091.76470588236
-18000.0,-46376.470588235294
-17800.0,-16124.70588235294
-17600.0,-14494.117647058823
-17400.0,-28727.05882352941
-17200.0,-13355.29411764706
-17000.0,-14866.666666666666
-16800.0,-13308.235294117647
-16600.0,-12954.509803921568
-16400.0,-12541.176470588234
-16200.0,-23823.529411764706
-16000.0,-40094.117647058825
-15900.0,-27732.007501052663
-15800.0,-11400.78431372549
-15700.0,-11586.527908668915
-15600.0,-43802.35294117647
-15500.0,-14742.416165597926
-15400.0,-22163.92156862745
-15000.0,-12235.29411764706
-14800.0,-9692.549019607843
-14700.0,-12709.721554324205
-14600.0,-19123.13725490196
-14500.0,-9618.781976214577
-14400.0,-29760.0
-14200.0,-8687.058823529413
-14000.0,-8894.117647058823
-13800.0,-27058.823529411762
-13600.0,-36640.0
-13500.0,-13598.06713711936
-13200.0,-19204.70588235294
-13000.0,-7596.07843137255
-12800.0,-21182.745098039213
-12700.0,-8482.635648450198
-12600.0,-5929.411764705882
-12400.0,-26745.098039215685
-12200.0,-6745.882352941177
-12000.0,-15011.764705882353
-11800.0,-11846.274509803921
-11700.0,-9716.24672322827
-11600.0,-5777.254901960784
-11400.0,-15591.41318506283
-11300.0,-9207.93415280113
-11200.0,-5665.882352941177
-11100.0,-23578.38355913431
-11000.0,-20058.823529411766
-10900.0,-5995.980782553133
-10800.0,-5209.411764705882
-10600.0,-10516.86274509804
-10400.0,-27666.980375323576
-10200.0,-4120.0
-10000.0,-15607.843137254902
-9800.0,-8032.156862745098
-9700.0,-9796.783337324858
-9500.0,-8620.440138040454
-9400.0,-15150.588235294117
-9200.0,-15730.196078431372
-9100.0,-4140.487014920104
-9000.0,-10023.529411764706
-8800.0,-10145.882352941175
-8600.0,-3237.6470588235293
-8400.0,-6818.823529411764
-8300.0,-5170.638564770479
-8200.0,-5466.666666666667
-8000.0,-21835.294117647056
-7800.0,-10828.235294117647
-7600.0,-6854.901960784315
-7400.0,-15380.392156862745
-7200.0,-12564.70588235294
-7100.0,-13156.84097964
-7000.0,-7356.862745098039
-6800.0,-1920.0
