Bin,PopulationSum
-20000.0,-39529.41176470588
-19600.0,-18293.333333333332
-19400.0,-18258.823529411766
-18800.0,-33840.0
-18000.0,-14611.764705882353
-17000.0,-13066.666666666668
-16600.0,-12043.13725490196
-14800.0,-9402.35294117647
-14400.0,-9317.64705882353
-13400.0,-7987.450980392156
-12400.0,-13421.176470588234
-9800.0,-3920.0
-9600.0,-3689.4117647058824
-9200.0,-1370.9803921568628
-9000.0,-2400.0
-8000.0,-2039.2156862745096
-7800.0,-3823.5294117647054
-7600.0,-1639.2156862745098
-7200.0,-1157.6470588235295
-7000.0,-823.5294117647059
-6800.0,-2480.0
-6400.0,-1104.313725490196
-6200.0,-1167.0588235294117
-5800.0,-1250.9803921568628
-5600.0,-1888.627450980392
-5400.0,-1355.2941176470588
-5200.0,-326.27450980392155
-5000.0,-803.921568627451
-4800.0,-1072.9411764705883
-4600.0,-162.35294117647058
-4400.0,-810.9803921568628
-4200.0,-411.7647058823529
-4000.0,-956.8627450980392
-3800.0,-1773.3333333333335
-3600.0,-2047.0588235294117
-3400.0,-80.0
-3200.0,-539.6078431372549
-3000.0,-376.47058823529414
-2800.0,-966.2745098039215
-2600.0,-469.01960784313724
-2400.0,-658.8235294117648
-2200.0,-1371.764705882353
-2000.0,-439.2156862745098
-1800.0,-592.9411764705882
-1700.0,-322.73640848964305
-1600.0,-407.843137254902
-1400.0,-576.4705882352943
-1300.0,-82.28272589515237
-1200.0,-917.6470588235295
-1100.0,-1050.8561142209103
-1000.0,-400.2216253542433
-900.0,-42.55718105411997
-800.0,-1694.1176470588236
-700.0,-139.1546662694172
-600.0,-1108.235294117647
-500.0,-330.9473423139722
-400.0,-445.4901960784313
-200.0,-534.9019607843137
-100.0,-240.71514945096402
0.0,0.0
100.0,13846.309867265292
200.0,19658.144448890227
300.0,16871.158385273844
400.0,12212.282320930179
500.0,7727.412581432236
600.0,7504.532711165648
700.0,6650.077054634718
800.0,6091.804739429584
900.0,4201.765755731452
1000.0,4658.988138516392
1100.0,5211.383374387222
1200.0,6651.203025356381
1300.0,3076.5334696206687
1400.0,6442.305144641761
1500.0,5830.245761647054
1600.0,2500.413394622662
1700.0,6326.008782241117
1800.0,1325.127308148102
1900.0,898.3634913025095
2100.0,2049.3509755805135
2200.0,935.2380397307522
2400.0,3451.9591815033086
2500.0,2060.0334970848235
2700.0,2671.475105145946
2800.0,2738.5204104222357
2900.0,2810.335117958486
3000.0,2969.3800165737375
3100.0,2585.2596197927696
3200.0,6375.2555538835
3300.0,3266.8043373264372
3500.0,2979.8858646519043
3600.0,3286.4215055900318
3700.0,7368.039206009358
3800.0,3706.271858451888
3900.0,3623.825138635466
4100.0,4018.139734032564
4200.0,4102.934336833656
4400.0,4364.062074244022
4500.0,4290.918468495765
4700.0,4416.731447140565
4900.0,4864.881655156612
5000.0,4986.680757880211
5100.0,10087.375644700602
