Bin,PopulationSum
-20000.0,-2258039.2156862747
-19800.0,-97291.76470588235
-19600.0,-36356.078431372545
-19400.0,-34996.078431372545
-19200.0,-53985.882352941175
-19100.0,-19198.25594601035
-19000.0,-71082.35294117648
-18800.0,-52418.82352941176
-18400.0,-53251.76470588235
-18200.0,-31189.803921568626
-18000.0,-50894.117647058825
-17800.0,-29666.666666666668
-17600.0,-29195.294117647056
-17400.0,-62025.88235294118
-17200.0,-16120.78431372549
-17000.0,-59333.333333333336
-16800.0,-26418.823529411766
-16600.0,-16600.0
-16400.0,-12348.235294117647
-16200.0,-13468.235294117649
-16000.0,-48564.70588235294
-15600.0,-49247.05882352941
-15400.0,-31887.058823529413
-15300.0,-26013.7692766248
-15200.0,-56865.882352941175
-14800.0,-74464.3137254902
-14400.0,-25411.76470588235
-14200.0,-9132.549019607844
-14000.0,-56274.509803921566
-13800.0,-22945.882352941175
-13600.0,-44106.66666666667
-13400.0,-15974.901960784315
-13200.0,-38616.470588235294
-13100.0,-13198.075214982033
-13000.0,-33698.03921568627
-12900.0,-10739.55233891805
-12800.0,-47385.09803921569
-12600.0,-34291.76470588236
-12400.0,-41673.72549019608
-12200.0,-36169.41176470589
-12000.0,-54635.294117647056
-11800.0,-45534.11764705882
-11600.0,-41168.62745098039
-11400.0,-49355.294117647056
-11200.0,-16382.745098039217
-11000.0,-45380.39215686274
-10800.0,-15162.35294117647
-10600.0,-22821.176470588238
-10400.0,-24552.156862745098
-10200.0,-18800.0
-10000.0,-25058.82352941177
-9800.0,-31744.313725490196
-9600.0,-35576.4705882353
-9400.0,-14818.823529411766
-9300.0,-8399.077965203454
-9200.0,-23126.274509803923
-9000.0,-3529.4117647058824
-8800.0,-18428.235294117647
-8600.0,-25260.392156862745
-8400.0,-6094.117647058823
-8200.0,-10097.254901960785
-8000.0,-22054.901960784315
-7800.0,-20341.176470588238
-7600.0,-16779.607843137255
-7400.0,-20981.176470588238
-7200.0,-19849.41176470588
-7000.0,-12490.196078431372
-6900.0,-4776.333142802295
-6800.0,-10373.333333333332
-6600.0,-13407.058823529413
-6400.0,-22814.117647058825
-6300.0,-2533.9356410267087
-6200.0,-14515.294117647058
-6000.0,-26941.176470588238
-5800.0,-16603.92156862745
-5600.0,-9992.156862745098
-5400.0,-13574.117647058823
-5200.0,-13662.745098039217
-5100.0,-5106.135067415355
-5000.0,-22196.07843137255
-4800.0,-11030.588235294117
-4600.0,-5447.843137254902
-4400.0,-26503.529411764706
-4300.0,-4375.489637285471
-4200.0,-11249.411764705881
-4000.0,-15642.936368971956
-3900.0,-2047.9593370931116
-3600.0,-14781.176470588238
-3400.0,-5906.666666666667
-3300.0,-3247.9031823569653
-3200.0,-9562.352941176472
-3000.0,-15482.352941176472
-2800.0,-4831.3725490196075
-2600.0,-1957.6470588235293
-2500.0,-4045.13822112006
-2400.0,-8367.058823529413
-2300.0,-3477.195691226043
-2200.0,-5832.156862745098
-2100.0,-810.9140382325533
-2000.0,-9827.450980392157
-1900.0,-1632.5540721353655
-1800.0,-9190.588235294117
-1700.0,-1601.9323172980662
-1600.0,-17556.07843137255
-1500.0,-2550.206691141938
-1400.0,-12642.364350454714
-1300.0,-2622.578009592895
-1200.0,-14574.117647058823
-1100.0,-3396.066249650381
-1000.0,-16381.446940780928
-900.0,-2399.210659753575
-800.0,-16175.827189946353
-700.0,-1162.19089851604
-600.0,-16155.294117647058
-500.0,-3036.886421105047
-400.0,-14517.955434742293
-300.0,-3944.2763189312254
-200.0,-6235.855761431538
-100.0,-892.9965367960069
0.0,0.0
100.0,6070704.289627127
200.0,8040650.265776963
300.0,8675418.588947887
400.0,8746614.535389619
500.0,8373125.552174221
600.0,7749809.855460067
700.0,6982847.631398887
800.0,6242621.7184244525
900.0,5624286.61076205
1000.0,4848880.936626469
1100.0,4418851.616294388
1200.0,3854641.9641763708
1300.0,3550013.104052353
1400.0,3381831.1415185793
1500.0,3147186.6349479766
1600.0,2892983.5487179034
1700.0,2851128.834038723
1800.0,2707132.016703458
1900.0,2555101.667297557
2000.0,2405586.056626275
2100.0,2301900.331370781
2200.0,2311339.304206386
2300.0,2146223.115035162
2400.0,2107507.756344259
2500.0,2057805.8161885112
2600.0,1926746.4716978166
2700.0,1853071.8603048788
2800.0,1758652.2909657643
2900.0,1883296.5537989323
3000.0,1693244.0137173492
3100.0,1617177.3497868578
3200.0,1620279.1770161188
3300.0,1690835.652390967
3400.0,1513463.377698795
3500.0,1422505.3406021444
3600.0,1389587.570263783
3700.0,1402761.4969373993
3800.0,1398634.788038821
3900.0,1257189.5814552503
4000.0,1443060.3593203085
4100.0,1393961.4878273483
4200.0,1393995.783680949
4300.0,1239928.4455188266
4400.0,1190083.3373038871
4500.0,1351596.504926332
4600.0,1065110.840400829
4700.0,1199524.7649424146
4800.0,1106733.112520129
4900.0,1172077.8990621467
5000.0,1163689.1044407268
5100.0,1163549.4807252947
5200.0,1186775.6768887413
5300.0,1141120.7505608175
5400.0,947215.4648775839
5500.0,992332.9752630161
5600.0,1142782.9310873435
5700.0,1140894.2323397333
5800.0,1024688.4362598625
5900.0,1068720.0333424504
6000.0,1031095.5215237442
6100.0,1202830.2265062262
6200.0,1088394.8245986418
6300.0,915176.1469493479
6400.0,925611.7625467002
6500.0,991044.1464486651
6600.0,887022.6078080044
6700.0,975512.3057708034
6800.0,974213.4267668885
6900.0,916888.7183673017
7000.0,848794.0779392251
7100.0,939864.2638017241
7200.0,891782.7078279952
7300.0,968573.2143855406
7400.0,1010685.1804081027
7500.0,939589.4906497872
7600.0,770402.8358601868
7700.0,899412.6052457893
7800.0,836420.4366504358
7900.0,838688.6176670929
8000.0,968638.6677242345
8100.0,687434.3285075139
8200.0,732093.6076035616
8300.0,824661.4425029196
8400.0,832634.1682752413
8500.0,868404.6136981833
8600.0,775462.3606281074
8700.0,841519.6809244821
8800.0,812542.1144084247
8900.0,896289.9258162256
9000.0,742917.0604335798
9100.0,778398.2575542536
9200.0,812725.6029046834
9300.0,778713.801221345
9400.0,746755.2811318809
9500.0,815785.3868276727
9600.0,877442.563392357
9700.0,819504.4296633465
9800.0,685714.1477064765
9900.0,816937.9274533438
10000.0,724456.2129564357
10100.0,709115.9855678405
10200.0,775270.5588151538
10300.0,836881.9975216136
10400.0,791178.6214833788
10500.0,820241.3726077765
10600.0,601614.7024319982
10700.0,698815.3236458907
10800.0,752813.2345107989
10900.0,964857.2340791851
11000.0,787416.2450218932
11100.0,797559.3627457191
11200.0,644507.4673206455
11300.0,742312.0375897884
11400.0,685527.1118899486
11500.0,710348.0304221492
11600.0,818839.0329042037
11700.0,664295.182922123
11800.0,737811.8000796915
11900.0,604137.4947151281
12000.0,728415.8881110486
12100.0,730974.4782198084
12200.0,656194.4132791944
12300.0,722392.5563430693
12400.0,779580.9780713998
12500.0,771230.305004946
12600.0,552687.3486762438
12700.0,630898.2187046725
12800.0,745341.3117842472
12900.0,512123.2693915865
13000.0,698953.5068226147
13100.0,599073.743514586
13200.0,735870.288396546
13300.0,727742.9468166362
13400.0,600954.9074249789
13500.0,631808.9750572722
13600.0,526106.4226072277
13700.0,598345.7166196539
13800.0,618929.3485184461
13900.0,816406.7740814879
14000.0,681276.5158826982
14100.0,674082.9012526337
14200.0,566104.220964565
14300.0,513170.7297256384
