Bin,PopulationSum
-20000.0,-479607.8431372549
-19800.0,-19101.176470588234
-19600.0,-37278.43137254902
-19500.0,-39145.069095373154
-19400.0,-90076.86274509804
-19200.0,-88922.35294117648
-19000.0,-16913.725490196077
-18800.0,-18800.0
-18600.0,-18600.0
-18200.0,-15701.960784313726
-18000.0,-18000.0
-17800.0,-29736.470588235294
-17600.0,-17600.0
-17400.0,-45581.17647058823
-17200.0,-13018.039215686274
-17000.0,-13600.0
-16600.0,-12563.921568627451
-16400.0,-11769.411764705883
-15800.0,-27324.70588235294
-15200.0,-9894.901960784315
-14900.0,-14917.867043972015
-14800.0,-24956.86274509804
-14600.0,-9847.843137254902
-14400.0,-18240.0
-14300.0,-14385.718406304717
-14200.0,-37643.921568627455
-14000.0,-14000.0
-13800.0,-22803.22240007099
-13600.0,-13600.0
-13200.0,-14390.588235294119
-13000.0,-7545.098039215687
-12800.0,-28661.960784313724
-12200.0,-6315.2941176470595
-12100.0,-12189.075028836727
-12000.0,-29976.470588235294
-11800.0,-11800.0
-11600.0,-15201.170069346708
-11400.0,-9286.767926050139
-11000.0,-11000.0
-10800.0,-4150.588235294118
-10600.0,-20701.176470588234
-10400.0,-4445.490196078431
-10000.0,-4117.647058823529
-9800.0,-3996.8627450980393
-9600.0,-4065.8823529411766
-9400.0,-14007.843137254902
-9200.0,-3535.686274509804
-9000.0,-15776.470588235294
-8800.0,-6315.2941176470595
-8600.0,-3102.7450980392155
-8400.0,-5797.64705882353
-8200.0,-10804.70588235294
-8000.0,-21333.333333333336
-7800.0,-9941.176470588236
-7600.0,-9985.200474411926
-7400.0,-2205.4901960784314
-7200.0,-2061.176470588235
-7000.0,-7000.0
-6800.0,-7306.666666666667
-6600.0,-14908.235294117647
-6400.0,-9637.64705882353
-6200.0,-1531.764705882353
-6000.0,-2588.235294117647
-5800.0,-3252.549019607843
-5600.0,-11200.0
-5400.0,-6458.823529411765
-5300.0,-2371.562855271732
-5200.0,-1855.686274509804
-5000.0,-901.9607843137255
-4800.0,-8327.012702060207
-4600.0,-4600.0
-4300.0,-2242.328935108732
-4200.0,-5155.2941176470595
-4000.0,-4501.9607843137255
-3800.0,-8628.235294117647
-3600.0,-1821.1764705882351
-3400.0,-5133.333333333333
-3200.0,-1405.4901960784314
-2800.0,-3044.4045131031203
-2600.0,-3690.9803921568628
-2400.0,-367.05882352941177
-2300.0,-2212.0741870939733
-2200.0,-4725.044070383812
-2100.0,-3230.083035700659
-2000.0,-431.37254901960785
-1900.0,-295.60304571460273
-1800.0,-1284.7058823529412
-1600.0,-3432.156862745098
-1500.0,-1584.5713617882857
-1400.0,-1548.7765888764395
-1300.0,-1938.781067287374
-1200.0,-3263.543653150217
-1100.0,-341.9322390145531
-1000.0,-58.82352941176471
-900.0,-1322.2302700125156
-800.0,-476.86274509803917
-700.0,-1298.5553622344273
-600.0,-2056.9942566395957
-500.0,-656.7604361681013
-400.0,-384.3137254901961
-300.0,-1220.3536995696195
-200.0,-495.6862745098039
-100.0,-994.4603244773989
-0.0,-82.05956867623928
0.0,0.0
100.0,3520369.737658241
200.0,2905936.801942493
300.0,2220504.8808939285
400.0,1949486.5706615625
500.0,1874732.9888938637
600.0,1881098.1273642639
700.0,1785995.8933771807
800.0,1680887.322445357
900.0,1739358.9896918451
1000.0,1654742.694812303
1100.0,1658095.2704179846
1200.0,1654156.9049317297
1300.0,1573031.3457943043
1400.0,1554590.5166630126
1500.0,1642240.272678018
1600.0,1453167.3381113792
1700.0,1513649.1439349279
1800.0,1545122.6744915838
1900.0,1504970.0627480377
2000.0,1449343.8999890254
2100.0,1308177.9483827457
2200.0,1256799.650894526
2300.0,1354257.0173368612
2400.0,1297524.0015360804
2500.0,1213206.315564376
2600.0,1299293.164816378
2700.0,1301888.2518710403
2800.0,1243129.9599828362
2900.0,1250848.2111824618
3000.0,1180205.0430871174
3100.0,1240456.1875527555
3200.0,1317929.0261743562
3300.0,1160298.7757962488
3400.0,1245129.1703573624
3500.0,1136880.0606064596
3600.0,1143977.7112621549
3700.0,1178441.5008941544
3800.0,1203782.6554099333
3900.0,1117463.3606797175
4000.0,1011512.1306897425
4100.0,1017582.6922981795
4200.0,1091228.3455845343
4300.0,844334.644602065
4400.0,908748.8273323863
4500.0,858960.0799242626
4600.0,828809.8620697334
4700.0,858899.2731543342
4800.0,1002330.7529309706
4900.0,877044.3203487953
5000.0,779466.4200156125
5100.0,752105.0709848955
5200.0,732296.6744721604
5300.0,689112.6727496558
5400.0,875557.5765287908
5500.0,822845.6146041529
5600.0,716245.433808717
5700.0,725263.7438156188
5800.0,612407.840621056
5900.0,603885.4243533808
6000.0,655250.8925199457
6100.0,655036.8317473303
6200.0,663330.0460601521
6300.0,594255.1702210789
6400.0,652338.9344639413
6500.0,581513.1841917234
6600.0,585268.9695613128
6700.0,551815.3945266709
6800.0,518751.55472963734
6900.0,670789.0556445472
7000.0,627934.0312141533
7100.0,594030.1066265956
7200.0,456104.8909127374
7300.0,468751.25972721935
7400.0,555843.1330216767
7500.0,582609.1820856848
7600.0,571148.6672976209
7700.0,573582.2703956437
7800.0,532709.685455959
7900.0,666400.3416216926
8000.0,656712.8181911648
8100.0,650718.1968533306
8200.0,492237.92120626697
8300.0,519840.1440548973
8400.0,472972.8518605115
8500.0,511360.28158144525
8600.0,499055.1790667246
8700.0,423760.4809626897
8800.0,485221.73192062
8900.0,591163.228965615
9000.0,482964.00156122353
9100.0,486860.3905439676
9200.0,527209.9582890461
9300.0,498454.3475414435
9400.0,464842.8464232523
9500.0,453159.21215603687
9600.0,513461.71913844417
9700.0,488307.0708007714
9800.0,429004.6593968496
9900.0,380929.1767613861
10000.0,437429.8473482196
10100.0,472147.1713953306
10200.0,484935.06678121776
10300.0,450921.6728671047
10400.0,300137.1732372651
10500.0,308792.31014477956
10600.0,390655.35677261645
10700.0,318742.76210723666
10800.0,427269.4566012239
10900.0,325218.449514107
11000.0,306816.78815119807
11100.0,394260.8259609165
11200.0,390122.61277188547
11300.0,314053.8328462136
11400.0,340652.94033508375
11500.0,388082.26117614587
11600.0,254269.11198534444
11700.0,323798.9717337955
11800.0,329147.74123349227
11900.0,314387.2468441649
12000.0,369832.8960353746
12100.0,409509.539763446
12200.0,278942.97527387
12300.0,207269.00424720373
12400.0,234890.97238402255
12500.0,236523.8980539618
12600.0,150670.0964192152
12700.0,278224.127637553
12800.0,280482.2941178344
12900.0,231222.52526700497
13000.0,180651.47788882992
13100.0,195619.4742355654
13200.0,302568.93345366884
13300.0,198745.75116493925
13400.0,213653.67940891534
13500.0,161439.4375140369
13600.0,338792.9780881703
13700.0,136510.12029743195
13800.0,178761.6523668766
13900.0,193989.05375942588
14000.0,150316.17610701342
14100.0,168214.579263042
14200.0,254694.51772508025
14300.0,185305.311338488
14400.0,157877.1603244543
14500.0,187861.25181937218
14600.0,203725.0995349884
14700.0,233330.47115831284
14800.0,206114.82273666625
14900.0,192934.05276601575
15000.0,239229.86191727407
15100.0,180613.850594908
15200.0,136179.42906951904
15300.0,137419.97671353817
15400.0,184243.66964566708
15500.0,185385.86398029327
15600.0,171029.0819707513
15700.0,122891.84820004071
15800.0,126036.23947050795
15900.0,221904.96168030053
16000.0,159474.06815660745
16100.0,64083.77513194084
16200.0,113105.92475305125
16300.0,146305.9230413437
16400.0,65360.35803318024
16500.0,246800.0981221199
16600.0,148851.750574412
16700.0,183062.39140524715
16800.0,100522.88790647686
16900.0,185500.9757425934
17000.0,101714.81913478673
17100.0,102376.08378529549
17200.0,120233.95668792725
17300.0,155209.00079154968
17400.0,69425.47095816582
17500.0,69742.22086896375
17600.0,157813.6850220561
17700.0,176550.14001309872
17800.0,124300.19062232971
17900.0,71392.8198299408
18000.0,143534.74565434456
18100.0,180623.62719631195
18200.0,145174.04608631134
18300.0,109521.60800611973
18400.0,183427.04031729698
18500.0,129263.32947524637
18600.0,55668.21349334717
18700.0,167819.38750839233
18800.0,56301.85145568848
18900.0,94288.66758298874
19000.0,170611.02801084518
19100.0,190424.3620482087
19200.0,38254.21285247803
19300.0,96249.68056678772
19400.0,77380.1955230236
19500.0,77864.01861190796
19600.0,58711.362719118595
19700.0,19640.003178834915
19800.0,98736.42388534546
19900.0,59571.6127243042
20000.0,99790.04217848182
20100.0,80184.1994433403
20200.0,60490.83285903931
20300.0,60757.73107910156
20400.0,81474.46922302246
20500.0,81909.50716602802
20600.0,61711.808532714844
20700.0,206525.6865348816
20800.0,39981.060459466076
21000.0,83844.24444198608
21100.0,105343.64513587952
21200.0,63457.152426719666
21300.0,85016.652759552
21400.0,42715.80974960327
21500.0,21461.48123550415
21600.0,82382.51668023129
21700.0,43231.68013763428
21800.0,43551.04900932312
22000.0,87684.96331214905
22100.0,22088.54497909546
22300.0,44558.31592941284
22400.0,44686.83182621002
22500.0,22472.79970550537
22700.0,22665.38747024536
22800.0,45479.72553253174
22900.0,22825.111303329468
23000.0,45851.56266784668
23200.0,46335.8247795105
23400.0,23303.91732788086
23500.0,23485.26487350464
