Bin,PopulationSum
-12800.0,-6224.313725490196
-11600.0,-5231.3725490196075
-11000.0,-4917.64705882353
-8600.0,-2731.7647058823527
-8400.0,-4710.588235294118
-7400.0,-1973.3333333333333
-6400.0,-1380.3921568627452
-5200.0,-856.4705882352941
-5000.0,-1450.9803921568628
-4000.0,-674.5098039215686
-3800.0,-342.7450980392157
-3400.0,-2733.333333333333
-3200.0,-614.9019607843138
-2800.0,-230.58823529411765
-2600.0,-387.45098039215685
-2400.0,-150.58823529411765
-2000.0,-125.49019607843137
-1600.0,-163.13725490196077
-1400.0,-181.17647058823528
-1200.0,-42.35294117647059
-1000.0,-180.3921568627451
-800.0,-12.549019607843137
-600.0,-529.4117647058823
-400.0,-1.5686274509803921
0.0,0.0
100.0,3835.9591968230684
200.0,5231.718677925947
300.0,3716.2244922287323
400.0,2570.2540860442555
500.0,2411.170853751956
600.0,1725.7063378161076
700.0,532.3746444982642
800.0,1782.59076735576
900.0,1475.8939136257359
1000.0,1561.8682559924966
1100.0,591.5388650295781
1200.0,442.46594733829596
1300.0,254.75919218624338
1500.0,2057.2692137914546
1600.0,192.7616153492647
1700.0,739.5816624173931
1900.0,241.51413329442343
2000.0,2383.2790106211223
2100.0,2509.3756140003015
2200.0,1107.2224012239308
2400.0,2539.3283961803304
2500.0,1623.3527945560568
3000.0,1387.3620439351773
3300.0,1063.503457731359
5500.0,2099.0503278545307
6700.0,2496.884328483133
8300.0,4782.452701625403
8400.0,3310.1777647878607
