Bin,PopulationSum
-17400.0,-13305.882352941175
-11800.0,-11013.333333333334
-11600.0,-5049.411764705883
-11400.0,-4470.588235294118
-11000.0,-5262.745098039216
-10200.0,-3680.0
-10000.0,-5294.117647058823
-9400.0,-2949.0196078431372
-9200.0,-2886.2745098039213
-9000.0,-5435.2941176470595
-8800.0,-3105.8823529411766
-8600.0,-2832.9411764705883
-8200.0,-2122.3529411764707
-7800.0,-2294.1176470588234
-7400.0,-5890.980392156863
-7200.0,-4800.0
-7000.0,-2909.8039215686276
-6800.0,-5733.333333333333
-6600.0,-10585.882352941177
-6400.0,-1154.5098039215686
-6200.0,-2455.686274509804
-5800.0,-4685.490196078432
-5600.0,-2723.137254901961
-5400.0,-381.1764705882353
-5200.0,-1040.0
-5000.0,-1686.2745098039215
-4800.0,-2992.9411764705883
-4600.0,-4073.593469956342
-4400.0,-1156.078431372549
-4200.0,-2585.8823529411766
-4000.0,-266.6666666666667
-3800.0,-1683.921568627451
-3600.0,-395.29411764705884
-3400.0,-1253.3333333333335
-3200.0,-865.8823529411765
-3000.0,-482.35294117647055
-2800.0,-417.2549019607843
-2600.0,-244.70588235294116
-2400.0,-527.0588235294117
-2200.0,-1734.1176470588236
-2000.0,-847.0588235294117
-1800.0,-847.0588235294117
-1700.0,-133.10101010004678
-1600.0,-495.68627450980387
-1400.0,-499.6078431372549
-1300.0,-120.6979655182829
-1200.0,-785.8823529411764
-1100.0,-379.2254141286892
-1000.0,-600.0
-900.0,-46.80730315762408
-800.0,-545.8823529411766
-700.0,-179.05890950408636
-600.0,-138.8235294117647
-400.0,-346.66666666666663
-200.0,-19.607843137254903
-100.0,-46.4723222023424
0.0,0.0
100.0,1590.5442133269444
200.0,1921.79846388545
300.0,883.4267240799818
400.0,786.9514388710406
500.0,620.0576203124926
600.0,352.13543820816517
700.0,218.3433296624644
900.0,362.4015399156832
1000.0,428.49027068641254
1300.0,470.6445470287957
1600.0,185.21374545728457
1800.0,1142.6373010989937
2000.0,1750.7871355119873
2400.0,722.430099807183
2900.0,559.4420249497189
