Bin,PopulationSum
-20000.0,-1140000.0
-19800.0,-79200.0
-19600.0,-58800.0
-19400.0,-38800.0
-19200.0,-38400.0
-18800.0,-18800.0
-18400.0,-55200.0
-18000.0,-18000.0
-17000.0,-17000.0
-16800.0,-16800.0
-16400.0,-49200.0
-16000.0,-29741.176470588234
-15800.0,-31600.0
-15400.0,-30800.0
-15000.0,-15000.0
-14800.0,-29600.0
-14600.0,-14600.0
-14400.0,-28800.0
-14000.0,-14000.0
-13600.0,-40800.0
-13200.0,-33905.882352941175
-13000.0,-26000.0
-12800.0,-12800.0
-12600.0,-25200.0
-12200.0,-12200.0
-12000.0,-19011.764705882353
-11600.0,-23200.0
-11400.0,-11400.0
-11200.0,-5182.745098039216
-11000.0,-22000.0
-10800.0,-10800.0
-10000.0,-3568.627450980392
-9600.0,-23755.29411764706
-9400.0,-18800.0
-9000.0,-9000.0
-8800.0,-8800.0
-8400.0,-2470.5882352941176
-8200.0,-8200.0
-8000.0,-10258.823529411766
-6600.0,-14209.411764705883
-6400.0,-24520.78431372549
-6200.0,-6200.0
-6000.0,-12000.0
-5800.0,-17400.0
-5600.0,-5600.0
-5400.0,-1863.5294117647059
-5200.0,-5872.941176470588
-5000.0,-5000.0
-4800.0,-4800.0
-4600.0,-9200.0
-4400.0,-4400.0
-4200.0,-8400.0
-4000.0,-18886.274509803923
-3800.0,-11876.862745098038
-3600.0,-494.1176470588236
-3400.0,-5066.666666666667
-3200.0,-6400.0
-3000.0,-9000.0
-2800.0,-2800.0
-2600.0,-10400.0
-2400.0,-4894.117647058823
-2200.0,-2346.6666666666665
-2000.0,-4000.0
-1800.0,-1870.5882352941176
-1600.0,-4875.2941176470595
-1400.0,-2860.392156862745
-1200.0,-1218.8235294117646
-1000.0,-1384.313725490196
-800.0,-1750.5882352941178
-600.0,-3651.764705882353
-400.0,-1537.2549019607843
-300.0,-789.1025820504874
-200.0,-1778.8235294117649
-100.0,-390.202258738554
0.0,0.0
100.0,624858.2062321177
200.0,169972.47530705872
300.0,107561.50721330185
400.0,97788.53922928701
500.0,94119.04779043683
600.0,91916.58256748214
700.0,94349.10282452771
800.0,105559.01869791292
900.0,91120.74631177186
1000.0,97993.51508946269
1100.0,97343.1997910314
1200.0,114313.68597710045
1300.0,111162.40215504305
1400.0,106696.22639580548
1500.0,82668.12103923617
1600.0,69420.70318713633
1700.0,108556.66188344984
1800.0,126654.50938663498
1900.0,81817.64381560197
2000.0,104567.35652770792
2100.0,104296.50451564352
2200.0,115628.08940160373
2300.0,119059.79351108099
2400.0,95464.587232667
2500.0,105996.80739070296
2600.0,82183.41943708944
2700.0,81238.52466262918
2800.0,92616.87779234498
2900.0,61279.68190399351
3000.0,113424.4360457986
3100.0,84616.75562210442
3200.0,97939.23532585279
3300.0,97521.71291064113
3400.0,71802.03217020674
3500.0,53671.858856444334
3600.0,66696.7609743945
3700.0,61693.625980596524
3800.0,63364.55540960962
3900.0,53930.38275562456
4000.0,39370.24911299415
4100.0,48414.25194174843
4200.0,49686.497789635905
4300.0,54814.63888456727
4400.0,30326.955393238924
4500.0,35687.78500795178
4600.0,50149.83086616546
4700.0,37262.14304865897
4800.0,23849.28545837418
4900.0,23378.28212709988
5000.0,39536.20743679255
5100.0,15209.868076987565
5200.0,56590.695946766995
5300.0,15722.594098561909
5400.0,21375.379262156785
5500.0,10921.266055526597
5600.0,5572.706681948155
5700.0,28203.406144462526
5900.0,5899.576880022883
6500.0,6489.542027056217
7800.0,15496.674181871116
8000.0,7955.30131983757
8200.0,8136.742147564888
10400.0,9996.339224832198
12700.0,12612.918394804
