Bin,PopulationSum
-20000.0,-100000.0
-19800.0,-19256.470588235294
-19600.0,-18677.647058823528
-19400.0,-18182.745098039217
-19200.0,-17920.0
-17000.0,-13400.0
-16600.0,-12694.117647058823
-16400.0,-25082.35294117647
-15800.0,-10843.137254901962
-15600.0,-9971.764705882351
-14800.0,-9576.470588235296
-14000.0,-8619.607843137255
-12800.0,-6977.254901960784
-12600.0,-14675.29411764706
-11000.0,-5478.43137254902
-10800.0,-9190.588235294117
-9400.0,-3796.8627450980393
-9000.0,-3458.823529411765
-8600.0,-3271.3725490196075
-7800.0,-2538.823529411765
-7600.0,-2503.529411764706
-7200.0,-2117.6470588235293
-6600.0,-1708.2352941176473
-6400.0,-1480.7843137254902
-6000.0,-1458.8235294117646
-5800.0,-1432.9411764705883
-5200.0,-1182.7450980392157
-4800.0,-1788.235294117647
-4400.0,-741.9607843137255
-4200.0,-691.7647058823529
-4000.0,-580.3921568627452
-3400.0,-826.6666666666667
-3000.0,-882.3529411764706
-2800.0,-263.52941176470586
-2200.0,-146.66666666666666
-1600.0,-357.64705882352945
-1400.0,-54.90196078431372
-1000.0,-74.50980392156862
0.0,0.0
100.0,1027577.077387998
200.0,1048308.4260580722
300.0,839433.5634749775
400.0,668936.679138216
500.0,554845.6389836547
600.0,443805.16670032515
700.0,358938.4940696915
800.0,276508.2914169877
900.0,245241.6486216936
1000.0,208436.43265797495
1100.0,215802.74556330696
1200.0,165764.77167978196
1300.0,140217.35682809536
1400.0,162153.20320764882
1500.0,128662.84096831376
1600.0,107690.01779070494
1700.0,89132.30956921156
1800.0,82362.02712338611
1900.0,66048.73891041827
2000.0,84123.02937592684
2100.0,53734.50704139367
2200.0,73090.93737010406
2300.0,40093.4071460783
2400.0,50026.88249023206
2500.0,49741.29522378833
2600.0,43388.013197126194
2700.0,45376.19783344705
2800.0,58505.959578633054
2900.0,36436.48299334665
3000.0,16848.971016515665
3100.0,32649.678109974426
3200.0,47255.93388905376
3300.0,22723.046377612278
3400.0,26739.22996650163
3500.0,23919.604764644275
3600.0,23063.202499977222
3700.0,21678.286242655504
3800.0,38230.08079020644
3900.0,27034.856971452944
4000.0,32271.307415107498
4100.0,26138.759214537182
4200.0,26740.99573706286
4300.0,20572.128709853278
4400.0,52055.11043345556
4500.0,30830.220061682427
4600.0,13656.003604283556
4700.0,4674.934875488281
4800.0,9509.387681424618
4900.0,24184.312564984895
5000.0,14821.261949151754
5100.0,10096.518664777279
5200.0,5142.2191758826375
5300.0,22680.614964218086
5400.0,5363.842989623547
5500.0,18633.55205048572
5600.0,11076.342525988817
5700.0,11310.538255035877
5800.0,5000.506663069567
5900.0,16523.608714925893
6100.0,12084.567232524976
6300.0,6255.511765003204
6400.0,25340.38808056712
6500.0,12876.664763346314
6600.0,10613.855328426875
6700.0,6609.595163047314
6800.0,6727.339336156845
6900.0,19917.074345334488
7000.0,17428.837061159385
7100.0,12463.860585631694
7200.0,12426.693742822004
7300.0,14471.919498771429
7400.0,29435.363682081923
7500.0,14820.046633005142
7600.0,15143.68534475565
7700.0,7645.061541676521
7800.0,31015.2888812311
8000.0,7911.84087228775
8100.0,16078.604184256867
8300.0,8257.444049080834
8500.0,16951.036734174937
8600.0,7449.1908385296665
8800.0,17552.614662751555
9000.0,8976.71642697975
9200.0,18305.51615987718
9600.0,19049.009076243266
9700.0,29011.635912291706
9800.0,9759.772886276245
9900.0,19667.19822693616
10100.0,10030.264669299126
10300.0,10205.501525565982
10400.0,10347.684901952744
10500.0,10403.203837871552
10800.0,10783.415951564908
10900.0,32528.61257695034
11000.0,10755.154712994892
11100.0,11023.399162352085
11400.0,22734.790456943214
11600.0,23010.121473491192
11800.0,11718.027475357056
12000.0,10786.614339274518
12500.0,24907.258598953485
12900.0,12821.76993779838
13100.0,13051.973819807172
13500.0,13463.631093502045
13600.0,13535.69229291752
13700.0,13631.289001479745
13900.0,13800.334885716438
14000.0,27830.08095062524
14200.0,13178.05366907517
14600.0,14596.245377287269
15600.0,15509.30292892456
15900.0,15186.439206407496
16000.0,15920.762067556381
16500.0,16443.35464189574
18100.0,18062.96418981254
20800.0,20776.3885371536
21700.0,21682.887077003717
22300.0,22239.566613703966
24000.0,23990.2179813385
24100.0,24089.106577590108
31400.0,31349.679644852877
31900.0,31888.99161863327
