Bin,PopulationSum
-20000.0,-57647.05882352941
-19800.0,-19101.176470588234
-19200.0,-17468.235294117647
-18600.0,-16047.058823529413
-17700.0,-17758.07440185547
-17400.0,-13851.764705882351
-17200.0,-12545.882352941177
-16800.0,-41110.58823529412
-15800.0,-13321.56862745098
-15400.0,-20774.901960784315
-15200.0,-10669.803921568626
-15000.0,-14764.70588235294
-14800.0,-11723.921568627451
-14600.0,-10763.921568627451
-14400.0,-11124.705882352942
-14200.0,-18042.35294117647
-14000.0,-8125.490196078432
-13600.0,-9706.666666666666
-13400.0,-14818.823529411766
-13200.0,-7195.294117647059
-13000.0,-6882.35294117647
-12400.0,-6856.470588235295
-12000.0,-6211.764705882353
-11800.0,-6108.235294117648
-11400.0,-11891.764705882353
-11200.0,-11156.078431372549
-11000.0,-5176.470588235294
-10800.0,-4785.882352941177
-10600.0,-4697.254901960784
-10400.0,-4037.6470588235293
-9800.0,-4035.2941176470586
-9400.0,-12238.43137254902
-9000.0,-3388.235294117647
-8800.0,-4589.803921568628
-8400.0,-5962.35294117647
-8200.0,-2829.8039215686276
-8000.0,-6054.901960784314
-7800.0,-5261.176470588236
-7700.0,-6175.895875692368
-7400.0,-2408.627450980392
-7000.0,-8262.745098039215
-6800.0,-4720.0
-6700.0,-2639.526888959548
-6600.0,-9058.823529411766
-6400.0,-1606.2745098039215
-6200.0,-3112.156862745098
-6000.0,-9932.004853561959
-5800.0,-2547.450980392157
-5700.0,-1774.0775669588763
-5200.0,-7096.470588235294
-5000.0,-1000.0
-4800.0,-3124.7058823529414
-4600.0,-775.686274509804
-4500.0,-2055.5628649543314
-4400.0,-4486.274509803921
-4300.0,-3910.639248709059
-4200.0,-2717.6470588235297
-4100.0,-3198.6805478922874
-4000.0,-1129.4117647058824
-3800.0,-923.9215686274509
-3600.0,-2512.9411764705883
-3400.0,-1266.6666666666667
-3200.0,-4065.8823529411766
-3000.0,-2411.7647058823527
-2900.0,-1458.0527963526108
-2800.0,-1240.7843137254902
-2600.0,-3905.098039215686
-2400.0,-1656.4705882352941
-2200.0,-980.4216794696508
-2100.0,-930.4724853852216
-2000.0,-3333.333333333333
-1900.0,-3955.329422444105
-1800.0,-1503.5294117647059
-1700.0,-3357.4450262560567
-1600.0,-1832.1568627450981
-1500.0,-1094.1074558033663
-1400.0,-2942.745098039216
-1300.0,-694.677208071129
-1200.0,-4787.5989569495705
-1100.0,-1197.4978322982788
-1000.0,-2776.4705882352937
-900.0,-872.0583859565211
-800.0,-1606.2745098039215
-700.0,-1740.9716086758044
-600.0,-1984.1836350384879
-500.0,-1627.2886656569501
-400.0,-3014.901960784313
-300.0,-1781.790579732091
-200.0,-927.0588235294117
-100.0,-270.7078144381152
-0.0,-8.607565788661732
0.0,0.0
100.0,2404442.692002587
200.0,3280500.1410325267
300.0,3520177.074208312
400.0,3612771.2009246415
500.0,3518995.5554249864
600.0,3351052.508220342
700.0,3099549.4588710493
800.0,2934002.8831939036
900.0,2720844.820958271
1000.0,2529705.259053928
1100.0,2230375.789552534
1200.0,2138958.846361404
1300.0,2052217.0577826072
1400.0,1781723.626467852
1500.0,1578428.0031964765
1600.0,1611623.6447283798
1700.0,1588182.288572636
1800.0,1334857.7825044016
1900.0,1271218.5122918766
2000.0,1174588.972795074
2100.0,986167.2637667937
2200.0,1041427.481764684
2300.0,1041662.6084995298
2400.0,931939.6771951253
2500.0,1008522.8185487557
2600.0,836150.8126776625
2700.0,768631.749902406
2800.0,745006.195037265
2900.0,770807.7693441238
3000.0,694308.6684336251
3100.0,648223.716947337
3200.0,665657.6401373805
3300.0,588143.1001835659
3400.0,605404.2440937643
3500.0,603772.4905955979
3600.0,553018.4202175529
3700.0,590298.8139119112
3800.0,427186.67111763294
3900.0,494512.83925744286
4000.0,463354.91526182427
4100.0,434692.7105063119
4200.0,466587.31648193084
4300.0,430633.16274488304
4400.0,432885.74744272744
4500.0,401068.53692633123
4600.0,334081.8087925087
4700.0,468687.8505443369
4800.0,336767.8409917866
4900.0,391741.8998129893
5000.0,375493.0018974389
5100.0,380054.00128308055
5200.0,345513.2976335054
5300.0,388255.759397311
5400.0,298126.8024645631
5500.0,222001.77161759307
5600.0,258615.9880435675
5700.0,319846.83814037184
5800.0,245191.14876080462
5900.0,277316.47366193135
6000.0,367767.1219073818
6100.0,272941.29857428296
6200.0,399152.178353672
6300.0,291612.4963869797
6400.0,277352.9293509464
6500.0,201115.7542805338
6600.0,269699.6063400102
6700.0,325875.58795301337
6800.0,232527.00946382718
6900.0,272098.5554363852
7000.0,261007.9580467954
7100.0,244218.66592303835
7200.0,179243.75768599907
7300.0,257837.87918437296
7400.0,348835.492331211
7500.0,270389.85878320935
7600.0,196835.8175271051
7700.0,281991.0370856574
7800.0,176296.57103275857
7900.0,215076.71888046912
8000.0,252703.51485754037
8100.0,223522.62322472493
8200.0,223649.32496341254
8300.0,157379.42070146275
8400.0,224040.0681261047
8500.0,271322.48697957676
8600.0,189325.64973802632
8700.0,149590.66331454934
8800.0,250681.97060410556
8900.0,132973.55299111642
9000.0,244271.83124496898
9100.0,147421.3309355623
9200.0,181444.61750889334
9300.0,240986.61179334638
9400.0,271189.3022381937
9500.0,235094.07082855533
9600.0,189292.7331586968
9700.0,206100.22597563785
9800.0,244868.40547877515
9900.0,96001.40303906734
10000.0,219578.09597933886
10100.0,170578.99338698338
10200.0,147327.10585737176
10300.0,211359.23446887545
10400.0,151987.12761398696
10500.0,153070.95320053623
10600.0,137197.0915090125
10700.0,95525.09083303656
10800.0,179861.93920483123
10900.0,147740.9396294205
11000.0,213307.31879718287
11100.0,184499.04182961228
11200.0,133901.24041888304
11300.0,142933.31246617122
11400.0,151647.140353014
11500.0,147057.3667696151
11600.0,126756.90411914841
11700.0,174573.3996735327
11800.0,175548.25114840732
11900.0,177709.02059680596
12000.0,186654.61761843204
12100.0,228863.07065946033
12200.0,130330.77154298183
12300.0,134799.74187318422
12400.0,115158.51502659838
12500.0,112139.36836842448
12600.0,147837.9607725291
12700.0,63125.001599915326
12800.0,89001.13032894867
12900.0,152898.67562106944
13000.0,180993.95901017968
13100.0,156583.5623641787
13200.0,39461.79277828336
13300.0,119264.68651405722
13400.0,104924.48803038501
13500.0,146950.53020123718
13600.0,92858.48836243388
13700.0,109191.8820618838
13800.0,142837.0198683734
13900.0,110798.7782877963
14000.0,159076.2099164303
14100.0,66820.34562264464
14200.0,94586.63061182566
14300.0,71335.33416321874
14400.0,154855.23922595967
14500.0,144509.26945914468
14600.0,140978.94240194204
14700.0,102355.974028375
14800.0,118054.85367770866
14900.0,219081.24870022185
15000.0,148055.36381329148
15100.0,119412.41580342437
15200.0,45443.49902824499
15300.0,103829.06286683894
15400.0,106141.49893183314
15500.0,84067.41535987036
15600.0,93321.1518324539
15700.0,62726.888726741076
15800.0,94390.24668184943
15900.0,95212.32425472699
16000.0,111545.79743172228
16100.0,138608.21915955795
16200.0,45050.73756324055
16300.0,161394.15790172605
16400.0,114403.64956115
16500.0,111001.62531769299
16600.0,115851.23064041394
16700.0,33264.596725152165
16800.0,95167.62221384549
16900.0,67405.70365200192
17000.0,50786.582681417465
17100.0,170314.60313443746
17200.0,165638.22971283484
17300.0,103683.58412758261
17400.0,242812.47529257875
17500.0,87341.25455394387
17600.0,87631.36990914121
17700.0,88256.54359002132
17800.0,53170.33904283121
17900.0,195370.5231693237
18000.0,51016.50562707116
18100.0,143285.2643257223
18200.0,163394.59567995463
18300.0,145949.3399074655
18400.0,128298.52966947854
18500.0,73735.05444069207
18600.0,92785.61520596873
18700.0,72965.93611652244
18800.0,150032.08803734556
18900.0,94140.85170838237
19000.0,113672.32423197478
19100.0,76193.69308622181
19200.0,95772.75497668982
19300.0,70963.61269309105
19400.0,108602.57918559015
19500.0,36677.830487442334
19600.0,97821.32476552576
19700.0,58909.0316394344
19800.0,98691.45056214929
19900.0,115918.67905926783
20000.0,79796.61649569869
20100.0,16663.343527033005
20200.0,181269.04156577587
20300.0,20210.241124153137
20400.0,20369.654504060745
20500.0,122730.79579413682
20600.0,61555.98054141924
20700.0,54684.173371767174
20800.0,82997.08854605258
20900.0,62438.59058970213
21000.0,104757.26335188001
21100.0,101945.74201490989
21200.0,42287.04512882233
21300.0,127570.0682497099
21400.0,60574.46754937312
21500.0,42958.30501270294
21600.0,86269.98211388662
21700.0,43336.51211425662
21800.0,108720.53023861907
21900.0,91382.50399969138
22000.0,43921.264525450766
22100.0,66155.26087106764
22200.0,22152.602157592773
22300.0,127489.05913364093
22400.0,156531.08177760243
22500.0,44922.735376387835
22600.0,90135.37966092303
22800.0,91024.19989132881
23000.0,85651.53163144607
23100.0,22859.37714964549
23200.0,69527.76342773438
23300.0,139468.43795758393
23400.0,23349.161850184202
23500.0,69398.707743813
23600.0,23571.41252106428
23700.0,23644.303814649582
23800.0,42444.25754841707
23900.0,23857.330883979797
24000.0,95778.07707872242
24200.0,22569.570964443683
24300.0,48532.81509307027
24400.0,97159.48628008226
24500.0,73417.36926791444
24700.0,49275.88417001162
24800.0,98993.11992854252
24900.0,149054.37144207954
25000.0,74817.35369974747
25100.0,100204.41002446413
25200.0,100587.95473445952
25300.0,75755.46095355414
25400.0,76079.09646606445
25500.0,127175.24060845375
25600.0,51168.044946432114
25700.0,51304.13792041689
25800.0,77223.02623605728
25900.0,25844.193095825613
26000.0,51824.36647339165
26100.0,104178.5521818474
26200.0,26115.577110290527
26300.0,52449.75285748206
26500.0,26414.193508148193
26600.0,26517.39307373762
26700.0,53236.99099931121
26800.0,124797.30657150471
26900.0,26896.028241723776
27000.0,26907.757720947266
27100.0,54081.7963514328
27200.0,27162.649639248848
27300.0,27266.069793701172
27400.0,27379.925205230713
27500.0,109854.32415190339
27600.0,65977.57854634454
27700.0,55312.289229393005
27900.0,55276.306599669886
28000.0,83837.24324941635
28100.0,28003.396976470947
28200.0,56303.25196058303
28300.0,141163.26197867095
28400.0,85038.05429783463
28500.0,28473.613618850708
28600.0,28598.995229244232
28700.0,143295.25141954422
28800.0,57546.78344535828
29000.0,144728.79272933595
29100.0,29046.706325531006
29200.0,52436.02573547364
29300.0,58500.758760891855
29400.0,117414.71492791176
29500.0,58975.91864848137
29600.0,59089.93851661682
29800.0,59550.64349746704
30000.0,59829.29745256342
30100.0,30065.67196214199
30300.0,60461.42496532202
30500.0,60821.99422815442
30600.0,30564.15756368637
30700.0,30689.634658813477
30800.0,30700.351543426514
30900.0,61320.21329786637
31100.0,31000.08130455017
31200.0,89092.0639576641
31300.0,52420.68252710493
31400.0,31331.04003715515
31500.0,157153.39865463972
31700.0,82893.82334485668
31900.0,31841.41351556778
32200.0,96013.56982548366
32600.0,97624.16734893556
32700.0,65276.89530706406
32900.0,65716.41495472193
33000.0,32929.315423965454
33200.0,33157.96581053734
33400.0,33307.41161155701
33800.0,33784.23663711548
34200.0,34127.94770812988
34300.0,68530.20103402436
34600.0,34500.55940523185
34700.0,34651.83139362931
34800.0,34745.56827442348
34900.0,34823.38741713762
35000.0,104846.77957248688
35300.0,70493.6880448088
35400.0,70666.44345456362
35500.0,35420.98969708383
35600.0,35421.702898769756
35800.0,35734.944816589355
35900.0,35826.049560546875
36000.0,35945.57619263232
36100.0,72045.6417734772
36300.0,36290.10544390604
36500.0,36499.85388946533
36700.0,36668.04999542236
37200.0,74343.71713924408
37300.0,37299.721578359604
37500.0,26429.91214505364
37600.0,37523.78948426247
37700.0,37617.64046919346
37800.0,37737.308893203735
37900.0,37879.28125977516
38100.0,38055.77036559582
38200.0,38197.837913274765
38300.0,38246.40347236395
38600.0,38532.454582214355
38700.0,29136.21723058364
38800.0,38791.40188598633
39000.0,77949.17995451763
39200.0,39197.45929765701
39400.0,39360.48218536377
39700.0,36398.221772070494
39800.0,39704.16335296631
39900.0,119511.50565594342
40000.0,54723.01554233327
40200.0,79197.8834858726
40500.0,40421.690896987915
40800.0,40770.50485765934
40900.0,40854.442737579346
41200.0,41142.23092556
41400.0,82680.72651553154
41500.0,41447.30622422695
42000.0,41909.01403816044
42100.0,42079.65577363968
42500.0,42461.063928604126
42600.0,85092.74833679199
42900.0,42853.85198432207
43100.0,43062.49936461449
43700.0,43666.66947174072
44100.0,44047.28074294329
44300.0,44223.1641395092
44700.0,89306.32463884354
45200.0,45100.35276412964
45600.0,91050.89747571945
45700.0,45647.20172691345
45800.0,45749.44062232971
46100.0,46064.92875289917
46200.0,46112.02069568634
46300.0,92501.81423568726
46600.0,46551.13744330406
46800.0,38304.7749242446
46900.0,46806.80260467529
47000.0,46934.352783203125
47100.0,47058.63208287954
47500.0,47471.07449518144
47600.0,47591.35296690464
47800.0,95460.84812402725
48600.0,48513.02021789551
48900.0,48862.21834945679
49000.0,97934.23852050304
49600.0,41224.867967082006
49700.0,49686.021713256836
50100.0,50033.011222839355
50200.0,50136.60064506531
50600.0,50560.348278045654
50900.0,50860.11052322388
51000.0,50904.7427444458
51200.0,51163.7462310791
52400.0,52354.3359375
52500.0,52440.26401615143
52700.0,52611.00485134125
53100.0,53043.826946258545
54000.0,53995.68130493164
54100.0,54020.90285885334
54200.0,54106.046877622604
54800.0,27475.823066023284
55100.0,55096.12444782257
55500.0,55487.85013961792
56400.0,56377.19653701782
56600.0,56563.40190124512
57100.0,57003.854402542114
58800.0,58730.846031188965
59200.0,59199.57824707031
61400.0,169149.36176918255
61700.0,61635.68009567261
62900.0,62838.47818374634
63500.0,63457.86071586609
63700.0,63620.98695755005
63800.0,63710.71211242676
65900.0,37730.28414658401
66800.0,133498.95665499568
67600.0,67553.25907897949
68200.0,68180.34134101868
68300.0,68270.53759765625
69400.0,69378.67092740536
69600.0,69528.61334991455
70400.0,70319.51484680176
72700.0,72673.28099936247
73700.0,73672.63873291016
