Bin,PopulationSum
0.0,0.0
100.0,15804.884988879288
200.0,16598.393414884787
300.0,19157.774824127297
400.0,21551.127997574946
500.0,13753.625473512264
600.0,10538.178454993867
700.0,9009.171352274405
800.0,5644.220145662414
900.0,6226.439882133868
1000.0,2598.0872482157074
1100.0,2107.5593671336696
1200.0,1144.5893403999507
1300.0,1239.259599522282
1400.0,1365.6319204801694
1500.0,2828.8882007267875
1600.0,1536.7981935609132
1700.0,6504.577721001186
1900.0,3259.266685369921
2000.0,9028.624844010214
2100.0,1999.9774516159341
2300.0,6714.249580159783
2500.0,2462.8284275233746
2900.0,2882.4380847476423
3000.0,2902.2647778876126
3200.0,3196.167277134955
3300.0,3267.157413482666
3500.0,3472.706722021103
3800.0,3726.5730387261137
3900.0,3834.996067997068
