Bin,PopulationSum
-19800.0,-19178.823529411766
-19400.0,-36213.333333333336
-14200.0,-14200.0
-13400.0,-9301.176470588234
-9000.0,-9000.0
-8600.0,-2495.686274509804
-6200.0,-1458.8235294117646
-4200.0,-1597.6470588235293
-4000.0,-768.6274509803922
-3800.0,-506.6666666666667
-3400.0,-3853.3333333333335
-3000.0,-329.4117647058824
-2800.0,-1152.9411764705883
-2600.0,-744.3137254901961
-2400.0,-649.4117647058824
-2200.0,-810.9803921568628
-2000.0,-407.84313725490193
-1800.0,-712.9411764705883
-1600.0,-483.1372549019608
-1400.0,-285.4901960784314
-1200.0,-724.7058823529412
-1100.0,-247.08931664111566
-1000.0,-1066.6666666666667
-900.0,-372.9688811254268
-800.0,-646.2745098039215
-700.0,-31.360111091651167
-600.0,-508.235294117647
-500.0,-51.25038603491643
-400.0,-72.15686274509804
-300.0,-5.95612315383612
-200.0,-600.2967988403989
-100.0,-154.9388151223753
0.0,0.0
100.0,107136.77175611434
200.0,102576.2340824194
300.0,76664.58503324297
400.0,50045.279260017574
500.0,32195.593803462558
600.0,22345.425716859365
700.0,13278.87353647931
800.0,10300.115009505551
900.0,9313.65354901248
1000.0,5629.566371934232
1100.0,1814.6216408189605
1200.0,1953.3330698952957
1300.0,5247.1073334844095
1400.0,802.9439873351771
1500.0,3782.305562454411
1600.0,4443.129055253511
1700.0,1611.852398559451
1800.0,651.9734856942121
2100.0,2034.7218323899433
2200.0,2123.931764039211
2300.0,2098.7234533633673
2400.0,2346.9210989754647
2600.0,2545.049014788121
2800.0,1414.8789296180885
2900.0,2826.9785957941785
3200.0,6226.32178068161
3300.0,3100.0779447533737
3600.0,3546.056128853932
3800.0,3705.548790100962
4000.0,3992.5782095892355
4200.0,7370.237575285575
4300.0,3232.308394293458
4500.0,3757.9689727928126
5100.0,5094.033828271553
5400.0,4092.4414939054086
5600.0,5529.617563247681
5900.0,5831.204775184393
6400.0,6335.119485378265
6600.0,6519.9460191726685
8400.0,8396.967650294304
8500.0,8426.654339313507
