Bin,PopulationSum
-15800.0,-11214.901960784315
-13800.0,-8442.352941176472
-12000.0,-6447.058823529412
-11800.0,-5784.313725490196
-11600.0,-5640.78431372549
-10000.0,-4274.509803921568
-8800.0,-3174.901960784314
-8400.0,-2832.9411764705883
-8200.0,-2861.9607843137255
-8000.0,-5521.568627450981
-7200.0,-1694.1176470588234
-6400.0,-1731.764705882353
-6000.0,-3764.7058823529414
-5600.0,-1273.7254901960785
-5000.0,-921.5686274509804
-4400.0,-741.9607843137255
-4200.0,-741.1764705882354
-3400.0,-386.6666666666667
-3200.0,-351.37254901960785
-2600.0,-203.92156862745097
-2000.0,-117.6470588235294
-1600.0,-56.470588235294116
-1400.0,-148.23529411764707
-1000.0,-15.686274509803921
-200.0,-61.1764705882353
0.0,0.0
100.0,284871.3396455371
200.0,377197.38322917774
300.0,321348.11489599966
400.0,302700.119848547
500.0,267934.1195150659
600.0,257715.7691832463
700.0,239459.8036799404
800.0,226770.78217582847
900.0,214771.46730011347
1000.0,231960.36651855754
1100.0,176767.60961246144
1200.0,220557.02081140806
1300.0,196655.7016790257
1400.0,175934.80393424362
1500.0,178471.71839697866
1600.0,166202.63992753153
1700.0,186018.8828953929
1800.0,193126.6697848972
1900.0,174373.73987800066
2000.0,217572.81546819705
2100.0,200026.97351013086
2200.0,169631.85606392808
2300.0,165841.9542951053
2400.0,152855.3649295969
2500.0,159553.64190031448
2600.0,193364.58888486004
2700.0,164319.21726111154
2800.0,150607.8583557368
2900.0,139172.77877106483
3000.0,119592.08304700363
3100.0,149135.57714873413
3200.0,122782.97150484189
3300.0,133334.2744520368
3400.0,130297.14369522186
3500.0,131325.0035302986
3600.0,173998.24186158972
3700.0,156423.4078517264
3800.0,178419.0928478657
3900.0,111654.88311927253
4000.0,121603.49882516079
4100.0,97168.66021686001
4200.0,124510.68662408413
4300.0,123257.88944202894
4400.0,155367.13079012762
4500.0,147500.84410519444
4600.0,95592.54838525318
4700.0,107264.73412464885
4800.0,61598.15929334005
4900.0,87199.27509866143
5000.0,98898.32636836031
5100.0,91001.72310025431
5200.0,102707.94516459806
5300.0,110204.05024199188
5400.0,85854.22371818963
5500.0,126976.38228402814
5600.0,83171.09040194843
5700.0,84626.76034198422
5800.0,91688.88979349833
5900.0,111272.13649189333
6000.0,71447.1864453964
6100.0,90767.38549212785
6200.0,129215.1027356023
6300.0,56228.26707787905
6400.0,87725.82367144703
6500.0,109620.92028546194
6600.0,77538.56099805745
6700.0,92995.04113136232
6800.0,60688.44567709882
6900.0,89029.68809982389
7000.0,111149.10218202136
7100.0,140993.6123105171
7200.0,93153.49654665962
7300.0,94147.51442282647
7400.0,115506.87817827
7500.0,96909.10886275768
7600.0,75566.47141392156
7700.0,103666.46318175839
7800.0,77576.06987208035
7900.0,142276.93332433555
8000.0,71542.79680616129
8100.0,88562.98822991922
8200.0,65103.93665139517
8300.0,90694.23667561915
8400.0,58403.76530236052
8500.0,76088.88031360693
8600.0,51336.90758583415
8700.0,112379.94459155947
8800.0,61179.24238936789
8900.0,97388.5995213231
9000.0,89430.82702938002
9100.0,72322.11540473066
9200.0,118845.338515996
9300.0,83252.50504596625
9400.0,18693.98406457901
9500.0,132184.27463630866
9600.0,76486.06605304405
9700.0,57883.910896234214
9800.0,116908.79907721281
9900.0,68982.92067514919
10000.0,59717.55016572587
10100.0,70372.17405031621
10200.0,60984.88234322518
10300.0,41098.33900499344
10400.0,72555.88700846862
10500.0,93889.72935110703
10600.0,42203.887602865696
10700.0,42568.63385150861
10800.0,43029.60553646833
10900.0,21611.450398266315
11000.0,65775.10982221086
11100.0,33257.2127862731
11200.0,55846.388426959515
11300.0,22481.00469808653
11400.0,90721.62000902742
11500.0,57194.14066616492
11600.0,103783.6481352076
11700.0,34941.93561231252
11800.0,82150.1909173578
11900.0,59256.958032660186
12000.0,71695.84977941215
12100.0,12094.368767261505
12200.0,48552.36649010517
12300.0,61221.742413867265
12400.0,86496.08520491049
12500.0,24855.727571690455
12600.0,50233.98390485719
12700.0,88536.56014068052
12800.0,38190.99494316429
12900.0,25688.652828216553
13000.0,38839.943123931065
13100.0,39161.419328831136
13200.0,65849.70320045948
13300.0,39843.65577624738
13400.0,40033.35745301843
13500.0,40362.91187708732
13600.0,27074.408793607727
13700.0,27293.03757095337
13800.0,54994.83775257692
13900.0,27738.29431438446
14000.0,27941.762451296672
14100.0,56210.33943095431
14200.0,42398.48772966862
14300.0,114093.20603583753
14400.0,43130.24648921192
14500.0,28975.57104241848
14600.0,43638.76872678101
14700.0,58603.14245587587
14800.0,103265.6670177877
14900.0,14866.567978069186
15000.0,83345.1870185652
15100.0,15035.799003005028
15200.0,45492.1311468482
15300.0,106792.46873932704
15400.0,15350.90780955553
15500.0,30809.85455218889
15600.0,46689.95254616812
15700.0,15685.582204341888
15800.0,62923.12200653553
15900.0,47584.0760055203
16000.0,63870.181271500885
16100.0,32077.07343414426
16200.0,94157.32070297693
16300.0,48775.43074529618
16400.0,65308.4146890603
16500.0,49377.91507405043
16600.0,49689.606964722276
16700.0,33311.51505088806
16800.0,83842.17427174933
16900.0,67417.19682180882
17100.0,68207.90390900895
17200.0,34312.5195908919
17300.0,137937.89270047843
17500.0,69853.48453521729
17600.0,35028.54016432482
17700.0,17631.82341480255
17800.0,17739.44700050354
18000.0,35875.24850606918
18100.0,36076.74486221373
18200.0,72632.13649002463
18300.0,18275.144189314917
18400.0,18336.898480542004
18600.0,18558.421977996826
18700.0,74570.71328738146
18800.0,37432.485168509185
18900.0,37733.92026987672
19100.0,38149.5448223073
19200.0,57433.037179112434
19400.0,58084.08140808344
19600.0,19547.64667789638
19700.0,39269.811712743714
19800.0,59234.665444761515
19900.0,19847.308956980705
20000.0,19928.946203947067
20100.0,40133.781258143485
20200.0,100784.0601240173
20300.0,20233.463074157014
20400.0,40698.29907655716
20500.0,61306.643661007285
20600.0,41108.5326218009
20700.0,41270.46220970154
20800.0,41585.21554291248
20900.0,62621.867492586374
21000.0,62807.09846365452
21100.0,42092.18313455582
21200.0,63489.37271761894
21300.0,148824.02317453176
21400.0,42715.03994239867
21500.0,42849.655243873596
21600.0,43120.57776792161
21700.0,43309.69297951087
21800.0,65293.460636138916
21900.0,43667.41122055054
22000.0,43857.734662672505
22100.0,87922.72339425434
22200.0,22147.82956790924
22400.0,22368.73964935541
22700.0,67974.9645363316
22800.0,68243.12557819486
22900.0,22861.837210416794
23100.0,23004.693336486816
