Bin,PopulationSum
-20000.0,-499686.2745098039
-19800.0,-38124.70588235294
-19600.0,-75171.76470588235
-19400.0,-18487.05882352941
-19200.0,-35388.23529411765
-19000.0,-36062.74509803922
-18800.0,-18800.0
-18600.0,-37200.0
-18400.0,-15946.666666666668
-18000.0,-32964.705882352944
-17800.0,-15496.470588235294
-17000.0,-17000.0
-16600.0,-16600.0
-15600.0,-26734.117647058825
-15200.0,-9418.039215686274
-14800.0,-9982.745098039217
-14600.0,-23531.764705882353
-14400.0,-9769.411764705883
-14200.0,-14200.0
-14000.0,-42000.0
-13600.0,-16906.666666666668
-13400.0,-7567.058823529412
-12800.0,-20480.0
-12600.0,-6324.705882352941
-12200.0,-5549.803921568628
-11800.0,-5691.764705882353
-11600.0,-5868.235294117647
-10800.0,-13637.647058823528
-10200.0,-19040.0
-9800.0,-9800.0
-9700.0,-9792.018303766847
-9600.0,-8056.470588235294
-9200.0,-7179.607843137255
-9000.0,-2823.529411764706
-8800.0,-11974.901960784315
-8600.0,-5463.529411764706
-8400.0,-11298.823529411766
-8000.0,-5019.607843137255
-7600.0,-6676.078431372549
-7400.0,-1973.3333333333333
-7200.0,-1637.6470588235293
-7000.0,-3568.6274509803925
-6400.0,-9487.058823529413
-6200.0,-1361.5686274509803
-6000.0,-6000.0
-5600.0,-6588.235294117647
-5200.0,-3099.6078431372553
-5000.0,-1901.9607843137255
-4800.0,-9035.29411764706
-4600.0,-721.5686274509803
-4400.0,-1225.0980392156862
-4200.0,-10722.35294117647
-4000.0,-1066.6666666666667
-3800.0,-1460.3921568627452
-3600.0,-6140.041804859524
-3400.0,-7191.884757368514
-3200.0,-677.6470588235294
-3000.0,-3211.764705882353
-2800.0,-3568.627450980392
-2600.0,-2885.490196078431
-2400.0,-169.41176470588235
-2200.0,-7065.882352941177
-2000.0,-6094.117647058823
-1800.0,-2274.5250160399933
-1600.0,-1650.1960784313724
-1400.0,-4153.721681167098
-1200.0,-5152.941176470588
-1000.0,-66.66666666666666
-800.0,-3235.858531621285
-700.0,-720.5079063829035
-600.0,-1828.235294117647
-400.0,-2839.2156862745096
-200.0,-778.8235294117646
0.0,0.0
100.0,5672770.16815768
200.0,6330244.927597156
300.0,5130812.093991404
400.0,4038932.5711644534
500.0,3304823.5071421713
600.0,2727623.238108444
700.0,2179151.9156733705
800.0,1872879.2740476904
900.0,1640732.968157508
1000.0,1424501.885476375
1100.0,1232855.750304425
1200.0,1125198.4790435561
1300.0,1022239.8858516726
1400.0,816214.6793111224
1500.0,866793.2474522226
1600.0,792766.6544473186
1700.0,771181.4208325621
1800.0,731990.52662856
1900.0,625429.1049392249
2000.0,638791.3235137201
2100.0,565276.3719532138
2200.0,570438.9529535875
2300.0,488181.5411182843
2400.0,505084.91689324536
2500.0,425170.67019988137
2600.0,454771.25410240295
2700.0,435365.76753912837
2800.0,431069.1319585915
2900.0,455864.51695781405
3000.0,371192.09428682824
3100.0,427760.67526937585
3200.0,318143.53383431677
3300.0,315659.9740911699
3400.0,365913.5803326928
3500.0,344840.1838450853
3600.0,363734.7377145596
3700.0,323631.0521827149
3800.0,273933.8170902375
3900.0,269000.3466515744
