Bin,PopulationSum
-19400.0,-18106.666666666668
-13200.0,-7920.0
-9400.0,-4001.9535041360296
-6600.0,-2976.470588235294
-5800.0,-1546.6666666666667
-3600.0,-480.0
-2800.0,-263.52941176470586
-2200.0,-172.54901960784312
-2000.0,-196.078431372549
-1800.0,-148.23529411764704
-1600.0,-62.745098039215684
-1400.0,-87.84313725490196
-1200.0,-42.35294117647059
-1000.0,-237.14761101217832
-800.0,-37.64705882352941
-300.0,-35.759679380760474
-200.0,-101.96078431372548
0.0,0.0
100.0,55821.19555103869
200.0,48456.876622047705
300.0,32036.803542546575
400.0,20956.462770247945
500.0,10401.71851809207
600.0,8228.803376555126
700.0,6856.744938293311
800.0,2111.537920828609
900.0,2043.3704807921806
1000.0,1088.2412765076494
1200.0,3768.8263135107527
1300.0,1880.4038805144783
1400.0,1221.8708963902557
1500.0,1227.316812354633
1600.0,1533.2212975807488
1700.0,2609.732509989949
1800.0,1033.134120755639
1900.0,1898.3070892095566
2100.0,2076.5985837876797
2500.0,4591.234450448069
2800.0,2753.5774305065474
2900.0,2889.0582489594817
3000.0,5216.601972914341
3200.0,1956.019112156874
3900.0,3804.6021149065346
4000.0,3905.8956358470023
4200.0,3510.7139027090634
5300.0,5276.696046993136
7400.0,7042.067572405116
9300.0,9225.867576122284
