Bin,PopulationSum
-20000.0,-159294.11764705883
-19600.0,-18677.647058823528
-19000.0,-16168.627450980392
-18800.0,-16956.86274509804
-18400.0,-15513.725490196079
-17800.0,-14868.235294117647
-17400.0,-14056.470588235294
-16800.0,-12451.764705882353
-16600.0,-16600.0
-15000.0,-10470.588235294117
-14400.0,-9543.529411764706
-14200.0,-8742.745098039217
-14000.0,-11474.509803921568
-13400.0,-15081.568627450979
-12400.0,-6564.705882352941
-12200.0,-31528.62745098039
-11800.0,-6247.058823529412
-11400.0,-5320.0
-11200.0,-10804.70588235294
-10800.0,-4870.588235294118
-10400.0,-8646.274509803921
-10000.0,-9607.843137254902
-9600.0,-3463.529411764706
-9400.0,-3096.470588235294
-9200.0,-3427.450980392157
-8800.0,-9041.56862745098
-8600.0,-2967.843137254902
-8400.0,-4183.529411764706
-7800.0,-2538.823529411765
-7400.0,-2176.470588235294
-7000.0,-2058.823529411765
-6600.0,-1708.2352941176473
-6400.0,-3563.921568627451
-6000.0,-2917.6470588235297
-5800.0,-1250.9803921568628
-5600.0,-1273.7254901960785
-5000.0,-941.1764705882352
-4800.0,-1825.8823529411766
-4500.0,-1280.7038320668846
-4200.0,-1811.7647058823532
-4000.0,-4454.901960784314
-3800.0,-581.1764705882354
-3600.0,-635.2941176470589
-3200.0,-727.843137254902
-3000.0,-282.3529411764706
-2800.0,-3546.6666666666665
-2700.0,-2799.9526490308344
-2600.0,-2997.6470588235293
-2400.0,-969.4117647058824
-2200.0,-1440.7843137254902
-2000.0,-1090.1960784313724
-1800.0,-2040.0
-1600.0,-138.0392156862745
-1400.0,-131.76470588235293
-1200.0,-1101.1764705882351
-1100.0,-1199.1314243674278
-1000.0,-1021.7639033049345
-900.0,-998.9842081144452
-800.0,-34.50980392156863
-700.0,-1595.101507678628
-600.0,-997.6500580907416
-500.0,-1442.4772248150014
-400.0,-1365.04602149309
-300.0,-752.3348472199092
-200.0,-1087.0588235294117
-0.0,-57.09158191457391
0.0,0.0
100.0,2340219.64636219
200.0,3536817.0665525133
300.0,4045834.8477898287
400.0,4091844.301629322
500.0,3875700.8499557916
600.0,3431519.0260976804
700.0,3111822.998834509
800.0,2695694.2955461433
900.0,2381850.8320575794
1000.0,2131071.632438938
1100.0,1893869.8791820647
1200.0,1718797.7216744237
1300.0,1572390.7080151343
1400.0,1541749.6678327862
1500.0,1400679.2539930511
1600.0,1322633.6711482182
1700.0,1264038.2642106263
1800.0,1240099.1430571044
1900.0,1108795.5745170058
2000.0,1101483.9613781758
2100.0,939246.4693577501
2200.0,1028877.0115571901
2300.0,919534.9535469972
2400.0,902850.078318248
2500.0,930623.8571139628
2600.0,738642.2015799079
2700.0,880444.9876408674
2800.0,756916.5382037733
2900.0,754987.0109248349
3000.0,700057.1373650449
3100.0,790836.7608111962
3200.0,711759.6868159176
3300.0,769076.2318186329
3400.0,633687.2527825384
3500.0,554117.6662030405
3600.0,516855.5504483195
3700.0,619308.8736887628
3800.0,603098.4153833862
3900.0,549982.2324229812
4000.0,626741.564608108
4100.0,559880.1588264711
4200.0,561992.9983145518
4300.0,577305.6328216239
4400.0,502880.32243685995
4500.0,463888.5750363214
4600.0,493312.8145689019
4700.0,439583.7022273801
4800.0,430927.67142629635
4900.0,460970.49592108885
5000.0,443480.12582586904
5100.0,383044.08456949156
5200.0,444284.3005039209
5300.0,448680.0130685744
5400.0,404856.50739122275
5500.0,397304.54979106167
5600.0,382472.35169374954
5700.0,325928.49336122983
5800.0,313367.7646536832
5900.0,319873.7341427455
6000.0,349597.624047301
6100.0,333346.32838360785
6200.0,307560.3090943696
6300.0,384349.6906248314
6400.0,259377.48400620962
6500.0,322669.8202592032
6600.0,310622.7245440186
6700.0,304294.63324210176
6800.0,348746.5065361656
6900.0,300502.5412745757
7000.0,289600.55912844115
7100.0,278394.3946055108
7200.0,271658.0021047164
7300.0,291168.04471012094
7400.0,284425.9985779319
7500.0,282965.3275122754
7600.0,218974.53510892298
7700.0,274811.62488681276
7800.0,240525.0910681598
7900.0,340550.6024432268
8000.0,234777.98009581704
8100.0,217148.08957025688
8200.0,244575.35217396542
8300.0,160188.64775625602
8400.0,183172.57212160612
8500.0,227016.84849714706
8600.0,162328.76728465874
8700.0,171987.88982647157
8800.0,253817.67184918188
8900.0,158519.99825677622
9000.0,250635.9693202721
9100.0,208273.41676405258
9200.0,248315.01342334866
9300.0,191237.11249240502
9400.0,172780.11392831054
9500.0,198614.61501655728
9600.0,183889.1500479193
9700.0,153900.40032901237
9800.0,194958.77528835554
9900.0,205938.11774025674
10000.0,206997.90473138733
10100.0,110493.81147425009
10200.0,314370.0075555332
10300.0,152446.1893159008
10400.0,175824.14111017063
10500.0,195900.02342323598
10600.0,146750.9400688003
10700.0,191711.50208196975
10800.0,125853.07602016836
10900.0,158805.4065791181
11000.0,153440.06730012782
11100.0,149641.2462744645
11200.0,212033.9982376881
11300.0,101135.11184487585
11400.0,178151.96518917393
11500.0,91590.63918379322
11600.0,150020.00498034153
11700.0,128061.08245225623
11800.0,176163.52804277744
11900.0,82952.64545696229
12000.0,107463.1618982181
12100.0,120425.2881565988
12200.0,97154.70979953185
12300.0,134870.14099720865
12400.0,185314.87614565715
12500.0,149379.85915330052
12600.0,138127.29106755182
12700.0,202454.64900441468
12800.0,63775.511273244396
12900.0,102842.07189767808
13000.0,103589.6982915476
13100.0,97788.84567626276
