Bin,PopulationSum
-20000.0,-1.501582431372549E9
-19800.0,-1483602.3529411769
-19600.0,-875312.9411764707
-19400.0,-842188.2352941177
-19200.0,-537524.7058823529
-19000.0,-488560.7843137254
-18800.0,-888539.6078431372
-18600.0,-349242.3529411765
-18400.0,-364897.2549019608
-18300.0,-18399.489553414518
-18200.0,-281065.09803921566
-18000.0,-508235.29411764705
-17800.0,-282566.2745098039
-17600.0,-349653.3333333334
-17400.0,-319136.4705882353
-17200.0,-254694.9019607843
-17000.0,-418866.6666666667
-16800.0,-352734.11764705885
-16600.0,-328484.70588235295
-16400.0,-337968.62745098036
-16200.0,-206152.9411764706
-16000.0,-285929.41176470584
-15800.0,-287126.274509804
-15600.0,-93967.0588235294
-15400.0,-160401.568627451
-15200.0,-296727.84313725494
-15000.0,-212470.58823529416
-14800.0,-89322.35294117648
-14600.0,-111818.82352941176
-14400.0,-281562.3529411765
-14200.0,-154362.35294117648
-14000.0,-232839.2156862745
-13800.0,-147362.35294117648
-13600.0,-191893.3333333333
-13400.0,-144614.90196078434
-13200.0,-107774.11764705883
-13000.0,-155592.1568627451
-12800.0,-140649.41176470587
-12600.0,-145221.17647058825
-12400.0,-240754.5098039216
-12200.0,-117024.3137254902
-12000.0,-243999.99999999997
-11800.0,-59462.74509803922
-11600.0,-117091.76470588233
-11400.0,-113463.5294117647
-11200.0,-111736.4705882353
-11000.0,-160988.23529411765
-10800.0,-85129.4117647059
-10600.0,-107454.90196078431
-10400.0,-95476.07843137256
-10300.0,-10399.98117048107
-10200.0,-88200.0
-10000.0,-149098.0392156863
-9800.0,-122365.49019607842
-9600.0,-114748.23529411764
-9400.0,-77043.13725490196
-9200.0,-61513.72549019608
-9000.0,-149117.64705882352
-8800.0,-77509.01960784313
-8600.0,-81312.15686274509
-8400.0,-101656.47058823529
-8200.0,-117951.3725490196
-8100.0,-8197.12576769106
-8000.0,-63466.666666666664
-7800.0,-59402.35294117647
-7600.0,-75314.50980392157
-7400.0,-74000.0
-7200.0,-189204.70588235292
-7000.0,-132505.88235294117
-6800.0,-99520.00000000001
-6600.0,-38668.23529411765
-6400.0,-24319.999999999996
-6200.0,-20107.450980392157
-6000.0,-122188.23529411764
-5800.0,-40076.86274509804
-5600.0,-68407.8431372549
-5400.0,-45529.41176470589
-5200.0,-39438.43137254902
-5000.0,-58470.588235294126
-4800.0,-62230.58823529412
-4600.0,-34671.3725490196
-4400.0,-50401.568627450986
-4200.0,-31409.41176470588
-4100.0,-4199.626646786928
-4000.0,-62572.549019607846
-3800.0,-22591.37254901961
-3600.0,-38682.35294117647
-3400.0,-26573.333333333336
-3200.0,-26591.372549019612
-3000.0,-54599.99999999999
-2800.0,-26693.333333333332
-2600.0,-29007.843137254902
-2400.0,-28762.352941176465
-2200.0,-11595.29411764706
-2000.0,-53850.98039215687
-1800.0,-17505.88235294117
-1600.0,-16778.039215686276
-1400.0,-15877.64705882353
-1200.0,-36785.88235294118
-1000.0,-8301.960784313727
-800.0,-11385.098039215685
-600.0,-10402.352941176468
-400.0,-8412.549019607843
-200.0,-8401.56862745098
0.0,0.0
100.0,348877.20257017564
200.0,375397.84071518667
300.0,352466.50733118964
400.0,326896.47580714733
500.0,291244.2320806672
600.0,252505.9180120465
700.0,212007.2962191516
800.0,248811.7307991594
900.0,227102.10089023423
1000.0,208646.36381813243
1100.0,183608.1619687831
1200.0,152720.6227630618
1300.0,150374.1102473384
1400.0,121675.73130508124
1500.0,132115.8175966941
1600.0,112345.89557324523
1700.0,138740.18800888862
1800.0,115584.9619574435
1900.0,96101.43970092153
2000.0,114546.39206874237
2100.0,102349.55299607478
2200.0,112062.28646790143
2300.0,81186.748174496
2400.0,86960.9567958382
2500.0,85562.93768442073
2600.0,108884.26007692209
2700.0,103220.87352055742
2800.0,96136.55407013092
2900.0,59629.19413761981
3000.0,91330.07875483949
3100.0,97813.10993341147
3200.0,97507.13268791232
3300.0,61655.60973759875
3400.0,63856.394676363096
3500.0,72378.18383864779
3600.0,85003.65899801254
3700.0,91140.55018384848
3800.0,48660.94036829565
3900.0,49994.81872586999
4000.0,71204.35289982334
4100.0,54673.0511689896
4200.0,91370.6564123733
4300.0,106412.94677518401
4400.0,86876.72351730708
4500.0,66688.3099855762
4600.0,68314.5213165218
4700.0,74357.93321334198
4800.0,80767.6110024564
4900.0,53362.62083026208
5000.0,84090.50386349112
5100.0,100943.07679547183
5200.0,61765.55260637961
5300.0,57730.660183906555
5400.0,64127.95929256454
5500.0,49115.0807893537
5600.0,60954.47729223827
5700.0,39635.762316110544
5800.0,47159.15036118139
5900.0,35116.51630852744
6000.0,47504.20756525546
6100.0,54401.912665636046
6200.0,67547.22588323057
6300.0,43781.57199217379
6400.0,50784.56913362024
6500.0,38824.72978587076
6600.0,91839.60064666905
6700.0,39799.31708479207
6800.0,67556.0527535351
6900.0,41227.39038194623
7000.0,76462.23241297714
7100.0,56356.748269932345
7200.0,35618.23259138223
7300.0,36362.60007439181
7400.0,73664.10547844041
7500.0,7419.397125244141
7600.0,60361.565964370966
7700.0,30558.139036148787
7800.0,30924.783391177654
7900.0,23480.797262251377
8000.0,23883.6792459134
8100.0,24194.003413897008
8200.0,40730.549834020436
8300.0,49526.46630503982
8400.0,25000.52377796173
8500.0,33715.055093515664
8600.0,25662.458359837532
8800.0,8701.349613897502
8900.0,17702.16009902954
9000.0,35739.1769179441
9100.0,9071.581834673882
9200.0,9163.608232498169
9300.0,46176.9054277353
9400.0,27990.79660389386
9500.0,66175.6851806324
9600.0,38162.69222569838
9700.0,19296.159903425723
9800.0,9724.788742899895
9900.0,9841.398105621338
10000.0,39795.8111705184
10100.0,40110.082672059536
10300.0,10290.827251434326
10400.0,20742.71593120601
10600.0,10552.716793835163
10800.0,75104.46490372717
10900.0,10858.127350986004
11000.0,43806.79569172859
11100.0,44191.657976448536
11200.0,11108.718942642212
11500.0,22886.099962830544
11600.0,11527.171066563576
11700.0,34955.282139649615
11900.0,11824.593339920044
12000.0,11935.724367141724
12100.0,12009.73481118679
12200.0,36425.0331799984
12300.0,61203.85853981972
12400.0,12334.228748321533
12700.0,50554.80537998676
12800.0,63717.95962418616
13100.0,26076.520356416702
13200.0,13120.909748733044
13300.0,13278.353658378124
13400.0,13338.925632476807
13500.0,26930.07646857947
13600.0,27096.46693056822
13700.0,27297.413906097412
13800.0,13755.26351544261
14200.0,14105.845821380615
14300.0,28465.102330371737
14400.0,14385.965436458588
14500.0,14470.074690112844
14700.0,14555.029877905752
14800.0,14726.910375926644
15000.0,14935.48070526123
15100.0,30041.06024479866
15200.0,15124.430884361267
15300.0,15227.386861801147
15500.0,30978.032729834318
