Bin,PopulationSum
-19500.0,-19131.93237982357
-18200.0,-15345.098039215687
-17400.0,-16444.70588235294
-17200.0,-16188.235294117647
-15200.0,-13232.94117647059
-13500.0,-9012.894743166367
-13100.0,-10647.345892301728
-11900.0,-7334.952464435469
-11000.0,-13545.098039215687
-10600.0,-4905.098039215686
-10100.0,-5257.224744263818
-10000.0,-4392.156862745098
-8800.0,-5003.921568627451
-8400.0,-3261.1764705882356
-7600.0,-10014.117647058823
-7400.0,-3917.6470588235293
-7300.0,-7399.1822628974915
-7200.0,-1863.529411764706
-7000.0,-6780.392156862745
-6900.0,-2223.5268892225645
-6800.0,-2000.0
-6600.0,-1837.6470588235295
-6200.0,-3136.470588235294
-6000.0,-7905.882352941177
-5900.0,-7802.146685884338
-5800.0,-3843.921568627451
-5700.0,-2820.3801776667437
-5600.0,-8213.333333333332
-5400.0,-4383.529411764706
-5300.0,-3344.0767936241396
-5200.0,-6301.176470588235
-5000.0,-1215.686274509804
-4900.0,-3136.8774355626574
-4800.0,-2315.294117647059
-4600.0,-1389.0196078431372
-4500.0,-1660.4731768604586
-4400.0,-5866.666666666667
-4200.0,-4381.176470588235
-4000.0,-988.2352941176471
-3900.0,-6806.801639038062
-3800.0,-2578.0392156862745
-3400.0,-2466.6666666666665
-3200.0,-351.37254901960785
-3100.0,-2258.4758907048144
-3000.0,-705.8823529411765
-2900.0,-2949.4710396219702
-2800.0,-2261.9607843137255
-2700.0,-3432.720716825427
-2600.0,-1305.0980392156862
-2400.0,-5232.941176470588
-2300.0,-2192.8711061411045
-2200.0,-5262.745098039216
-2000.0,-5003.921568627451
-1900.0,-1379.6287386037848
-1800.0,-8575.337041353778
-1700.0,-4123.856550956299
-1600.0,-1160.7843137254902
-1500.0,-1595.0227427482605
-1400.0,-1460.3921568627452
-1300.0,-1152.704820985358
-1200.0,-912.9411764705883
-1100.0,-395.22390532774085
-1000.0,-3384.313725490196
-900.0,-1762.564920005699
-800.0,-3118.431372549019
-700.0,-948.4759441133733
-600.0,-663.529411764706
-500.0,-1130.509185608688
-400.0,-922.3529411764705
-300.0,-988.0549502785225
-200.0,-843.9215686274509
-100.0,-573.4109999092916
0.0,0.0
100.0,1138546.4014139143
200.0,337900.3088160196
300.0,247288.65233607462
400.0,209479.03914178436
500.0,199924.26035778318
600.0,190190.48725374317
700.0,171895.34247914876
800.0,135971.0061328359
900.0,134882.65930974126
1000.0,138349.6395293323
1100.0,122788.6923801693
1200.0,103733.07848448951
1300.0,98152.44333964116
1400.0,109347.31373215686
1500.0,86509.85548868714
1600.0,87832.46701787191
1700.0,86229.63832508349
1800.0,61890.75762359921
1900.0,64312.362342773835
2000.0,75264.29135932926
2100.0,46067.257392444815
2200.0,37116.17726599349
2300.0,60880.31676977157
2400.0,48337.94397672966
2500.0,55379.05082235504
2600.0,55809.12844060712
2700.0,34403.41966898118
2800.0,58591.3877629972
2900.0,13154.483609994808
3000.0,38008.594496911115
3100.0,38107.39304115533
3200.0,47284.24427314434
3300.0,29186.917560931295
3400.0,40712.34969296141
3500.0,48168.23671773598
3600.0,30294.24260975487
3700.0,21849.018926683813
3800.0,28111.745819907628
3900.0,38041.0971995931
4000.0,31546.2862933632
4100.0,32342.955475058407
4200.0,32920.916524522356
4300.0,19682.621478453715
4400.0,36466.46435120537
4500.0,34013.893059003545
4600.0,18188.925068981946
4700.0,23291.012955114245
4800.0,23789.937905551866
4900.0,22347.46790139012
5000.0,19144.409941317266
5100.0,10179.22810504213
5200.0,25695.6662446931
5300.0,15691.207620203495
5400.0,5335.612006902695
5500.0,16270.524982862175
5600.0,11148.270259559155
5700.0,11296.661991596222
5800.0,5796.9788807109
6000.0,11883.302833795547
6100.0,3718.27873230261
6200.0,16934.546977836595
6300.0,6221.674537539482
6500.0,6419.095330685377
6600.0,32654.393328478756
6700.0,6621.265969753265
6800.0,13421.898270953447
6900.0,6845.835679432377
7000.0,23359.607395816885
7100.0,14163.060068858787
7300.0,14529.473557636142
7400.0,6820.10707585518
8200.0,16176.404476620315
8600.0,8545.341396998614
8800.0,8726.73119366169
8900.0,8861.667115364224
9100.0,9006.459690093994
9700.0,8926.245555349074
10300.0,10237.371430367231
10400.0,10370.32837544009
11300.0,11268.919495787472
11500.0,11405.753106221557
11900.0,11806.996393740177
12200.0,11738.318398981935
12800.0,25515.137643396854
16400.0,16192.296157836914
18100.0,18067.503037452698
19000.0,18963.235919952393
