Bin,PopulationSum
-20000.0,-20000.0
-19200.0,-18371.764705882353
-17600.0,-15460.392156862745
-17400.0,-14943.529411764704
-16200.0,-13023.529411764706
-15600.0,-12724.70588235294
-15000.0,-22705.882352941175
-12800.0,-8382.745098039215
-12600.0,-7905.882352941177
-12400.0,-7585.8823529411775
-12000.0,-7058.823529411765
-11000.0,-18031.37254901961
-9800.0,-9607.843137254902
-9600.0,-4592.941176470588
-9200.0,-4221.176470588235
-9000.0,-7905.882352941177
-8000.0,-6305.882352941177
-7800.0,-2936.470588235294
-7600.0,-2831.372549019608
-7400.0,-2640.7843137254904
-7000.0,-12462.745098039217
-6800.0,-4586.666666666667
-6600.0,-4451.764705882353
-6400.0,-4166.274509803921
-6200.0,-1993.7254901960787
-6000.0,-3694.1176470588234
-5800.0,-1910.5882352941176
-5600.0,-3206.274509803922
-5400.0,-5781.176470588236
-5000.0,-2000.0
-4800.0,-1110.5882352941178
-4600.0,-1352.9411764705883
-4000.0,-1678.4313725490197
-3800.0,-789.8039215686275
-3600.0,-1440.0
-3400.0,-1866.6666666666667
-3200.0,-1781.9607843137255
-2800.0,-2240.0
-2600.0,-1447.843137254902
-2400.0,-545.8823529411765
-2200.0,-750.5882352941176
-2000.0,-1301.9607843137255
-1800.0,-416.47058823529414
-1600.0,-1882.3529411764707
-1400.0,-916.8627450980391
-1200.0,-4051.764705882353
-1000.0,-1588.235294117647
-800.0,-796.8627450980392
-600.0,-1002.3529411764705
-400.0,-368.62745098039215
-300.0,-199.65054732699897
-200.0,-274.5098039215686
-100.0,-107.34202663197237
0.0,0.0
100.0,2301.964740560075
200.0,1532.8102529558337
300.0,2007.304855831245
400.0,428.599867031621
500.0,498.6856285110116
600.0,2361.9074364038074
700.0,1563.016631357905
1000.0,1554.2850354338393
1100.0,2355.4542178228057
1200.0,487.36043990079094
1300.0,1228.7020342350006
1500.0,924.0090048926498
1700.0,2747.4366137238403
1800.0,1708.2646442726254
1900.0,1788.6272962470705
2100.0,2066.4155104756355
