Bin,PopulationSum
-14800.0,-11027.450980392157
-13800.0,-9308.235294117647
-13600.0,-9120.0
-10800.0,-5844.7058823529405
-9600.0,-4517.64705882353
-9300.0,-4423.497955125921
-9200.0,-4040.78431372549
-8600.0,-3709.8039215686276
-8400.0,-3689.4117647058824
-8200.0,-3312.156862745098
-7000.0,-2388.2352941176473
-6700.0,-2265.906933248043
-6500.0,-2174.114433954612
-6400.0,-2108.235294117647
-6200.0,-1799.21568627451
-5400.0,-1418.8235294117649
-5000.0,-1254.9019607843138
-4800.0,-2880.0
-4000.0,-1490.1960784313724
-3400.0,-546.6666666666667
-3200.0,-1041.5686274509803
-3000.0,-447.05882352941177
-2800.0,-823.5294117647059
-2600.0,-1814.9019607843138
-2000.0,-556.8627450980391
-1800.0,-720.0
-1400.0,-886.063679560493
-1200.0,-141.1764705882353
-1000.0,-145.09803921568627
-800.0,-94.11764705882354
-600.0,-197.6470588235294
-400.0,-32.94117647058823
-200.0,-37.64705882352941
0.0,0.0
100.0,35194.120289352286
200.0,9160.623765857157
300.0,6664.812971088854
400.0,7646.482064568904
500.0,6996.866948087835
600.0,5311.046195565632
700.0,4380.3214043319595
800.0,5415.001271229884
900.0,7480.603325378011
1000.0,5752.294920459741
1100.0,5212.771046976983
1200.0,6098.842144605364
1300.0,5813.121181002712
1400.0,3980.4792436407697
1500.0,4915.2430376656575
1600.0,8449.184058820358
1700.0,5781.129355599863
1900.0,5443.6028391057625
2000.0,1916.141599625349
2100.0,4153.696095112711
2200.0,4310.374984046444
2300.0,5273.515539675272
2400.0,8691.24109848242
2500.0,17203.342292090823
2600.0,2346.900237761255
2700.0,7997.189673339948
2800.0,7263.284447717152
3000.0,5894.976139549166
3200.0,9344.162837611073
3300.0,6422.885978134831
3400.0,9841.742276794113
3500.0,3490.92606413085
3600.0,13953.71421568071
3700.0,3696.4353079032153
3800.0,6256.826858883242
4000.0,7001.162177848677
4100.0,4025.8103998657316
4300.0,8575.654804944992
4500.0,13260.217539400739
4600.0,3885.9163020612777
4700.0,4664.900358431041
5400.0,4665.872691318918
5600.0,5557.073275722563
5700.0,5628.5656435946
5900.0,5815.498414039612
6400.0,6303.989996308461
