Bin,PopulationSum
-20000.0,-2.089324E9
-19800.0,-2565691.7647058815
-19600.0,-1063165.4901960786
-19400.0,-1404560.0000000002
-19200.0,-1102607.0588235294
-19000.0,-717007.8431372547
-18800.0,-1240357.6470588234
-18600.0,-871792.9411764706
-18400.0,-563184.3137254902
-18200.0,-867747.450980392
-18000.0,-1104141.1764705882
-17800.0,-412680.7843137255
-17600.0,-597226.6666666667
-17400.0,-516677.6470588236
-17200.0,-542238.431372549
-17000.0,-718066.6666666667
-16800.0,-564348.2352941176
-16600.0,-406146.6666666666
-16400.0,-624293.3333333333
-16200.0,-400298.8235294117
-16000.0,-809286.2745098039
-15800.0,-529269.0196078431
-15600.0,-457171.76470588235
-15400.0,-259021.96078431373
-15200.0,-480796.8627450981
-15000.0,-322764.70588235295
-14800.0,-311148.23529411765
-14600.0,-374275.2941176471
-14400.0,-401675.294117647
-14200.0,-281883.92156862747
-14000.0,-424886.2745098039
-13800.0,-314098.8235294118
-13600.0,-325600.00000000006
-13400.0,-315767.05882352946
-13200.0,-227764.70588235295
-13000.0,-295074.50980392157
-12800.0,-231705.09803921566
-12600.0,-234261.17647058825
-12400.0,-330909.8039215687
-12200.0,-229407.8431372549
-12000.0,-283529.4117647059
-11800.0,-194861.96078431373
-11600.0,-226495.68627450982
-11400.0,-165009.41176470587
-11200.0,-150036.07843137253
-11000.0,-313262.7450980392
-10800.0,-220997.64705882352
-10600.0,-266454.90196078434
-10400.0,-302211.7647058823
-10200.0,-188200.0
-10000.0,-300000.0
-9800.0,-123749.01960784313
-9600.0,-226823.52941176473
-9400.0,-142400.78431372548
-9200.0,-195833.72549019608
-9000.0,-132670.58823529413
-8800.0,-175309.80392156861
-8600.0,-173214.1176470588
-8400.0,-182329.41176470587
-8200.0,-166508.23529411765
-8000.0,-286776.4705882352
-7800.0,-162943.52941176473
-7600.0,-163921.56862745096
-7400.0,-78498.03921568628
-7200.0,-195416.47058823527
-7000.0,-122349.01960784313
-6800.0,-151920.0
-6600.0,-150609.4117647059
-6400.0,-137587.45098039217
-6200.0,-95479.99999999999
-6000.0,-146376.4705882353
-5800.0,-119298.0392156863
-5600.0,-140197.64705882355
-5400.0,-94065.88235294117
-5200.0,-113196.86274509803
-5000.0,-107529.41176470589
-4800.0,-86701.17647058824
-4600.0,-63750.58823529412
-4400.0,-93107.45098039217
-4200.0,-100602.35294117648
-4000.0,-113098.0392156863
-3800.0,-72438.431372549
