Bin,PopulationSum
-20000.0,-6873333.333333334
-19800.0,-155138.82352941178
-19700.0,-19565.946692090878
-19600.0,-190235.2941176471
-19500.0,-19130.370746354496
-19400.0,-93728.62745098039
-19200.0,-89901.17647058824
-19000.0,-51337.25490196078
-18900.0,-17947.393322208816
-18800.0,-85521.568627451
-18600.0,-50548.23529411765
-18200.0,-65948.23529411765
-18000.0,-126705.88235294117
-17800.0,-31551.37254901961
-17600.0,-147218.82352941175
-17500.0,-15319.583383307738
-17400.0,-15148.235294117647
-17300.0,-30224.55825075449
-17200.0,-31162.35294117647
-17000.0,-85800.0
-16800.0,-68978.82352941176
-16600.0,-44071.37254901961
-16400.0,-61998.43137254902
-16200.0,-13087.058823529413
-16000.0,-110745.09803921568
-15800.0,-45231.37254901961
-15600.0,-69863.5294117647
-15400.0,-27357.64705882353
-15200.0,-47447.8431372549
-15000.0,-42294.117647058825
-14900.0,-22332.730210064907
-14800.0,-52061.17647058823
-14600.0,-19523.92156862745
-14400.0,-49242.35294117646
-14200.0,-29847.843137254902
-14000.0,-55835.29411764706
-13800.0,-32741.176470588238
-13600.0,-43413.33333333333
-13400.0,-53547.450980392154
-13300.0,-8880.608666117869
-13200.0,-50781.17647058823
-13100.0,-8696.439493609176
-13000.0,-17129.41176470588
-12800.0,-46983.529411764706
-12700.0,-8131.758861672746
-12600.0,-6670.588235294118
-12500.0,-16153.636259738138
-12400.0,-52371.76470588236
-12200.0,-19950.58823529412
-12000.0,-49835.29411764706
-11800.0,-33271.37254901961
-11600.0,-32889.41176470588
-11500.0,-6732.17391968802
-11400.0,-32009.411764705885
-11200.0,-29559.215686274507
-11000.0,-23811.764705882357
-10800.0,-4912.941176470588
-10600.0,-10683.137254901962
-10400.0,-42252.54901960784
-10200.0,-39200.0
-10100.0,-5319.7592621050635
-10000.0,-43921.56862745098
-9900.0,-5241.546036979498
-9800.0,-21944.313725490192
-9700.0,-9297.150631318373
-9600.0,-30795.294117647056
-9500.0,-4441.610315561996
-9400.0,-17436.07843137255
-9300.0,-5600.735501239346
-9200.0,-4185.098039215686
-9000.0,-25552.941176470587
-8800.0,-16116.078431372549
-8600.0,-6846.274509803921
-8400.0,-6588.235294117647
-8200.0,-29648.62745098039
