Bin,PopulationSum
-20000.0,-1540000.0
-19800.0,-118800.0
-19600.0,-39200.0
-19400.0,-19400.0
-19200.0,-19200.0
-19000.0,-95000.0
-18800.0,-37600.0
-18600.0,-37200.0
-18000.0,-18000.0
-17400.0,-17400.0
-16800.0,-16800.0
-16600.0,-16600.0
-16400.0,-49200.0
-16200.0,-16200.0
-16000.0,-32000.0
-15400.0,-15400.0
-15000.0,-15000.0
-14800.0,-14800.0
-14200.0,-14200.0
-14000.0,-14000.0
-13400.0,-13400.0
-13200.0,-13200.0
-12800.0,-38400.0
-12600.0,-12600.0
-12200.0,-12200.0
-12000.0,-24000.0
-11400.0,-11400.0
-11200.0,-11200.0
-11000.0,-33000.0
-10800.0,-10800.0
-10600.0,-10600.0
-10400.0,-20800.0
-10200.0,-10200.0
-10000.0,-20000.0
-9000.0,-9000.0
-8800.0,-8800.0
-8400.0,-16800.0
-7900.0,-7996.73351431638
-7400.0,-19385.098039215685
-7200.0,-7200.0
-7000.0,-7000.0
-6800.0,-6800.0
-6600.0,-6600.0
-6400.0,-6400.0
-6000.0,-6000.0
-5600.0,-11200.0
-5200.0,-10400.0
-5000.0,-5000.0
-4800.0,-9600.0
-4600.0,-4600.0
-4200.0,-8400.0
-4000.0,-8000.0
-3800.0,-3800.0
-3600.0,-3600.0
-3400.0,-2960.0
-3200.0,-3200.0
-3000.0,-6000.0
-2800.0,-2800.0
-2600.0,-7800.0
-2400.0,-2560.0
-2200.0,-2200.0
-2000.0,-4000.0
-1800.0,-3600.0
-1600.0,-3200.0
-1400.0,-1400.0
-1200.0,-2400.0
-800.0,-1600.0
-600.0,-1800.0
-400.0,-1262.7450980392157
-200.0,-1277.6470588235293
0.0,0.0
100.0,1791923.5836556824
200.0,1906704.163197967
300.0,1541043.9345944533
400.0,1170881.7716157099
500.0,884980.3906068883
600.0,704124.5795152598
700.0,545122.5468359675
800.0,443180.275387892
900.0,377183.7422770521
1000.0,328185.1331775887
1100.0,315554.3720137542
1200.0,266417.9223772024
1300.0,227399.57470507448
1400.0,204612.1615780273
1500.0,166891.8927675793
1600.0,207504.68271733786
1700.0,153384.976274668
1800.0,157606.40202912595
1900.0,129303.89418105036
2000.0,146230.21182751702
2100.0,132786.7976117286
2200.0,128099.63795128626
2300.0,133338.72093613612
2400.0,110282.38678409997
2500.0,85724.50858280202
2600.0,95206.4598338578
2700.0,116306.531745316
2800.0,107118.1628571325
2900.0,90891.11388850806
3000.0,76637.27064395603
3100.0,88716.19677349925
3200.0,82017.09309803322
3300.0,84439.04558238527
3400.0,98890.88748184343
3500.0,120749.40456834901
3600.0,88644.20747157266
3700.0,54768.55925754644
3800.0,108945.4663940845
3900.0,84681.84871984879
4000.0,75404.50986710843
4100.0,80828.94543363526
4200.0,70463.05511093885
4300.0,63836.85425913427
4400.0,91247.55757660978
4500.0,102226.50115176849
4600.0,77572.98603622103
4700.0,69685.39256465621
4800.0,47491.89967305027
4900.0,63043.43550041132
5000.0,54424.28987178579
5100.0,75625.41097084992
5200.0,51512.093429755885
5300.0,52475.188068490475
5400.0,64177.4270995222
5500.0,81834.58302300051
5600.0,33252.60220339522
5700.0,95986.93477542844
5800.0,57393.58159989491
5900.0,40895.13739534095
6000.0,77153.2233503582
6100.0,78702.53610249422
6200.0,61435.03396518342
6300.0,74980.59155186359
6400.0,50817.30305726454
6500.0,96806.59659771062
6600.0,45902.02580841631
6700.0,66503.6859768182
6800.0,20287.297742411494
6900.0,75427.32092046458
7000.0,55727.91476209462
7100.0,42243.55424436368
7200.0,64387.506788262166
7300.0,87030.62547633331
7400.0,29375.823037641123
7500.0,74478.20193125866
7600.0,37727.53541683126
7700.0,68862.99163940176
7800.0,38663.602175451815
7900.0,47055.617525397334
8000.0,79639.31615630537
8100.0,32272.78338297829
8200.0,106040.14261031114
8300.0,66093.56439895742
8400.0,58514.26059632003
8500.0,50748.41829300672
8600.0,51319.344818525016
8700.0,34623.38179061562
8800.0,26170.192786943167
8900.0,35276.117914641276
9000.0,53653.20317263156
9100.0,72253.1027069753
9200.0,73151.80647774879
9300.0,46221.60847854614
9400.0,65311.874999580905
9500.0,18872.880479812622
9600.0,47632.74071834609
9700.0,57954.887713639066
9800.0,68306.61841067253
9900.0,29516.148765817285
10000.0,19890.669132127427
10100.0,50213.71780692041
10200.0,20292.840813219547
10300.0,82014.85757559538
10400.0,72471.27798263915
10500.0,20901.984516978264
10600.0,31629.82344341278
10700.0,63918.063423633575
10800.0,42969.207382678986
10900.0,32568.54610441625
11000.0,43859.07473489456
11100.0,22062.242446899414
11200.0,11161.267203569412
11300.0,22435.613166809082
11400.0,79319.78007813916
11500.0,22921.165774194524
11600.0,11564.131511688232
11700.0,34880.159263008274
11800.0,11713.50463104248
11900.0,11859.001439094543
12000.0,47850.54254236817
12100.0,84294.99938765168
12200.0,24335.225608348846
12300.0,36770.40519024432
12400.0,12360.090654373169
12500.0,49870.73039427586
12800.0,38136.81887407601
12900.0,25693.100476801395
13100.0,26114.446388438344
13200.0,26281.286653518677
13300.0,26547.473738983274
13400.0,26701.72540050745
13500.0,26849.976636886597
13600.0,13592.78060412407
14000.0,13951.085289001465
14100.0,28082.352838993073
14300.0,28487.056072294712
14400.0,14371.165599822998
14500.0,14489.046604156494
14700.0,44040.768714904785
14800.0,29491.242458701134
15200.0,45488.05381822586
15600.0,15551.652929782867
15700.0,31307.919503211975
15900.0,15873.09095954895
16000.0,31816.15973931551
16300.0,16211.776588320732
16400.0,16359.014468193054
16600.0,16538.913026809692
16900.0,16853.35507583618
17000.0,33966.119475364685
17100.0,17078.20249143243
17200.0,34269.85890996456
17300.0,17271.972324371338
17500.0,17401.8711912632
17600.0,17572.183680176735
17900.0,35708.200548172
18100.0,18005.905361533165
18200.0,18148.771032333374
18300.0,18276.859079360962
19000.0,18999.1268825531
20100.0,20003.838020324707
20300.0,20255.167556762695
20600.0,20544.758373737335
20700.0,41289.938177108765
20800.0,20786.067381858826
20900.0,20863.351936340332
21000.0,20928.37890625
21500.0,21453.809852600098
21800.0,21755.840965270996
22100.0,22007.534635543823
22700.0,22603.033615112305
22900.0,22878.99168777466
23500.0,23412.328689575195
23900.0,23863.091049194336
24100.0,24072.14284849167
24500.0,24470.759086847305
25000.0,24941.705284118652
26300.0,26206.057640075684
