Bin,PopulationSum
-20000.0,-3.4631313725490212E9
-19800.0,-5390880.0
-19700.0,-19794.54251909256
-19600.0,-3935987.450980395
-19400.0,-3537342.7450980414
-19300.0,-38783.4810777735
-19200.0,-2350155.294117647
-19000.0,-2466349.019607843
-18800.0,-2198862.745098039
-18600.0,-2566581.176470589
-18400.0,-1544229.0196078434
-18200.0,-2160803.9215686275
-18000.0,-1947035.2941176472
-17900.0,-17999.97630460374
-17800.0,-1248792.156862745
-17600.0,-1909634.5098039205
-17400.0,-1203465.8823529412
-17300.0,-17399.926759682596
-17200.0,-861888.6274509805
-17100.0,-17199.857595860027
-17000.0,-1622000.0
-16800.0,-1041731.7647058824
-16600.0,-1036686.2745098039
-16400.0,-1365637.6470588234
-16300.0,-16399.74904420972
-16200.0,-666232.9411764706
-16000.0,-1242352.9411764704
-15800.0,-844525.4901960786
-15600.0,-1350103.5294117648
-15400.0,-759250.1960784314
-15300.0,-15322.581753594335
-15200.0,-923385.0980392157
-15000.0,-1577529.411764706
-14800.0,-650793.725490196
-14600.0,-652877.6470588234
-14500.0,-14599.10172907915
-14400.0,-1213835.2941176468
-14200.0,-682212.5490196076
-14000.0,-1143937.2549019605
-13900.0,-13996.431645601988
-13800.0,-691731.7647058824
-13600.0,-1110720.0
-13400.0,-532636.8627450981
-13200.0,-536955.294117647
-13000.0,-1126564.7058823528
-12800.0,-492975.6862745099
-12600.0,-646898.8235294118
-12400.0,-970701.1764705882
-12200.0,-450832.54730222677
-12000.0,-850541.1764705881
-11800.0,-358951.3725490195
-11600.0,-1039314.5098039217
-11400.0,-386124.7058823529
-11300.0,-11334.33721998334
-11200.0,-382337.25490196084
-11100.0,-11151.592458929867
-11000.0,-886556.8627450982
-10800.0,-420564.705882353
-10600.0,-454178.82352941175
-10400.0,-834773.3333333333
-10200.0,-279400.0
-10000.0,-526509.8039215687
-9800.0,-278973.3333333333
-9600.0,-669778.8235294116
-9500.0,-4401.611770770129
-9400.0,-343966.27450980403
-9200.0,-268170.98039215687
-9000.0,-690952.9411764706
-8900.0,-8998.066332697868
-8800.0,-266795.294117647
-8600.0,-319549.01960784313
-8500.0,-8527.600950550986
-8400.0,-563195.294117647
-8200.0,-239279.21568627455
-8000.0,-386698.03921568615
-7900.0,-7944.3073624726385
-7800.0,-235712.9411764706
-7600.0,-494804.70588235295
-7400.0,-238134.90196078428
-7200.0,-205440.0
-7100.0,-7105.6439338861965
-7000.0,-477043.13725490205
-6800.0,-180773.33333333337
-6600.0,-226910.5882352941
-6400.0,-397151.37254901964
-6200.0,-196017.25490196078
-6000.0,-230658.82352941175
-5900.0,-5997.434910774231
-5800.0,-130534.11764705884
-5600.0,-328928.62745098036
-5400.0,-124200.0
-5200.0,-169927.84313725488
-5000.0,-347588.23529411765
-4800.0,-88188.23529411764
-4600.0,-105918.74891638946
-4400.0,-240567.84313725485
-4200.0,-79849.41176470587
-4000.0,-150530.86413729307
-3800.0,-70575.6862745098
-3600.0,-185604.7058823529
-3400.0,-67275.54853404064
-3300.0,-3359.7156613990664
-3200.0,-63297.25490196079
-3000.0,-169176.4705882353
-2900.0,-5994.8796348203905
-2800.0,-61083.921568627455
-2700.0,-2763.214784026146
-2600.0,-45046.27450980392
-2400.0,-148197.6470588235
-2200.0,-42265.882352941175
-2000.0,-55905.882352941175
-1900.0,-1999.735317056533
-1800.0,-110520.0
-1600.0,-36159.99999999999
-1500.0,-432.87007414593415
-1400.0,-83698.03921568627
-1200.0,-48503.5294117647
-1100.0,-2336.903130673105
-1000.0,-52439.21568627453
-900.0,-945.7367253098637
-800.0,-26842.352941176472
-600.0,-41120.0
-500.0,-1762.6175163221399
-400.0,-27216.96400797946
-200.0,-20080.0
-100.0,-282.98725908449757
0.0,0.0
100.0,9406144.548066467
200.0,6988096.5556991985
300.0,5079762.442831123
400.0,3903243.4413932334
500.0,3151575.0536992783
600.0,2743134.1945835566
700.0,2448007.4718196127
800.0,2298869.821254848
900.0,2208532.586317978
1000.0,2137275.0345112276
1100.0,1960976.4998810184
1200.0,1924048.1137051596
1300.0,1927438.1740842052
1400.0,1845693.4955611809
1500.0,1713260.1842443221
1600.0,1723177.6345529654
1700.0,1742623.7107137153
1800.0,1612990.8579802047
1900.0,1763913.96931657
2000.0,1680642.209230699
2100.0,1582742.176907618
2200.0,1564335.9558266145
2300.0,1540201.3404029803
2400.0,1567416.3756883342
2500.0,1420016.1689392584
2600.0,1354292.6486707297
2700.0,1454516.3908341078
2800.0,1422833.7546871249
2900.0,1349152.711565104
3000.0,1322537.5703997952
3100.0,1287086.8950833261
3200.0,1298144.2404368543
3300.0,1298253.8847335028
3400.0,1312468.8862805278
3500.0,1174530.0564590017
3600.0,1164053.6402561849
3700.0,1091637.7245211005
3800.0,1044533.3323475339
3900.0,1217729.2919011132
4000.0,1124453.5338009184
4100.0,928110.7096161993
4200.0,1031171.7235941546
4300.0,992128.3050682903
4400.0,847589.8185771541
4500.0,1014003.1749200675
4600.0,850943.8660845621
4700.0,836470.9966019534
4800.0,906927.7981345255
4900.0,868389.2927861933
5000.0,798639.335727768
5100.0,858932.480686917
5200.0,633895.7161980801
5300.0,918913.244809217
5400.0,726053.7751698613
5500.0,751713.3070002054
5600.0,698913.6100308194
5700.0,769513.4270709131
5800.0,845117.0264679838
5900.0,753263.8514053765
6000.0,628626.4593574675
6100.0,759479.8505329752
6200.0,725659.843421936
6300.0,753404.957124423
6400.0,622198.4919812098
6500.0,825545.0615804172
6600.0,608377.6372610502
6700.0,625317.9514926709
6800.0,626328.0537376996
6900.0,655259.1994096829
7000.0,610105.6945660725
7100.0,627546.2496704829
7200.0,641918.8548304711
7300.0,710406.16552174
7400.0,577675.2261076404
7500.0,633329.446569277
7600.0,566059.7531909579
7700.0,588911.7668355219
7800.0,543009.1598770581
7900.0,557184.0874585602
8000.0,524415.201473472
8100.0,482590.22022096626
8200.0,509892.3026744405
8300.0,577318.9761824039
8400.0,476204.2573954314
8500.0,431299.86145260837
8600.0,348190.3697373067
8700.0,431290.53720393754
8800.0,401543.29151069815
8900.0,380559.56781903934
9000.0,438335.26493744366
9100.0,506523.3501901141
9200.0,357369.8156137578
9300.0,342342.6177806016
9400.0,364572.87641738355
9500.0,387527.0118036522
9600.0,267484.27628475055
9700.0,376244.336799331
9800.0,458518.10333812423
9900.0,305252.672303481
10000.0,397607.0503917122
10100.0,331257.33321049775
10200.0,324883.32370847743
10300.0,368909.5489893323
10400.0,300142.561828867
10500.0,313373.21710252715
10600.0,400794.5503710415
10700.0,308874.61191178486
10800.0,268707.69396924786
10900.0,355012.7134612641
11000.0,251616.06731555797
11100.0,184244.16287476616
11200.0,245246.65465030726
11300.0,258900.2187873572
11400.0,204364.26582489908
11500.0,206085.52865848597
11600.0,346654.9650324872
11700.0,268059.5807881132
11800.0,223140.58707627282
11900.0,271027.4504827579
12000.0,262773.40566534456
12100.0,228956.23415822536
12200.0,194418.53197822347
12300.0,196146.16629598703
12400.0,209885.85618854314
12500.0,182463.715388546
12600.0,238377.85498453677
12700.0,227719.3682908658
12800.0,204148.11497232458
12900.0,231207.4342680797
13000.0,181276.77870396152
13100.0,169539.8932847511
13200.0,118160.04424235225
13300.0,105998.25368632097
13400.0,173630.1827802807
13500.0,201488.38552602567
13600.0,145266.11132771868
13700.0,109178.19835662469
13800.0,137603.00941240415
13900.0,180191.69950832333
14000.0,237196.03566691373
14100.0,210799.45392815024
14200.0,127208.81445140764
14300.0,213736.03093890846
14400.0,186626.113738738
14500.0,130222.70234791934
14600.0,101892.1975453794
14700.0,204571.68750543267
14800.0,103333.5500666704
14900.0,74250.9707340151
15000.0,164608.56660301704
15100.0,195625.87819664553
15200.0,151388.44854536653
15300.0,137278.76647040248
15400.0,76733.1232379973
15500.0,61823.32786523923
15600.0,155495.17819143087
15700.0,125255.88723929971
15800.0,94562.23601139616
15900.0,126769.95139887929
16000.0,159558.72085610777
16100.0,240909.87272731587
16200.0,48499.88596473634
16300.0,97562.44093802571
16400.0,81724.78050987795
16500.0,197357.0661185272
16600.0,82715.80978284031
16700.0,66665.4609298706
16800.0,33548.12754870951
16900.0,101146.91938853264
17000.0,152569.36440877616
17100.0,119252.35145650059
17200.0,154260.35417913971
17300.0,103522.16079938412
17400.0,173484.20985592902
17500.0,157123.30839375407
17600.0,105389.42454556841
17700.0,52959.21854400635
17800.0,35527.53071331978
17900.0,107129.71749718487
18000.0,89864.5701278001
18100.0,144368.46756588668
18200.0,54494.61207383871
18300.0,109541.415577963
18400.0,91698.14940080047
18500.0,92179.42417409644
18600.0,92791.61745186895
18700.0,56008.584772109985
18800.0,18775.104060649872
18900.0,75385.55464195833
19000.0,37920.082594543695
19100.0,36000.965267648884
19200.0,57413.24891090393
19300.0,96176.83856781386
19400.0,96746.40608334541
19500.0,58308.98541998863
19600.0,58629.503485411406
19700.0,98355.68431037664
19800.0,59240.45771270059
19900.0,79376.4628713131
20000.0,39875.08201789856
20100.0,60076.50459051132
20200.0,60455.100951991975
20300.0,80976.52936600521
20400.0,81372.69679516554
20500.0,81863.04055950977
20600.0,61692.180321455
20700.0,61951.52332353592
20800.0,20770.5408782959
20900.0,41633.367888771
21000.0,104723.66485248134
21100.0,84156.36351040751
21200.0,21177.696645736694
21300.0,42534.88125171326
21400.0,106730.72117829323
21500.0,21417.781003952026
21600.0,107728.26666665077
21700.0,108325.77468858659
21800.0,65251.52921307087
21900.0,43696.61756119132
22000.0,43882.955250263214
22200.0,66462.38956746459
22300.0,155757.68069684505
22400.0,134123.21016195416
22500.0,22457.429688297212
22600.0,67637.02474755049
22800.0,22736.389144599438
23000.0,91850.39608999342
23100.0,23017.34553718567
23200.0,46352.694831425324
23300.0,116242.0253191758
23400.0,23318.800972878933
23600.0,117644.00393178314
23700.0,118268.834113352
23800.0,47511.24557876587
23900.0,71484.95437102765
24000.0,23960.1046820879
24100.0,24081.92715740204
24200.0,48276.45562398434
24300.0,24264.726558685303
24400.0,48741.84117889404
24600.0,73608.16937828064
24700.0,24695.772533416748
24800.0,74219.28363152593
24900.0,49743.64781796932
25000.0,74798.92409364134
25300.0,50542.13658577204
25400.0,76042.60906040668
25500.0,25480.848777770996
25600.0,25544.53008556366
