Bin,PopulationSum
-20000.0,-80000.0
-19800.0,-19567.058823529413
-19000.0,-18105.882352941175
-18600.0,-17287.058823529413
-18000.0,-16164.705882352942
-16400.0,-13505.882352941177
-15300.0,-11956.228642672651
-14800.0,-10911.372549019608
-14400.0,-10447.05882352941
-14300.0,-10446.623642214372
-13900.0,-9932.86992509038
-13600.0,-9333.333333333334
-13400.0,-9090.980392156864
-13300.0,-8985.780749089752
-13200.0,-26037.64705882353
-13000.0,-8105.882352941177
-12400.0,-15269.019607843136
-12200.0,-14927.058823529413
-12000.0,-14305.882352941177
-11800.0,-14113.725490196079
-11600.0,-20607.058823529413
-11000.0,-5909.803921568628
-10600.0,-22987.450980392157
-10000.0,-15137.254901960783
-9600.0,-9411.764705882353
-9100.0,-3967.959001041803
-9000.0,-3811.7647058823527
-8800.0,-11664.313725490196
-8700.0,-3967.9825858695835
-8400.0,-3590.5882352941176
-8000.0,-3137.254901960784
-7800.0,-2967.0588235294117
-7600.0,-6974.117647058823
-7200.0,-5082.352941176471
-7000.0,-12215.686274509804
-6900.0,-2413.679102617152
-6800.0,-2240.0
-6700.0,-4744.719561101876
-6600.0,-8256.470588235294
-6400.0,-6500.392156862746
-6200.0,-3695.6862745098038
-6000.0,-7247.058823529413
-5700.0,-1635.9386228673598
-5600.0,-4743.529411764706
-5400.0,-1418.8235294117649
-5200.0,-2793.725490196078
-5000.0,-4647.058823529412
-4800.0,-3764.7058823529414
-4600.0,-1352.9411764705883
-4500.0,-1064.3006759161458
-4400.0,-2898.823529411765
-4200.0,-4364.705882352941
-4000.0,-3843.1372549019607
-3600.0,-649.4117647058823
-3400.0,-2280.0
-3200.0,-1669.0196078431372
-3100.0,-576.7315723746431
-3000.0,-435.29411764705884
-2900.0,-458.8084935240886
-2800.0,-790.5882352941178
-2600.0,-683.1372549019608
-2400.0,-1195.2941176470588
-2300.0,-281.9838390069849
-2200.0,-422.7450980392157
-2100.0,-474.4532954429879
-2000.0,-203.92156862745097
-1900.0,-454.7272637610342
-1800.0,-1242.3529411764707
-1700.0,-148.13799313324338
-1600.0,-878.4313725490197
-1500.0,-374.9460742957452
-1400.0,-285.4901960784314
-1300.0,-300.9695048580567
-1200.0,-240.0
-1100.0,-191.88581432945588
-1000.0,-513.7254901960785
-800.0,-367.05882352941177
-700.0,-156.8108105253538
-600.0,-850.19283834839
-500.0,-448.2869573423858
-400.0,-75.29411764705883
-300.0,-227.4531306610534
-200.0,-170.00773466807954
-100.0,-163.08708466568999
-0.0,-33.388517646111694
0.0,0.0
100.0,1382190.3276885827
200.0,515795.3518394914
300.0,366501.317658428
400.0,314120.7256194259
500.0,301210.28295094793
600.0,284144.5002403698
700.0,256309.11976074261
800.0,235077.41558666498
900.0,216708.39738312026
1000.0,207241.51686474262
1100.0,197224.70549143705
1200.0,178066.5606085931
1300.0,208760.0881258425
1400.0,165737.86070716
1500.0,135397.282863338
1600.0,149549.4329550566
1700.0,151888.01862761873
1800.0,182879.5379514281
1900.0,163435.42843817634
2000.0,135788.19679550876
2100.0,123907.02798200957
2200.0,122682.83803438293
2300.0,121329.46696187418
2400.0,108451.23506914887
2500.0,121951.65438015692
2600.0,114919.01376143005
2700.0,140386.9202438388
2800.0,136951.41314779257
2900.0,65381.17198704928
3000.0,88446.12525864
3100.0,92567.39163861929
3200.0,131803.79749290098
3300.0,93640.2645711381
3400.0,136528.0670361959
3500.0,72405.06049524434
3600.0,92303.58390854113
3700.0,65570.1386754131
3800.0,112879.00456421176
3900.0,53726.44752534543
4000.0,55365.76922141574
4100.0,89172.4896059148
4200.0,67650.38594476505
4300.0,71905.58854817852
4400.0,54957.00566869002
4500.0,44547.6109518446
4600.0,63157.42349053183
4700.0,69781.90082168393
4800.0,23763.333157066256
4900.0,63191.24924157187
5000.0,44333.14501987677
5100.0,33501.78587466883
5200.0,36077.78941227496
5300.0,52419.165063507855
5400.0,58700.84868156811
5500.0,27197.24484501034
5600.0,16594.95075030625
5700.0,50804.18219409697
5800.0,51802.32670930354
5900.0,52633.03486967087
6000.0,23859.111386716366
6100.0,36282.65466512181
6200.0,12304.363331377506
6300.0,28285.50379503888
6500.0,12885.878840554506
6600.0,32791.08727041911
6700.0,39927.739579919726
6800.0,6758.9514837265015
6900.0,34318.85093509406
7000.0,27823.213084805757
7100.0,42296.01413022634
7200.0,28614.365380875766
7300.0,21757.158346414566
7400.0,14661.079851793125
7500.0,14852.682787537575
7600.0,15061.901342093945
7700.0,15314.988174401224
7800.0,7782.230916023254
7900.0,23596.81211487204
8100.0,8084.960856299847
8200.0,48928.82012986392
8400.0,16759.980919564143
8600.0,25664.418861787766
8700.0,8603.699850331992
8800.0,34907.546443000436
8900.0,8811.744798898697
9200.0,18247.259400598705
9500.0,28336.419884324074
9600.0,9557.70259783417
9900.0,9786.797600836146
10000.0,19898.30872886628
10100.0,20095.325881190598
10200.0,10152.739279270172
10400.0,10357.806320130825
10500.0,10419.201139122248
10600.0,10592.48763719201
10800.0,32226.186131475493
10900.0,10892.894406363368
11000.0,21876.459503650665
11100.0,11093.177365228534
11200.0,11116.336210742593
11300.0,11249.594856023788
11800.0,35198.31471824646
12000.0,11906.40037690772
12300.0,12225.485833093524
12600.0,12506.617719650269
12700.0,12674.81118971482
13100.0,13083.202383041382
13600.0,13510.27108514309
13700.0,27296.852477569133
14100.0,14034.375097036362
14400.0,14342.039090752602
14600.0,14548.972153663635
14800.0,29492.18374673277
15000.0,14949.637789536268
15600.0,15567.151038967073
20300.0,20294.19088485837
20800.0,20707.53864279017
21300.0,21287.308841705322
21500.0,21480.375224769115
22000.0,21966.946918696165
23400.0,23333.213899374008
28300.0,28296.67317700386
