Bin,PopulationSum
-20000.0,-1.2375669803921576E9
-19800.0,-1348884.7058823528
-19600.0,-847334.9019607843
-19400.0,-712854.9019607842
-19200.0,-598588.2352941177
-19000.0,-544964.705882353
-18800.0,-660064.3137254902
-18600.0,-484694.11764705885
-18400.0,-344332.5490196079
-18200.0,-531868.2352941176
-18000.0,-612423.5294117648
-17800.0,-386015.6862745098
-17600.0,-414945.88235294126
-17400.0,-157418.82352941178
-17200.0,-145761.56862745096
-17000.0,-392000.0
-16800.0,-323416.4705882353
-16600.0,-183771.76470588235
-16400.0,-258927.0588235294
-16200.0,-227054.11764705883
-16000.0,-351560.7843137254
-15800.0,-275663.5294117647
-15600.0,-176188.23529411768
-15400.0,-224115.29411764705
-15200.0,-258221.17647058822
-15000.0,-176470.5882352941
-14800.0,-223102.74509803922
-14600.0,-155046.27450980392
-14400.0,-219501.17647058822
-14200.0,-164385.88235294115
-14000.0,-198141.17647058825
-13800.0,-147632.9411764706
-13600.0,-161440.00000000003
-13400.0,-144772.54901960783
-13200.0,-271454.11764705885
-13000.0,-210956.86274509804
-12800.0,-58528.62745098039
-12600.0,-98625.88235294117
-12400.0,-148605.49019607846
-12200.0,-119368.62745098039
-12000.0,-255105.88235294117
-11800.0,-118694.11764705883
-11600.0,-186600.78431372548
-11400.0,-102376.47058823529
-11200.0,-72778.03921568628
-11000.0,-305196.0784313726
-10800.0,-73863.52941176471
-10600.0,-81557.64705882354
-10400.0,-76511.37254901961
-10200.0,-54320.0
-10000.0,-249137.25490196078
-9800.0,-80475.29411764706
-9600.0,-153976.4705882353
-9400.0,-106570.19607843136
-9200.0,-80094.11764705883
-9000.0,-108741.17647058824
-8800.0,-81167.05882352941
-8600.0,-72509.80392156861
-8400.0,-119115.29411764703
-8200.0,-63156.07843137256
-8000.0,-136250.98039215687
-7800.0,-64418.82352941176
-7600.0,-92809.41176470587
-7400.0,-104934.90196078434
-7200.0,-54945.88235294118
-7000.0,-90643.13725490196
-6800.0,-36320.0
-6600.0,-72962.35294117646
-6400.0,-64301.17647058824
-6200.0,-47995.29411764705
-6000.0,-93529.41176470587
-5800.0,-29750.58823529412
-5600.0,-58898.82352941177
-5400.0,-22849.411764705885
-5200.0,-31383.529411764706
-5000.0,-86235.29411764706
-4800.0,-33091.76470588235
-4600.0,-35320.78431372549
-4400.0,-50384.313725490196
-4200.0,-37075.29411764704
-4000.0,-97270.5882352941
-3800.0,-21041.56862745098
-3600.0,-30621.17647058823
-3400.0,-39026.66666666667
-3200.0,-53007.05882352941
-3000.0,-46070.58823529412
-2800.0,-32567.843137254902
-2600.0,-18832.156862745098
-2400.0,-36527.058823529434
-2200.0,-25554.50980392157
-2000.0,-29976.470588235286
-1800.0,-44089.41176470589
-1600.0,-19990.588235294115
-1400.0,-18469.019607843136
-1200.0,-33162.352941176476
-1000.0,-8811.764705882355
-800.0,-13797.64705882353
-600.0,-14541.176470588238
-400.0,-7625.098039215687
-200.0,-10172.549019607843
0.0,0.0
100.0,330942.5478272108
200.0,261096.0240536068
300.0,221867.7626158009
400.0,209247.37721574132
500.0,198610.69966057898
600.0,171652.35302506294
700.0,164128.3374244445
800.0,152082.07072830969
900.0,173926.34698395157
1000.0,149150.64447937137
1100.0,147784.35135291656
1200.0,141526.58429584996
1300.0,133842.25858482165
1400.0,139378.73671172047
1500.0,116031.79969280679
1600.0,129848.85368918302
1700.0,121877.51024955977
1800.0,126395.57660348713
1900.0,110560.8025801247
2000.0,112675.99234527117
2100.0,100437.71845651837
2200.0,103026.00539984554
2300.0,62934.950113765895
2400.0,93993.16165473359
2500.0,107765.74530905628
2600.0,94446.50405282946
2700.0,103387.95754048042
2800.0,85293.19012615364
2900.0,65786.47603944782
3000.0,74008.22894769674
3100.0,54931.919250166044
3200.0,72521.61961804098
3300.0,51739.49967864109
3400.0,56790.47885247646
3500.0,68975.8038798701
3600.0,67385.95989509625
3700.0,43933.277307234704
3800.0,45024.85952965263
3900.0,57606.3084733584
4000.0,43530.71797810728
4100.0,44494.59945423901
4200.0,49906.64920239197
4300.0,38166.635972019285
4400.0,43464.9828225784
4500.0,39965.972628727555
4600.0,36460.58298223093
4700.0,37358.85696560517
4800.0,23790.82470931858
4900.0,14515.398975908756
5000.0,24819.047637043055
5100.0,20226.810749799013
5200.0,46315.78593907412
5300.0,26305.44506799057
5400.0,15978.431154876947
5500.0,21752.198045764584
5600.0,27706.53411281109
5700.0,11273.517698764801
5800.0,40289.859393656254
5900.0,17631.72112628538
6000.0,11888.950284004211
6100.0,12066.170938968658
6200.0,36973.677840948105
6300.0,12538.55322933197
6400.0,12760.105252522975
6500.0,6496.573474764824
6800.0,6747.076978333294
6900.0,6819.614964440465
7100.0,14104.58166514337
7200.0,7134.121352434158
7300.0,14535.077820815146
7400.0,7308.696003675461
7600.0,22703.132491655648
8500.0,8452.172160863876
8700.0,8650.186358192004
8900.0,8862.119588941336
9000.0,17820.3441106081
9600.0,19148.411775754765
9900.0,9844.310432076454
10000.0,9961.215911865234
10300.0,10206.0164495036
10400.0,10303.599613189697
10500.0,10402.268857236952
10800.0,10730.929417610168
10900.0,21763.082563474774
11500.0,22906.111663863063
11600.0,11550.934314727783
11800.0,11776.461249351501
12300.0,12251.519035339355
12400.0,12318.56144958362
12500.0,12442.72639927268
13300.0,13204.94801235199
13500.0,13412.912284374237
13800.0,13716.32746887207
13900.0,13835.857776641846
14300.0,28538.03696537018
14500.0,14409.619863510132
14600.0,43621.47964286804
14800.0,14740.823099136353
14900.0,29761.762899398804
15200.0,30338.207817077637
15900.0,15867.776769638062
16000.0,15910.5546875
16100.0,16041.691638946533
16200.0,16153.46407699585
16500.0,16474.902495384216
16600.0,16503.8064994812
16800.0,16792.086416959763
18100.0,18004.64623618126
18500.0,18406.03498840332
18800.0,18743.714685440063
19800.0,19728.420169830322
20300.0,20269.284378051758
20700.0,20642.81511735916
23300.0,23203.160396575928
28000.0,27911.316480636597
