Bin,PopulationSum
0.0,0.0
100.0,1062652.0382670125
200.0,1100726.613282273
300.0,1018857.1704262262
400.0,957917.1163578265
500.0,913742.0020349603
600.0,839830.1916558191
700.0,845620.7954275385
800.0,799916.1200342614
900.0,701045.0141277036
1000.0,781894.4136453391
1100.0,753203.2102406844
1200.0,728577.4727451897
1300.0,766504.2763292096
1400.0,708343.5182802016
1500.0,618721.5047000642
1600.0,609563.7865325036
1700.0,599234.169148087
1800.0,659166.2222900554
1900.0,614839.4760503621
2000.0,560759.8824029356
2100.0,592400.1738979327
2200.0,542700.8568764073
2300.0,521812.9147341165
2400.0,488969.25397560047
2500.0,632505.4949455514
2600.0,523773.268767118
2700.0,449510.2566904062
2800.0,497412.0373684224
2900.0,455735.3911299476
3000.0,424248.50011666445
3100.0,420379.7180091072
3200.0,415489.47182920255
3300.0,432398.5628405339
3400.0,523008.7914656489
3500.0,483233.25115080783
3600.0,422388.33690188685
3700.0,367913.32642960217
3800.0,446086.99745338806
3900.0,423246.4785178448
4000.0,382246.14415118226
4100.0,362972.37084115716
4200.0,357386.58613392245
4300.0,276038.12970584165
4400.0,269864.89994616155
4500.0,382908.6217661151
4600.0,368752.7610934032
4700.0,274485.75625024317
4800.0,293868.13699129166
4900.0,325015.0581499906
5000.0,267348.20167080127
5100.0,231810.8430614937
5200.0,211017.46990302159
5300.0,257246.8099759426
5400.0,197769.8426725231
5500.0,223843.81555395573
5600.0,199633.3379552709
5700.0,146829.24055089056
5800.0,160987.89949037135
5900.0,192762.18926960835
6000.0,130671.26299766451
6100.0,91015.36750383116
6200.0,92146.06739026308
6300.0,106115.92252331227
6400.0,57175.16426689178
6500.0,71014.77766270749
6600.0,91891.93446088582
6700.0,46547.26397895813
6800.0,67497.41736733913
6900.0,75401.60803625733
7000.0,48627.281802259386
7100.0,70613.06599187851
7200.0,28582.530007123947
7300.0,21687.375354647636
7400.0,29496.831057295203
7500.0,29717.407719902694
7700.0,7649.006763577461
7800.0,23163.78556931019
7900.0,7852.532684326172
8000.0,15934.087219238281
8100.0,24115.299249261618
8200.0,16287.005143932998
8300.0,24710.756666108966
8400.0,8397.749145179987
8600.0,25645.005255371332
8700.0,8691.57718514651
9000.0,8999.120794296265
9400.0,9379.010426163673
9600.0,9596.995849132538
10800.0,21452.32738520205
10900.0,10883.274177312851
11200.0,11183.531362891197
11900.0,23693.157350197434
12700.0,12610.501401277259
13000.0,12929.351485302672
13800.0,13736.32659535855
13900.0,13831.389181375504
14100.0,14080.550927519798
14400.0,14387.056741535664
15200.0,15126.80370748043
15400.0,15393.809346668422
15500.0,15438.588591627777
15900.0,15881.349525287747
16000.0,15937.303646631539
16100.0,16028.861379563808
16400.0,32681.13410459459
17700.0,17655.744891909882
18100.0,18020.304274201393
19400.0,19303.446744136512
19500.0,19412.83424114436
20000.0,19907.796205192804
20300.0,60757.35588515829
20400.0,20362.59704659134
21400.0,42709.02512367815
21800.0,21789.9192738235
22000.0,21915.45888802409
22400.0,22302.68888437748
24000.0,47964.089794419706
24200.0,24192.173413053155
26700.0,26661.417408406734
27100.0,27076.679104804993
28700.0,28631.471565959044
28900.0,28836.105167388916
29200.0,29185.769307419658
30300.0,30276.03099322319
30500.0,30400.15802563727
36000.0,35947.93688303232
37100.0,37097.46392703056
37200.0,37161.530826330185
38400.0,38323.33006095886
38900.0,38842.47443771362
40900.0,40891.26208397746
41800.0,41770.58038330078
42100.0,42019.09549283981
42600.0,42561.37797643244
42700.0,42698.06131863594
45100.0,45041.55630373955
45600.0,45560.72398853302
50300.0,50210.96534430981
51400.0,51317.6988375932
53600.0,53526.56273317337
54600.0,54521.975912094116
57300.0,57214.35741460323
59000.0,58950.418436050415
59600.0,59521.32979774475
63800.0,63750.03845214844
64000.0,63943.54700553417
65000.0,64973.76098442078
69200.0,69182.57256507874
77100.0,77066.77160644531
78200.0,78111.6037940979
87200.0,87117.74024748802
