Bin,PopulationSum
-20000.0,-19529.41176470588
-16800.0,-11331.764705882353
-14200.0,-10134.901960784315
-11800.0,-6524.705882352941
-11600.0,-6050.196078431373
-11200.0,-4348.235294117647
-10800.0,-8301.176470588236
-8800.0,-3278.4313725490197
-8200.0,-5981.176470588236
-7600.0,-2235.294117647059
-7400.0,-1189.8039215686276
-7000.0,-2443.1372549019607
-6400.0,-1029.0196078431372
-6200.0,-753.7254901960785
-6000.0,-1623.5294117647059
-5200.0,-1386.6666666666667
-5000.0,-2803.921568627451
-4800.0,-2447.0588235294117
-4200.0,-576.4705882352941
-3800.0,-536.4705882352941
-3400.0,-2386.666666666667
-3200.0,-288.62745098039215
-3000.0,-2552.9411764705883
-2600.0,-173.33333333333334
-2200.0,-103.52941176470588
-1800.0,-282.3529411764706
-1600.0,-834.5098039215687
-1200.0,-84.70588235294119
-1000.0,-70.58823529411764
-800.0,-28.235294117647058
-600.0,-442.3529411764706
-400.0,-150.58823529411765
-200.0,-231.37254901960785
0.0,0.0
100.0,2844433.893592486
200.0,898897.1826009521
300.0,614749.1852560428
400.0,490593.36927584413
500.0,478580.7121554631
600.0,446315.6371802024
700.0,411211.3885016254
800.0,418594.87691250595
900.0,441752.33006590744
1000.0,418763.2192422035
1100.0,431011.7325895964
1200.0,411664.2708940849
1300.0,396330.3210478642
1400.0,390416.676035427
1500.0,359201.5319097455
1600.0,422554.9843790568
1700.0,398557.5304198051
1800.0,452291.8702831479
1900.0,391307.7712997328
2000.0,375138.6295182493
2100.0,364802.13453939784
2200.0,428849.33641520847
2300.0,407463.784117319
2400.0,403240.2780983621
2500.0,399408.69626615965
2600.0,476005.9549303722
2700.0,433359.0380378151
2800.0,394502.5243805945
2900.0,372110.1251773161
3000.0,444433.05166841974
3100.0,429825.3415426357
3200.0,390825.4380485853
3300.0,415331.5258989865
3400.0,414937.8869456854
3500.0,379688.5838621707
3600.0,472020.74027041206
3700.0,394354.9221664879
3800.0,438001.45194801444
3900.0,441787.14577828505
4000.0,451826.9736642428
4100.0,437073.89367655927
4200.0,335829.86214797385
4300.0,385850.14366599196
4400.0,417127.9387622109
4500.0,363399.889089446
4600.0,407320.7333982453
4700.0,397367.24820215063
4800.0,384706.34331939975
4900.0,432506.2320445553
5000.0,361170.2787087378
5100.0,510356.205868172
5200.0,396440.93727383297
5300.0,335166.76257831824
5400.0,326454.4362910697
5500.0,419145.60192484164
5600.0,388444.7582907388
5700.0,370048.8120439219
5800.0,351340.5662904056
5900.0,385895.43251084536
6000.0,367018.37821076
6100.0,338622.4471615393
6200.0,427232.64659924293
6300.0,330849.8473861705
6400.0,368461.09550686646
6500.0,382494.2725962
6600.0,431756.3782613208
6700.0,343163.1217676237
6800.0,506316.0136545843
6900.0,444215.017462758
7000.0,339535.3695673312
7100.0,407717.6001174795
7200.0,404789.54158001475
7300.0,290020.0766169848
7400.0,316179.1542761661
7500.0,275595.3283671774
7600.0,308167.00542378495
7700.0,442287.53124287195
7800.0,449627.1671603583
7900.0,274612.5041321367
8000.0,230320.4497439172
8100.0,329973.8530420624
8200.0,285365.7549643405
8300.0,313299.30869681574
8400.0,283683.12477803975
8500.0,338111.7447941061
8600.0,230910.43718483858
8700.0,366131.44301742257
8800.0,192424.44176745694
8900.0,185798.12470087412
9000.0,205652.45953559503
9100.0,171904.08597897366
9200.0,173300.44914323994
9300.0,222110.36517527886
9400.0,224385.42273074389
9500.0,111039.11463576814
9600.0,143064.77070841193
9700.0,183265.82525503635
9800.0,97541.38331546262
9900.0,88631.09302493185
10000.0,79660.02971148491
10100.0,160958.68973763427
10200.0,108873.66157299982
10300.0,122905.6462913081
10400.0,103374.06230278872
10500.0,156747.2951520551
10600.0,52788.20087623596
10700.0,106419.63709310442
10800.0,64432.465749025345
10900.0,86784.8617374897
11000.0,128067.71499734111
11100.0,33157.91461753845
11200.0,66889.89303418249
11300.0,67383.9919077754
11400.0,56816.800962895155
11500.0,114592.65374824405
11600.0,23080.374282836914
11700.0,81665.8359965533
11800.0,128796.67017922681
11900.0,118020.3450543885
12000.0,35837.744198441505
12100.0,36100.336253643036
12200.0,109392.46824622154
12300.0,36714.40991449356
12400.0,61797.994764328
12500.0,37398.0107383728
12600.0,50155.826499938965
12700.0,113841.02140524238
12800.0,87468.92894478406
12900.0,115676.50242009014
13000.0,64770.28613309376
13100.0,78223.2309961319
13200.0,39438.80776023865
13300.0,52887.65571594238
13400.0,13392.957962274551
13500.0,40329.45759534836
13600.0,67777.54377651215
13700.0,54703.28283256292
13800.0,68645.08364963531
13900.0,27668.14687347412
14000.0,13929.813877537847
14100.0,42092.24051105976
14200.0,70726.82373905182
14300.0,57043.34870147705
14400.0,43096.77110475581
14500.0,28946.16738653183
14600.0,87284.23563718796
14700.0,43978.43288421631
14800.0,58943.881707491244
14900.0,44506.86729809642
15000.0,73631.94569280288
15100.0,45163.176681518555
15200.0,30232.48526763916
15300.0,61007.10160446167
15400.0,30670.096710205078
15500.0,15492.323501586914
15600.0,15550.04581451416
15700.0,46954.01271818578
15800.0,15649.530948058764
15900.0,15870.687269687653
16200.0,16165.070350646973
16300.0,16240.049415588379
16400.0,32718.20778656006
16500.0,49342.53005075455
16900.0,16872.56911468506
17000.0,16940.998415231705
17300.0,34416.088092803955
17500.0,34913.510107040405
17600.0,17578.62784099579
17800.0,17742.19605255127
18100.0,54117.306379169226
18600.0,18557.163368225098
18700.0,18607.491165861487
19100.0,38066.13904953003
19300.0,19284.302520751953
19500.0,19496.569358825684
19600.0,19589.92453765869
19800.0,19750.983352661133
20300.0,40471.730529785156
20400.0,19524.180339065253
20500.0,20492.95436859131
20600.0,13830.726432770374
21200.0,39038.06606266546
21300.0,19587.354171453735
21500.0,21426.137538909912
21800.0,43488.06086169183
22200.0,22148.395150363445
22500.0,22498.158798217773
22800.0,45554.5654296875
23200.0,23136.950952529907
23700.0,23653.81005859375
23900.0,47694.75074386597
24100.0,24007.578521728516
24400.0,48697.09550857544
24800.0,22225.934101365594
24900.0,24891.226991653442
25200.0,25116.895278930664
25400.0,25354.908432006836
25800.0,25761.350247621536
25900.0,25899.25579738617
26000.0,51928.302337646484
26800.0,26756.688873291016
26900.0,53676.159185409546
27100.0,27073.271991729736
28000.0,27954.084873199463
28500.0,56925.707856178284
29000.0,28959.52313232422
29200.0,29130.928367614746
29500.0,29444.450454711914
29600.0,29587.800495147705
30000.0,29963.98060798645
30100.0,30051.797805786133
30900.0,30897.28810119629
31100.0,31088.683639526367
31200.0,31105.81273651123
32500.0,32452.41887664795
35000.0,34976.08696746826
36200.0,36199.13471984863
37400.0,37356.174560546875
