Bin,PopulationSum
-20000.0,-780000.0
-19800.0,-39600.0
-19600.0,-19600.0
-19400.0,-38800.0
-19200.0,-38400.0
-19000.0,-19000.0
-18800.0,-18800.0
-17400.0,-17400.0
-17200.0,-17200.0
-17000.0,-34000.0
-16800.0,-16800.0
-16200.0,-16200.0
-15600.0,-31200.0
-14400.0,-14400.0
-14200.0,-14200.0
-13600.0,-27200.0
-13400.0,-26800.0
-13200.0,-33905.882352941175
-12800.0,-38400.0
-12600.0,-12600.0
-12400.0,-12400.0
-12000.0,-6023.529411764705
-11400.0,-11400.0
-10800.0,-10800.0
-10600.0,-10600.0
-10400.0,-10400.0
-10200.0,-13920.0
-10000.0,-20000.0
-9800.0,-13835.29411764706
-9600.0,-9600.0
-9400.0,-9400.0
-9200.0,-9200.0
-9000.0,-18000.0
-8800.0,-8800.0
-8400.0,-16800.0
-8200.0,-10161.56862745098
-8000.0,-8000.0
-7600.0,-7600.0
-7000.0,-7000.0
-6800.0,-6800.0
-6600.0,-1811.7647058823532
-6400.0,-1079.2156862745098
-6200.0,-1361.5686274509803
-5600.0,-6720.0
-5000.0,-843.1372549019609
-4600.0,-19879.21568627451
-4400.0,-4400.0
-4000.0,-8000.0
-3800.0,-849.4117647058823
-3600.0,-3600.0
-3400.0,-3400.0
-3200.0,-301.1764705882353
-3000.0,-3000.0
-2800.0,-2800.0
-2600.0,-265.0980392156863
-2400.0,-7717.64705882353
-2200.0,-2415.6862745098038
-2000.0,-141.1764705882353
-1800.0,-416.4705882352941
-1400.0,-4232.941176470588
-1200.0,-1322.3529411764705
-1000.0,-35.294117647058826
-800.0,-6434.509803921568
-700.0,-12.535974269754746
-600.0,-11432.94117647059
-500.0,-1251.5226407298599
-400.0,-19543.529411764706
-300.0,-2774.9551551882178
-200.0,-58234.509803921566
-100.0,-16503.511413807824
-0.0,-59.37963676452637
0.0,0.0
100.0,2.0811689376788188E7
200.0,5923170.99003916
300.0,3797686.9477880807
400.0,2973073.6181407133
500.0,2646249.7707509557
600.0,2255479.4788404335
700.0,2228938.8184124464
800.0,2137901.3673844645
900.0,2042111.0847750357
1000.0,1951132.0543581033
1100.0,2013215.6828539893
1200.0,1993613.8240515047
1300.0,1902864.2142201802
1400.0,1908802.3819721488
1500.0,1918566.8400309477
1600.0,1971661.405769883
1700.0,1847003.057388619
1800.0,1829795.9087711386
1900.0,1923828.8047229035
2000.0,1867233.3539853746
2100.0,1820177.2159531717
2200.0,1848384.140591803
2300.0,1845364.062695478
2400.0,1726621.4361417452
2500.0,1804972.9721933096
2600.0,1881959.6208799593
2700.0,1839661.9724616832
2800.0,1740810.0110806562
2900.0,1747424.4416421498
3000.0,1768155.270785547
3100.0,1889736.3629756183
3200.0,1838897.1766230185
3300.0,1795857.4968561893
3400.0,1908785.876409504
3500.0,1796830.799360353
3600.0,1813021.9052253277
3700.0,1734629.5138580627
3800.0,1784598.044978192
