Bin,PopulationSum
-12800.0,-24646.274509803923
-12600.0,-12600.0
-12400.0,-12059.607843137255
-12000.0,-12000.0
-11600.0,-11872.941176470587
-11200.0,-4655.686274509804
-11000.0,-11000.0
-10800.0,-4531.764705882353
-10600.0,-20992.156862745098
-10000.0,-13176.470588235294
-9800.0,-19254.117647058825
-9000.0,-9000.0
-8200.0,-8200.0
-8000.0,-8000.0
-7800.0,-7800.0
-7000.0,-7000.0
-5800.0,-5754.509803921568
-5600.0,-2459.607843137255
-5400.0,-4849.411764705883
-5200.0,-876.8627450980392
-5000.0,-5000.0
-4800.0,-1656.4705882352941
-4600.0,-938.0392156862745
-4400.0,-4400.0
-4000.0,-10023.529411764706
-3800.0,-11042.352941176472
-3600.0,-13087.058823529413
-3400.0,-5186.666666666666
-3200.0,-17480.78431372549
-3000.0,-5376.470588235295
-2800.0,-6258.823529411764
-2600.0,-8860.392156862745
-2400.0,-19058.823529411766
-2300.0,-978.774109609688
-2200.0,-10163.13725490196
-2000.0,-17850.98039215686
-1800.0,-26795.294117647056
-1600.0,-30261.96078431372
-1400.0,-27127.05882352942
-1200.0,-30343.52941176471
-1000.0,-26690.196078431374
-900.0,-364.47387064265854
-800.0,-25609.41176470588
-600.0,-28449.41176470588
-500.0,-508.01461568807855
-400.0,-15209.411764705887
-200.0,-12686.274509803923
0.0,0.0
100.0,1527674.782841177
200.0,694646.8347792112
300.0,463452.83395148016
400.0,310244.95393106824
500.0,232690.34069331613
600.0,225949.26379698087
700.0,182093.74987174862
800.0,170165.60016800326
900.0,137426.09694430968
1000.0,138055.1742005801
1100.0,142709.61905777035
1200.0,120670.68645940495
1300.0,128274.73065999687
1400.0,122134.41819511792
1500.0,113322.26552148932
1600.0,96486.29908752657
1700.0,114338.1945137245
1800.0,113332.4229402301
1900.0,98276.44850487405
2000.0,101185.09377628624
2100.0,115764.91445184917
2200.0,124098.9044020326
2300.0,102531.90631907691
2400.0,106654.0821487192
2500.0,103418.47755623641
2600.0,108351.84400622369
2700.0,113409.65596599104
2800.0,115452.61798028507
2900.0,99449.41910007555
3000.0,78815.60861613
3100.0,94544.41768536682
3200.0,131055.79255786355
3300.0,103210.6200754348
3400.0,91437.2920424418
3500.0,75630.71416536836
3600.0,74527.10753816413
3700.0,73366.33539974736
3800.0,101391.46503186226
3900.0,96541.26730286656
4000.0,97400.44705182537
4100.0,77507.77300983734
4200.0,97613.20258841648
4300.0,119054.3848195197
4400.0,120241.30933028701
4500.0,115267.9413596325
4600.0,90073.58216540921
4700.0,83344.14246670422
4800.0,112484.4340340008
4900.0,95729.31876226338
5000.0,120360.25446886706
5100.0,100333.42872556434
5200.0,103002.33959140303
5300.0,76342.41121156416
5400.0,90783.89796768595
5500.0,91656.06657377465
5600.0,111008.99719232973
5700.0,109179.14781987193
5800.0,146636.33345495997
5900.0,127979.25077017628
6000.0,129380.33188046221
6100.0,112265.14918019014
6200.0,159794.47412002273
6300.0,85937.88194994727
6400.0,88931.14047952415
6500.0,122776.4611047022
6600.0,91746.78139374405
6700.0,111031.80582765605
6800.0,117154.3528927051
6900.0,150870.62937218318
7000.0,166461.26272150883
7100.0,119904.75701912493
7200.0,128726.97757570446
7300.0,94384.03054265212
7400.0,87028.9419002302
7500.0,104195.35592065658
7600.0,210113.09059942618
7700.0,206563.90946664754
7800.0,92186.7570501937
7900.0,156890.87182110132
8000.0,95376.79723834619
8100.0,112779.92147447169
8200.0,114032.86795230562
8300.0,115653.33111101482
8400.0,122233.09865373126
8500.0,109669.9440578632
8600.0,85646.95033178758
8700.0,110247.24977755807
8800.0,122719.52501475438
8900.0,105272.91843670273
9000.0,125209.72159113675
9100.0,84295.15166634362
9200.0,100492.92303384995
9300.0,110793.72719437454
9400.0,84017.35563597828
9500.0,75551.84911536053
9600.0,85851.17694497854
9700.0,115810.77398054674
9800.0,107329.95586146414
9900.0,97863.2972337313
10000.0,89640.23353233933
10100.0,59917.15775711203
10200.0,81170.1798760891
10300.0,61409.567351164296
10400.0,90515.52247112198
10500.0,71591.2184366691
10600.0,52801.0138207674
10700.0,95960.32059820741
10800.0,75307.08853379637
10900.0,118076.89849756948
11000.0,109609.16894945502
11100.0,55153.50478019565
11200.0,66902.85718726926
11300.0,66141.81453883297
11400.0,34022.33334264718
11500.0,34269.86929626763
11600.0,34668.43026253581
11700.0,23319.38315916434
11800.0,35248.43005575985
11900.0,47378.61888275668
12000.0,107511.11921018362
12100.0,120499.48390429467
12200.0,36461.528731673956
12300.0,73330.09500632812
12400.0,96167.04569416653
12500.0,37380.771855413914
12600.0,37660.68743678741
12700.0,25281.111914634705
12800.0,76518.69613391161
12900.0,64194.448737548664
13000.0,64644.39668977827
13100.0,104498.80974706262
13200.0,78875.69491800666
13300.0,39670.4839136377
13400.0,80117.52144813538
13500.0,80648.05711257458
13600.0,27074.951929569244
13700.0,40969.52883207798
13800.0,41231.53249808401
13900.0,55094.2587960706
14000.0,111799.0885434784
14100.0,14058.37992143631
14200.0,56610.68892908096
14300.0,57093.61533623934
14400.0,57396.84269475937
14500.0,86681.13985103462
14600.0,43667.53145959973
14700.0,29255.427865982056
14800.0,14754.701125860214
14900.0,14882.392143249512
15000.0,59763.42666435242
15100.0,15006.858421325684
15200.0,45398.531943678856
15400.0,46090.11235618591
15600.0,15562.570870399475
15700.0,15671.238153457642
15800.0,47237.078773498535
15900.0,31734.828436806798
16000.0,31887.475333213806
16100.0,48144.421407319605
16200.0,16156.582696914673
16300.0,16209.56115488708
16400.0,16336.022997999564
16500.0,49307.40844269656
16600.0,16540.235547184944
16700.0,16656.247062057257
16800.0,16720.777525030077
17000.0,16978.450679659843
17100.0,17062.56898933649
17200.0,17106.18046435155
17300.0,34488.014379903674
17400.0,34656.37614919245
17500.0,17472.105285167694
17600.0,17531.754977226257
18000.0,35907.104692295194
18100.0,18004.6634452343
18200.0,36383.36468207836
18300.0,18289.010784160346
18600.0,37048.11443853378
18900.0,18833.22518157959
19200.0,19140.731733871624
19600.0,19552.106483459473
19700.0,59004.77367776632
19800.0,39507.10451769829
20500.0,40885.99701690674
21000.0,20971.481970071793
21300.0,21286.182174207643
21400.0,42670.822206646204
21500.0,42891.63727220893
21600.0,21552.063321113586
21700.0,21601.16414165497
21900.0,43734.33633875847
22300.0,22290.715746164322
22500.0,44854.66309645772
22600.0,22545.410404205322
22900.0,45701.09506869316
23000.0,22900.722400665283
23100.0,23072.471714496613
23200.0,23135.327222824097
23300.0,23275.636074066162
23500.0,23418.867752075195
23600.0,23576.178596496582
24000.0,23988.735342025757
24100.0,48074.83828616142
24200.0,24116.92742538452
24300.0,48454.898429870605
24900.0,24822.30394744873
25300.0,25287.350791931152
25500.0,25449.396058321
25600.0,25563.96823310852
26100.0,52138.730907440186
26300.0,78830.15180492401
26400.0,26308.92895537615
26500.0,26482.150909423828
26700.0,26622.220422506332
26800.0,26714.391975402832
27000.0,53881.34492409229
27300.0,27234.489097595215
27800.0,27790.451307296753
28500.0,28432.81337738037
32100.0,32013.353885650635
