Bin,PopulationSum
-20000.0,-3340000.0
-19800.0,-59400.0
-19400.0,-58200.0
-19000.0,-19000.0
-18800.0,-18800.0
-18000.0,-36000.0
-17400.0,-17400.0
-16800.0,-16800.0
-16600.0,-16600.0
-16000.0,-32000.0
-15600.0,-31200.0
-15200.0,-15200.0
-14600.0,-25821.960784313727
-14400.0,-14400.0
-13400.0,-13400.0
-12600.0,-12600.0
-12400.0,-12400.0
-12200.0,-12200.0
-12000.0,-12000.0
-11400.0,-10952.94117647059
-11000.0,-22000.0
-10600.0,-10600.0
-10400.0,-20800.0
-10000.0,-100000.0
-9400.0,-18800.0
-9200.0,-9200.0
-8800.0,-6177.254901960784
-8000.0,-16000.0
-7400.0,-14800.0
-7000.0,-7000.0
-6800.0,-6800.0
-6400.0,-20756.07843137255
-6000.0,-12000.0
-5400.0,-5400.0
-4800.0,-4800.0
-4600.0,-4509.803921568628
-4400.0,-8800.0
-4200.0,-4200.0
-4000.0,-16235.29411764706
-3600.0,-3600.0
-3400.0,-1813.3333333333333
-3000.0,-3000.0
-2600.0,-7800.0
-2400.0,-2400.0
-2200.0,-2200.0
-2000.0,-4015.6862745098038
-1800.0,-42.35294117647059
-1600.0,-69.01960784313725
-1200.0,-2442.3529411764707
-1000.0,-1019.6078431372549
-800.0,-12.549019607843137
-600.0,-607.0588235294118
-400.0,-1206.2745098039215
-300.0,-2256.5896229334176
-200.0,-1000.0
-100.0,-338.9731193315238
0.0,0.0
100.0,3710828.765318567
200.0,1743924.7975604637
300.0,1079946.6266801078
400.0,789031.4456408777
500.0,589160.8517234083
600.0,469081.33298033255
700.0,366812.6954057794
800.0,314732.59315605124
900.0,302334.7638233398
1000.0,295622.2656633778
1100.0,215214.3117559593
1200.0,257602.8171802463
1300.0,222605.65279474814
1400.0,218427.19231753392
1500.0,223537.90063057383
1600.0,245712.05060659844
1700.0,198519.24546272465
1800.0,201236.1735704903
1900.0,209413.5443656476
2000.0,209974.51667832595
2100.0,190852.15372809093
2200.0,188867.45410345716
2300.0,168820.09875325486
2400.0,232229.15689452365
2500.0,209075.6797771356
2600.0,200658.1938092926
2700.0,189682.6148130124
2800.0,154724.02332338956
2900.0,189057.5559595757
3000.0,178069.26034929382
3100.0,146416.23147722974
3200.0,154936.48176100693
3300.0,139235.31203872547
3400.0,162677.14063733132
3500.0,156161.48299116892
3600.0,153565.97465414333
3700.0,208026.88221092254
3800.0,181992.99553755036
3900.0,142531.12413985562
4000.0,157752.010294871
4100.0,178422.54667752236
4200.0,136915.79694842332
4300.0,127610.03958869539
4400.0,134662.55666367058
4500.0,175099.23309556986
4600.0,159172.95420820965
4700.0,140831.43681889345
4800.0,204314.0703445375
4900.0,148870.20040351618
5000.0,214819.3778865675
5100.0,161676.23285259493
5200.0,162748.77850158195
5300.0,186055.38712546084
5400.0,203144.28534179553
5500.0,125417.0481984904
5600.0,149888.6055893246
5700.0,203370.73653327412
5800.0,109252.93403125182
