Bin,PopulationSum
-20000.0,-2139529.411764706
-19800.0,-98534.11764705883
-19600.0,-39200.0
-19400.0,-95934.90196078431
-19200.0,-19200.0
-19000.0,-19000.0
-18800.0,-34356.078431372545
-18400.0,-17894.901960784315
-18200.0,-31047.058823529413
-18000.0,-95294.11764705883
-17800.0,-43627.450980392154
-17600.0,-17600.0
-17400.0,-31865.882352941175
-17200.0,-51600.0
-17000.0,-132333.33333333334
-16600.0,-43355.29411764706
-16400.0,-30291.764705882353
-16200.0,-16200.0
-16000.0,-32000.0
-15800.0,-26952.941176470587
-15600.0,-26734.117647058825
-15400.0,-10930.980392156864
-15000.0,-24294.117647058825
-14800.0,-9460.392156862745
-14400.0,-23943.529411764706
-14200.0,-23054.117647058825
-14000.0,-40298.03921568627
-13600.0,-43786.666666666664
-13400.0,-25381.176470588234
-13200.0,-20447.058823529413
-13000.0,-35686.27450980392
-12800.0,-20078.43137254902
-12600.0,-49757.64705882353
-12000.0,-44658.82352941176
-11800.0,-43683.13725490196
-11600.0,-40941.17647058824
-11400.0,-11400.0
-11200.0,-11200.0
-11000.0,-44819.60784313725
-10800.0,-10800.0
-10600.0,-31800.0
-10400.0,-46901.96078431373
-10200.0,-14760.0
-10000.0,-10000.0
-9800.0,-3804.7058823529414
-9600.0,-14230.588235294119
-9400.0,-9400.0
-9200.0,-21647.058823529413
-9000.0,-7058.823529411765
-8800.0,-12009.411764705881
-8600.0,-10994.509803921568
-8400.0,-19896.470588235294
-8200.0,-6270.588235294118
-8000.0,-50729.41176470588
-7800.0,-10277.64705882353
-7600.0,-5066.666666666667
-7400.0,-12072.156862745098
-7200.0,-21430.58823529412
-7000.0,-35741.17647058824
-6800.0,-10320.0
-6600.0,-2640.0
-6400.0,-6575.686274509804
-6200.0,-15828.235294117647
-6000.0,-17882.352941176472
-5800.0,-9029.803921568628
-5600.0,-2569.4117647058824
-5400.0,-8788.235294117647
-5200.0,-6872.156862745098
-5000.0,-13862.745098039217
-4800.0,-4800.0
-4600.0,-12916.078431372549
-4400.0,-7971.764705882352
-4200.0,-9058.823529411764
-4000.0,-26713.725490196077
-3800.0,-16362.35294117647
-3600.0,-23280.0
-3400.0,-3093.3333333333335
-3200.0,-10039.21568627451
-3000.0,-6882.35294117647
-2800.0,-6313.725490196079
-2600.0,-917.6470588235295
-2400.0,-7567.058823529413
-2200.0,-6487.843137254902
-2000.0,-14556.86274509804
-1800.0,-6141.176470588235
