Bin,PopulationSum
-16000.0,-11858.823529411766
-12200.0,-6219.607843137254
-11400.0,-5454.117647058823
-9600.0,-3350.5882352941176
-2800.0,-230.58823529411765
-2600.0,-193.72549019607843
-1600.0,-50.19607843137255
-1200.0,-32.94117647058823
-800.0,-6.2745098039215685
-100.0,-199.2069811397232
0.0,0.0
100.0,194470.32106881213
200.0,59812.96545145871
300.0,45063.2593990034
400.0,46280.85723259288
500.0,42837.21452840601
600.0,40266.22628578702
700.0,46583.68379560279
800.0,44374.01541945532
900.0,55059.13591695546
1000.0,47189.97462561344
1100.0,44063.56021471164
1200.0,42203.695234405954
1300.0,61128.200181264176
1400.0,31480.60844570623
1500.0,23515.628391578524
1600.0,41957.359773488686
1700.0,34527.2692630526
1800.0,18609.260453092927
1900.0,32634.444661781366
2000.0,36991.53036556835
2100.0,49195.46430197757
2200.0,40010.11909225881
2300.0,44947.85130515136
2400.0,39285.51273964989
2500.0,36438.55975521112
2600.0,28038.155586222885
2700.0,39829.20033348701
2800.0,32637.202184307702
2900.0,38930.452670132785
3000.0,38123.183469830314
3100.0,45597.42350491042
3200.0,44129.42895666591
3300.0,35712.283069931844
3400.0,33537.58310879208
3500.0,28105.617251573098
3600.0,21305.198417594656
3700.0,51013.16527179757
3800.0,50787.28608172435
3900.0,30694.4513416118
4000.0,31535.88465282228
4100.0,28399.63551760395
4200.0,41527.54173705401
4300.0,16986.60884859308
4400.0,17264.775532970205
4500.0,40144.324325102614
4600.0,18136.604745997116
4700.0,46479.213673022285
4800.0,47542.335983718716
4900.0,38746.80238556978
5000.0,29758.771743361838
5100.0,30244.33800521819
5200.0,51554.534733034525
5300.0,20884.08938458562
5400.0,32056.122910563834
5500.0,32751.235065301415
5600.0,38751.19670541885
5700.0,22624.61033782363
5800.0,28741.706200420856
5900.0,33714.69353590402
6000.0,23742.695105074446
6100.0,48435.425655333325
6200.0,6107.284873008728
6300.0,31277.725568785332
6400.0,18972.136576384306
6500.0,25883.909293830395
6600.0,19676.410080396803
6700.0,33250.55778845027
6800.0,33750.77564486861
6900.0,20544.79004186392
7000.0,20914.309462547302
7100.0,21145.836344242096
7200.0,7104.298099845648
7300.0,29099.682349232025
7400.0,7080.335136062842
7500.0,7457.529852561653
7600.0,7584.81231880188
7700.0,15319.687995379332
7800.0,31032.132363200188
8000.0,7945.308223724365
8100.0,16166.844281196594
8200.0,32582.887711644173
8400.0,16693.93232898414
8500.0,33727.52614465356
8600.0,34264.99802160263
8700.0,17276.331895828247
8800.0,17420.715947151184
9100.0,18120.289706349373
9300.0,18530.67243897915
9400.0,9371.464147567749
9500.0,9478.574090003967
9700.0,9698.869331359863
9800.0,9720.126158118248
9900.0,19766.348227500916
10100.0,10053.087327957153
10300.0,20498.719674110413
10400.0,20689.135747909546
10700.0,21246.70157030411
10800.0,10761.513789176941
11100.0,33137.78484773636
11800.0,11719.827547073364
12500.0,12459.659553527832
12700.0,10653.957031418297
13000.0,12935.817726135254
13800.0,13704.66740989685
14300.0,13764.148143933713
15800.0,15748.772258758545
15900.0,15883.324091911316
18200.0,18180.85696029663
20000.0,39891.871353149414
20200.0,20193.771781921387
20600.0,20581.829677581787
20900.0,20834.528893455863
