Bin,PopulationSum
0.0,0.0
100.0,101657.00378753607
200.0,144448.8614568299
300.0,159234.889591877
400.0,158386.08202155837
500.0,138733.5427102514
600.0,138425.02069368225
700.0,123332.49141868875
800.0,123381.51642186333
900.0,92413.74603860163
1000.0,92955.43613019945
1100.0,99576.00643662311
1200.0,74371.20258688956
1300.0,87038.53942104944
1400.0,79530.64596819496
1500.0,86919.97075263546
1600.0,63998.70273639458
1700.0,57007.475588829235
1800.0,60283.11963566472
1900.0,57957.84330996717
2000.0,60439.934670035596
2100.0,60145.05179294635
2200.0,35458.06999581402
2300.0,50129.86211546158
2400.0,64229.03793880214
2500.0,44755.12142466485
2600.0,38146.43659312744
2700.0,68600.6278625722
2800.0,27228.360513389795
2900.0,32514.495830981406
3000.0,43595.142333057185
3100.0,42574.358592349105
3200.0,25251.621489053592
3300.0,54996.28131400639
3400.0,43520.92347520962
3500.0,24434.33656169338
3600.0,35530.31458911719
3700.0,29156.38745568879
3800.0,29565.825703099294
3900.0,34548.59748732895
4000.0,51209.52900390818
4100.0,32485.06659600744
4200.0,27718.738920189873
4300.0,37773.66118005641
4400.0,26049.797560896957
4500.0,39308.31551001097
4600.0,24212.466446980026
4700.0,18590.449085264467
4800.0,18878.054492793428
4900.0,36693.566018916725
5000.0,28067.70787385547
5100.0,20182.719554098323
5200.0,10356.026689724997
5300.0,10460.717315033078
5400.0,15967.295227997005
5500.0,5490.193247795105
5600.0,33537.18726722699
5700.0,3193.149965241844
5800.0,6608.106512714761
5900.0,23265.86280163561
6000.0,5981.606247713789
6100.0,12115.644399121404
6200.0,3197.973773616202
6300.0,12483.064272023737
6400.0,9449.264548165862
6500.0,28188.868195002637
6700.0,6631.659524948336
6800.0,6727.001688832883
6900.0,6850.227770209312
7300.0,14538.117414515465
7400.0,7366.012926101685
7500.0,14930.65557976067
7600.0,7548.6659226715565
7700.0,7663.658372581005
7800.0,10666.769088229245
7900.0,23475.18385986951
8000.0,7996.559262558818
8400.0,8356.920891918242
8500.0,8464.154615283012
8600.0,8576.93890285492
8800.0,8719.008865773678
9400.0,14381.92774223247
9500.0,13675.85351579505
9600.0,19023.14253469743
9700.0,19268.046268627048
9800.0,9778.522675812244
9900.0,9810.230448165548
10000.0,8796.604436549018
10100.0,10030.316177666187
10200.0,20303.274569351226
10300.0,16892.96613462883
10400.0,10367.603799289092
10500.0,10386.054131827636
10700.0,15533.18126002223
10800.0,10757.075820241123
11300.0,22543.41588318348
11500.0,29656.416777741964
11700.0,11687.03334236145
11800.0,11794.046395808458
12000.0,11400.63440003531
12200.0,6615.9711693525305
12300.0,12200.971086539328
12900.0,11936.512205423722
13100.0,13090.411453172565
13600.0,13583.14388452284
14400.0,14351.783547878265
14600.0,14516.28837299347
14700.0,14628.32101726532
15300.0,30518.65507660806
15500.0,15417.996445655823
16000.0,15926.919642448425
16100.0,16012.741177626158
16300.0,16262.045313626528
16500.0,16475.672859191895
16700.0,16639.007030665874
17500.0,14744.655037225462
18000.0,17907.222844600677
18400.0,18358.961585998535
18600.0,17340.98477652332
19600.0,19568.20042037964
20500.0,14180.149917863397
20600.0,20534.943414803594
20900.0,18092.189667256673
21600.0,21581.622945785522
21700.0,43284.71973928809
23500.0,23437.755416870117
23900.0,18424.1131765777
24000.0,12782.458986409505
25400.0,25353.680240631104
25600.0,25575.648634016514
25700.0,50085.220497400616
26200.0,26111.670433044434
26300.0,26252.860429286957
26700.0,26672.361095428467
28400.0,27130.704877068016
28500.0,28425.466903686523
28700.0,28604.933741053566
30900.0,30866.543170928955
34300.0,34260.51535797119
39600.0,39563.678236961365
39800.0,39796.10685920715
40300.0,40210.59927368164
43600.0,43534.245294094086
43700.0,43655.57167625427
44900.0,44884.31952667236
45000.0,44981.89404296875
47500.0,94946.1655883789
49200.0,49158.86444091797
67500.0,67479.77960300446
92600.0,92502.67876148224
