Bin,PopulationSum
-20000.0,-8974509.803921567
-19800.0,-174395.29411764708
-19600.0,-116985.09803921569
-19400.0,-183349.01960784313
-19200.0,-220988.23529411765
-19000.0,-200803.92156862747
-18800.0,-186525.49019607843
-18600.0,-195190.5882352941
-18400.0,-245405.49019607843
-18200.0,-160302.74509803922
-18000.0,-281223.5294117647
-17800.0,-115176.47058823529
-17600.0,-129687.84313725491
-17400.0,-160762.3529411765
-17200.0,-173281.56862745096
-17000.0,-174666.66666666666
-16800.0,-198042.35294117648
-16600.0,-215149.01960784313
-16400.0,-174804.70588235295
-16200.0,-163397.64705882355
-16000.0,-216533.3333333333
-15800.0,-97092.54901960783
-15600.0,-133976.4705882353
-15400.0,-127427.45098039215
-15200.0,-158616.4705882353
-15000.0,-160529.41176470587
-14800.0,-166572.54901960783
-14600.0,-191689.41176470587
-14400.0,-158400.0
-14200.0,-139048.62745098042
-14000.0,-146807.84313725488
-13800.0,-97357.64705882352
-13600.0,-115093.33333333334
-13400.0,-123437.64705882352
-13200.0,-133708.23529411765
-13000.0,-144172.54901960783
-12800.0,-156410.98039215687
-12600.0,-147000.0
-12400.0,-133579.60784313726
-12200.0,-100327.05882352941
-12000.0,-121317.64705882352
-11800.0,-91438.43137254902
-11600.0,-96894.11764705883
-11400.0,-106623.5294117647
-11200.0,-109803.92156862745
-11000.0,-131396.07843137256
-10800.0,-123077.64705882352
-10600.0,-125578.82352941178
-10400.0,-80997.64705882352
-10200.0,-76320.0
-10000.0,-117803.92156862745
-9800.0,-66255.6862745098
-9600.0,-80451.76470588235
-9400.0,-73946.66666666667
-9200.0,-93948.23529411765
-9000.0,-104435.29411764706
-8800.0,-104047.05882352941
-8600.0,-83301.96078431372
-8400.0,-72371.76470588235
-8200.0,-62352.15686274509
-8000.0,-82415.6862745098
-7800.0,-57291.76470588235
-7700.0,-702.9896104752871
-7600.0,-55226.66666666667
-7400.0,-56820.39215686274
-7300.0,-7397.409976042807
-7200.0,-82051.76470588236
-7000.0,-69670.58823529413
-6800.0,-65200.0
-6600.0,-61134.117647058825
-6400.0,-58829.80392156863
-6200.0,-55240.78431372549
-6000.0,-55952.94117647059
-5800.0,-37665.882352941175
-5600.0,-44141.17647058824
-5400.0,-50971.76470588235
-5200.0,-50939.60784313726
-5000.0,-44431.37254901961
-4800.0,-35689.41176470588
-4600.0,-38892.549019607846
-4400.0,-41066.66666666667
-4200.0,-30404.70588235294
-4000.0,-47764.70588235294
-3800.0,-30057.254901960783
-3600.0,-27021.176470588234
-3400.0,-30266.666666666664
-3200.0,-24784.313725490196
-3000.0,-21647.058823529413
-2800.0,-23959.21568627451
-2600.0,-24735.686274509804
-2400.0,-20150.58823529412
-2200.0,-17625.882352941175
-2000.0,-17537.254901960783
-1800.0,-12070.588235294117
-1600.0,-14569.411764705881
-1400.0,-15773.333333333334
-1200.0,-15030.588235294115
-1000.0,-9376.470588235294
-800.0,-10842.35294117647
-600.0,-7075.294117647059
-400.0,-4672.941176470588
-200.0,-2489.4117647058824
0.0,0.0
100.0,622080.6005023773
200.0,432679.9145554324
300.0,271019.68004504533
400.0,180442.61614473123
500.0,165986.68902633886
600.0,154446.4207264069
700.0,128548.75493695844
800.0,152328.9292007948
900.0,112643.94133300536
1000.0,116176.49008692056
1100.0,132296.2176565237
1200.0,122441.97303892608
1300.0,119111.1694666416
1400.0,120571.70395223718
1500.0,117743.30314968698
1600.0,144000.01471957465
1700.0,113292.17374490519
1800.0,108038.82813813648
1900.0,126112.41960266253
2000.0,126339.00458810541
2100.0,121153.25402544168
2200.0,115456.44597345381
2300.0,120010.98624367997
2400.0,130583.41976576074
2500.0,102980.31686022764
2600.0,83964.89524332935
2700.0,87266.02714028754
2800.0,86623.84120710072
2900.0,102275.57530461607
3000.0,76744.3549119872
3100.0,66896.72555973381
3200.0,72265.14663668224
3300.0,91017.45359987766
3400.0,61848.745532162255
3500.0,67906.92680728005
3600.0,60251.62270275224
3700.0,87719.5322268412
3800.0,21202.826165356386
3900.0,57002.593397874036
4000.0,42451.443199483525
4100.0,40236.8929749648
4200.0,24819.083478253335
4300.0,46802.127996426076
4400.0,43489.16704891855
4500.0,26333.69803100912
4600.0,45610.46420190367
4700.0,41784.495809590444
4800.0,37981.409278156236
4900.0,33997.28471985459
5000.0,29158.25706346939
5100.0,44740.66609687716
5200.0,25738.421805432066
5300.0,31551.885331705213
5400.0,74647.08870319292
5500.0,70848.91914506257
5600.0,77899.64211220341
5700.0,45260.948535203934
5800.0,17282.178262889385
5900.0,40474.78252671173
6000.0,11859.27474117279
6100.0,36238.28989485279
6200.0,12289.791773319244
6300.0,31292.512872695923
6400.0,31675.035125732422
6500.0,38566.751233166084
6600.0,39170.24654432418
6700.0,33238.70581293106
6900.0,20439.06431809241
7000.0,13896.774384498596
7100.0,21136.980753421783
7200.0,7104.524616107345
7300.0,29016.3429479599
7500.0,14858.4643638134
7600.0,37750.11030912399
7700.0,7571.617750280044
7900.0,23608.789469003677
8100.0,24133.273323714733
8200.0,8128.296437263489
8300.0,8275.513139724731
8400.0,8314.656250920016
8500.0,8419.974695205688
8700.0,25865.81784675084
9100.0,18090.405259251595
9500.0,9457.309604644775
9600.0,19121.88439798355
9800.0,19520.371216967702
