Bin,PopulationSum
-20000.0,-59843.13725490196
-19600.0,-55571.76470588235
-19200.0,-17694.11764705882
-19000.0,-33901.96078431373
-18800.0,-16809.411764705885
-18600.0,-16192.94117647059
-18000.0,-29576.470588235294
-17600.0,-14287.058823529413
-17400.0,-28317.647058823528
-17200.0,-27789.80392156863
-17000.0,-13266.666666666666
-16600.0,-11587.450980392156
-16400.0,-12090.980392156864
-16200.0,-23124.70588235294
-16000.0,-33694.117647058825
-15800.0,-34698.03921568628
-15400.0,-13890.196078431372
-15200.0,-42261.96078431373
-15000.0,-28823.529411764706
-14800.0,-38654.117647058825
-14600.0,-19065.882352941175
-14400.0,-26428.235294117643
-14200.0,-49115.29411764706
-14000.0,-8674.509803921568
-13800.0,-23811.764705882353
-13600.0,-16693.333333333332
-13400.0,-15817.254901960785
-13200.0,-24277.647058823528
-12800.0,-7278.431372549019
-12600.0,-14131.764705882353
-12400.0,-35498.03921568627
-12200.0,-19711.37254901961
-12000.0,-25976.470588235294
-11800.0,-24155.29411764706
-11600.0,-11236.078431372549
-11400.0,-5632.941176470588
-11200.0,-4128.6274509803925
-11000.0,-20792.156862745098
-10800.0,-23887.058823529413
-10600.0,-21200.0
-10400.0,-18108.235294117647
-10200.0,-4080.0
-10000.0,-12941.176470588236
-9800.0,-7263.529411764706
-9600.0,-23981.176470588234
-9400.0,-3760.0
-9200.0,-11725.490196078432
-9000.0,-31941.176470588238
-8800.0,-9938.823529411766
-8600.0,-15513.725490196079
-8400.0,-17425.882352941175
-8200.0,-9968.627450980392
-8000.0,-7027.450980392157
-7800.0,-9543.529411764706
-7600.0,-6914.509803921569
-7400.0,-21445.490196078434
-7200.0,-17562.352941176472
-7000.0,-6039.21568627451
-6800.0,-7360.0
-6600.0,-14934.117647058823
-6400.0,-7027.450980392157
-6200.0,-9409.411764705883
-6000.0,-2776.470588235294
-5800.0,-2410.9803921568628
-5600.0,-3403.921568627451
-5400.0,-15374.117647058822
-5200.0,-7952.941176470588
-5000.0,-3686.2745098039213
-4800.0,-8696.470588235294
-4600.0,-8478.43137254902
-4400.0,-6280.78431372549
-4200.0,-5978.823529411766
-4000.0,-6996.078431372551
-3800.0,-3621.1764705882356
-3600.0,-4305.882352941177
-3400.0,-4320.0
-3200.0,-2848.6274509803925
-3000.0,-2364.705882352941
-2800.0,-3118.4313725490197
-2600.0,-438.43137254901956
-2400.0,-1807.0588235294117
-2200.0,-1785.8823529411766
-2000.0,-1403.9215686274508
-1800.0,-1602.3529411764705
-1600.0,-470.5882352941177
-1400.0,-384.31372549019613
-1200.0,-832.9411764705882
-1000.0,-1690.1960784313726
-800.0,-329.4117647058824
-600.0,-1778.8235294117646
-400.0,-2514.5098039215686
-200.0,-4465.882352941177
-100.0,-199.96357720298693
0.0,0.0
100.0,2138759.6597628393
200.0,1185485.6964359093
300.0,798678.9188158578
400.0,594850.7169506914
500.0,460014.0593731258
600.0,381775.65941269696
700.0,364903.7485924312
800.0,362065.0943906469
900.0,319683.4924874298
1000.0,307690.8961816448
1100.0,309716.80878384935
1200.0,285570.16817290365
1300.0,250691.87885470976
1400.0,265845.419311524
1500.0,242415.82645864665
1600.0,271945.0766568572
1700.0,260624.4972063626
1800.0,249484.453725866
1900.0,234837.80018629608
2000.0,272387.12643745635
2100.0,252490.4789171673
2200.0,251381.3502893417
2300.0,226539.37162225475
2400.0,222503.32065446198
2500.0,225326.66585993295
2600.0,246883.89517327116
2700.0,220592.86026468736
2800.0,232869.0716855076
2900.0,255880.72154262883
3000.0,295412.3812083164
3100.0,239752.31705972407
3200.0,279383.1184224926
3300.0,278299.29070102226
3400.0,274493.97744878347
3500.0,209987.76513238862
3600.0,279135.55839619064
3700.0,266632.6623801359
3800.0,173632.6657352345
3900.0,226528.12620261742
4000.0,280350.71617817483
4100.0,230722.37726919726
4200.0,227681.8532849127
4300.0,161387.52905937564
4400.0,199903.2784566527
4500.0,209723.05756178533
4600.0,180400.38330949252
4700.0,209123.69771535415
4800.0,199672.57817759924
4900.0,208859.5259529627
5000.0,181591.1896116272
5100.0,236675.89199889902
5200.0,169911.6855472047
5300.0,239382.50672949874
5400.0,194592.17523608115
5500.0,200021.1188177215
5600.0,257870.53303361824
5700.0,202609.70465067343
5800.0,207302.13309706608
5900.0,184375.53463704675
6000.0,190659.519417922
6100.0,175368.12949513548
6200.0,221309.25020972546
6300.0,178666.9182628905
6400.0,169336.85175921017
6500.0,116163.41921930714
6600.0,176832.80149874743
6700.0,159510.21856458113
6800.0,161936.63897512667
6900.0,123322.52381809568
7000.0,152869.0799909234
7100.0,147991.20212144125
7200.0,228776.47162531083
7300.0,195578.93309820397
7400.0,161543.7252706522
7500.0,153674.8709378876
7600.0,105731.61727848649
7700.0,221870.25641417736
7800.0,147154.99721770082
7900.0,117950.61541032046
8000.0,127192.04419030063
8100.0,177109.73692413606
8200.0,130249.44620245276
8300.0,165096.87117010355
8400.0,175238.53731139563
8500.0,160710.67056443775
8600.0,230519.50989689305
8700.0,138637.47447820738
8800.0,122595.26122833556
8900.0,185725.3598117195
9000.0,116223.03991996124
9100.0,189954.7974830605
9200.0,210364.71789539326
9300.0,203478.10923588322
9400.0,168169.7933063698
9500.0,226707.48591096932
9600.0,219601.65044158883
9700.0,202686.87117482815
9800.0,146040.92361064628
9900.0,138016.69517711736
10000.0,189044.73840313405
10100.0,110514.50843051542
10200.0,263980.7634822875
10300.0,205137.081486003
10400.0,236860.53720383433
10500.0,146268.94164771214
10600.0,176803.39343947827
10700.0,149270.78590971325
10800.0,139886.97402593307
10900.0,97772.46109988913
11000.0,164258.90674404986
11100.0,187958.75560290553
11200.0,200592.42110242695
11300.0,202302.97236616255
11400.0,215501.1288845744
11500.0,160152.57175210677
11600.0,254127.69609528314
11700.0,197995.90125809982
11800.0,199824.20168997906
11900.0,153892.7908146386
12000.0,167206.04749530647
12100.0,216768.43525441363
12200.0,170124.34840150177
12300.0,208452.8157143891
12400.0,210016.60466923192
12500.0,136955.63283595443
12600.0,200526.87063732278
12700.0,214920.70559421182
12800.0,216846.86158334787
12900.0,257036.36136775836
13000.0,155373.6777255535
13100.0,182734.5527945906
13200.0,92000.1057908982
13300.0,182771.4383040215
13400.0,146834.43799675256
13500.0,94271.23618230224
13600.0,67703.33066415787
13700.0,136615.70085788332
13800.0,82676.51452733576
13900.0,110911.21287763119
14000.0,83515.77037511021
14100.0,98455.62460145354
14200.0,99038.8986311797
14300.0,42731.41349315643
14400.0,100441.14312006533
14500.0,86678.19290912151
14600.0,87352.4871649812
14700.0,73281.23086767271
14800.0,103181.34177483339
14900.0,44504.26055908203
15000.0,14936.295629262924
15100.0,75272.33537661284
15200.0,30290.950967222452
15300.0,61029.993170797825
15400.0,76655.26565384865
15500.0,123645.98641899228
15600.0,31077.680119991302
15700.0,62635.893917143345
15800.0,31448.643517136574
15900.0,79267.33888969198
16000.0,79634.9723521173
16100.0,112292.96970582008
16200.0,48431.84577560425
16300.0,48702.904114454985
16400.0,32674.587599292397
16500.0,115251.67845106125
16600.0,49660.738567690365
16700.0,116458.33505141735
16800.0,67028.56168482266
16900.0,33673.81354475021
17000.0,84744.78274393082
17100.0,51147.60030891001
17200.0,85818.34276723862
17300.0,69003.10776088387
17400.0,34720.32997608185
17500.0,52375.1460609436
17600.0,17515.811275482178
17800.0,17756.142280578613
17900.0,53539.040264606476
18000.0,35943.87762784958
18100.0,18005.266226053238
18200.0,54425.79968261719
18300.0,109481.56942939758
18400.0,55018.65361595154
18500.0,36827.64360189438
18700.0,18610.46456336975
18800.0,93767.03787791729
18900.0,37670.55840539932
19000.0,18985.512540750206
19400.0,38700.48550033569
19500.0,77813.70237541199
19600.0,19549.105926513672
19700.0,19619.249854564667
19900.0,19834.685371160507
20000.0,39946.73013973236
20200.0,20112.07774734497
20300.0,20212.87526702881
20400.0,40698.08957576752
20800.0,20769.742505550385
20900.0,41748.78338623047
21000.0,20919.479806900024
21100.0,21069.487831115723
21500.0,42907.52585220337
21600.0,21568.069135665894
21700.0,21609.832011530176
21900.0,21802.548495292664
22300.0,22265.960067749023
24000.0,23965.0971660614
26100.0,26029.92981338501
28000.0,27991.16128730774
