Bin,PopulationSum
-20000.0,-1919843.137254902
-19800.0,-39600.0
-19600.0,-39200.0
-19400.0,-38800.0
-19200.0,-57600.0
-19000.0,-19000.0
-18800.0,-37600.0
-18600.0,-37200.0
-18400.0,-73600.0
-18300.0,-18347.155220150948
-18000.0,-36000.0
-17800.0,-17800.0
-17600.0,-17600.0
-17400.0,-34800.0
-17200.0,-34400.0
-17000.0,-102000.0
-16800.0,-16800.0
-16600.0,-33200.0
-16400.0,-65600.0
-16000.0,-64000.0
-15800.0,-31600.0
-15600.0,-31200.0
-15400.0,-30800.0
-15200.0,-15200.0
-15000.0,-15000.0
-14800.0,-14800.0
-14600.0,-14600.0
-14400.0,-28800.0
-14200.0,-28400.0
-14000.0,-28000.0
-13400.0,-26800.0
-13200.0,-26400.0
-13000.0,-26000.0
-12800.0,-12800.0
-12600.0,-12600.0
-12400.0,-12400.0
-12200.0,-48800.0
-12000.0,-12000.0
-11900.0,-11924.376304924488
-11800.0,-11800.0
-11600.0,-11600.0
-11200.0,-11200.0
-11000.0,-11000.0
-10800.0,-21600.0
-10600.0,-4655.686274509804
-10000.0,-30000.0
-9800.0,-22866.666666666668
-9600.0,-38400.0
-9400.0,-18800.0
-9200.0,-18400.0
-9000.0,-27000.0
-8800.0,-11284.70588235294
-8600.0,-8600.0
-8400.0,-8400.0
-8000.0,-24000.0
-7800.0,-15600.0
-7600.0,-7600.0
-7400.0,-14800.0
-7200.0,-9741.176470588236
-7000.0,-14000.0
-6900.0,-6999.809109777212
-6800.0,-6800.0
-6200.0,-18600.0
-6000.0,-6000.0
-5500.0,-5581.929058074951
-5200.0,-11338.039215686274
-5000.0,-7666.666666666666
-4800.0,-470.5882352941176
-4600.0,-9200.0
-4400.0,-4400.0
-4200.0,-13077.64705882353
-4000.0,-24018.717914119363
-3800.0,-3800.0
-3600.0,-7200.0
-3400.0,-11200.0
-3000.0,-18000.0
-2900.0,-2998.4243763685226
-2600.0,-734.1176470588236
-2500.0,-2551.238218858838
-2400.0,-4858.264753043652
-2200.0,-6600.0
-2000.0,-18000.0
-1800.0,-5454.700721740723
-1600.0,-3200.0
-1500.0,-1594.8146476745605
-1400.0,-2800.0
-1200.0,-7195.2941176470595
-1000.0,-6000.0
-900.0,-921.653221487999
-800.0,-6484.705882352941
-600.0,-3581.1764705882356
-500.0,-508.63912872970104
-400.0,-2895.442562041037
-200.0,-1800.7843137254902
0.0,0.0
100.0,492486.8138370241
200.0,1099782.6573237372
300.0,1794280.8679019934
400.0,2516056.811591531
500.0,3323927.848331093
600.0,3983572.6902445653
700.0,4476992.864807344
800.0,4967749.462202283
900.0,5013104.0808011545
1000.0,5159268.6641634535
1100.0,5067137.250439904
1200.0,5155276.804423562
1300.0,4951072.531239498
1400.0,4813214.802603883
1500.0,4392014.933199236
1600.0,4298054.911524563
1700.0,4017389.1188652585
1800.0,3730826.5304820472
1900.0,3395724.070765091
2000.0,3235927.6332971305
2100.0,2810933.2664635284
2200.0,2659362.0336879226
2300.0,2500128.219903216
2400.0,2343178.4759075027
