Bin,PopulationSum
-20000.0,-200000.0
-19200.0,-19200.0
-19000.0,-19000.0
-17400.0,-17400.0
-16400.0,-16400.0
-15000.0,-15000.0
-14400.0,-14400.0
-14200.0,-9132.549019607844
-13800.0,-13800.0
-13600.0,-13600.0
-11600.0,-11600.0
-11200.0,-6412.549019607843
-9200.0,-9200.0
-8600.0,-8600.0
-8400.0,-8400.0
-8200.0,-8200.0
-7800.0,-15600.0
-6600.0,-6600.0
-6400.0,-1530.9803921568628
-6000.0,-6000.0
-5600.0,-5600.0
-5400.0,-1800.0
-5000.0,-5803.921568627451
-4800.0,-2861.176470588235
-4600.0,-4600.0
-4200.0,-4200.0
-3800.0,-3800.0
-3200.0,-326.27450980392155
-3000.0,-3000.0
-2600.0,-101.96078431372548
-2400.0,-7200.0
-2200.0,-1018.0392156862746
-2000.0,-4078.4313725490197
-1800.0,-3600.0
-1600.0,-200.78431372549022
-1200.0,-2437.6470588235293
-1000.0,-196.07843137254903
-800.0,-6.2745098039215685
-600.0,-1251.764705882353
-400.0,-1739.6078431372548
-300.0,-374.8185724541545
-200.0,-601.5686274509804
-100.0,-309.1723779141903
-0.0,-5.165537202621207
0.0,0.0
100.0,2.946938090443843E7
200.0,4.248846835664806E7
300.0,4.813611348102941E7
400.0,4.859550869288422E7
500.0,4.71948577794148E7
600.0,4.409549971263731E7
700.0,4.109174680910492E7
800.0,3.7902219989084095E7
900.0,3.456164426897676E7
1000.0,3.20161072502853E7
1100.0,2.9383509800350945E7
1200.0,2.7325644774842516E7
1300.0,2.4735146294155564E7
1400.0,2.298703529549206E7
1500.0,2.1342608482784044E7
1600.0,1.9427837867307425E7
1700.0,1.8176400843632933E7
1800.0,1.7042796583151586E7
1900.0,1.5920881923431313E7
2000.0,1.499058626492648E7
2100.0,1.3914529561621271E7
2200.0,1.2799309834267512E7
2300.0,1.2173347053207621E7
2400.0,1.1526788736061445E7
2500.0,1.1185421900306303E7
2600.0,1.0271275529912202E7
2700.0,9653796.650233367
2800.0,9433758.915543053
2900.0,9073975.697175086
3000.0,8740220.48870476
3100.0,8141198.915382379
3200.0,7812929.557508825
3300.0,7433491.01266351
3400.0,6999169.313959863
3500.0,6851465.896326801
3600.0,6428431.011312575
3700.0,6415123.400054832
3800.0,6306419.737598406
3900.0,5816147.543061633
4000.0,5780974.564892527
4100.0,5557171.293939855
4200.0,5423280.982281852
4300.0,5243039.690227205
4400.0,5071911.612028921
4500.0,4999582.790520396
4600.0,4795009.337864378
4700.0,5168321.039518811
4800.0,4447711.308532512
4900.0,4449196.622606533
5000.0,4220318.703439176
5100.0,4317448.599373216
5200.0,4051159.8415737525
5300.0,4089263.964866861
5400.0,4055912.1280733375
5500.0,4039954.445085928
5600.0,3783685.187767216
5700.0,3775933.585746009
5800.0,3564168.6624872275
5900.0,3543199.7982914187
6000.0,3449796.657410032
6100.0,3406912.1624607313
6200.0,3228175.6745136017
6300.0,3415811.5008318955
6400.0,3287306.9826457007
6500.0,3101663.0550624523
6600.0,3391906.0401195544
6700.0,3206831.1342570153
6800.0,3013031.1436828393
6900.0,3072691.183477233
7000.0,2932182.90295892
7100.0,3063513.954375536
7200.0,2822239.3165998035
7300.0,2791428.133198712
7400.0,2899310.41213861
7500.0,2845130.5278855446
7600.0,2657210.09758153
7700.0,2661939.7061040807
7800.0,2904853.5295447516
7900.0,2641208.1812120536
8000.0,2464112.417955633
8100.0,2679109.4902768414
8200.0,2552248.3717599595
8300.0,2609836.872501829
8400.0,2600898.189945726
8500.0,2589666.7422160427
8600.0,2505821.820941493
8700.0,2474885.8711701934
8800.0,2714685.7563207215
8900.0,2333364.478596407
9000.0,2432416.817105755
9100.0,2278370.457002838
9200.0,2488063.2025630865
9300.0,2177062.4724336597
9400.0,2318117.5826437674
9500.0,2576301.763211554
9600.0,2252529.017651308
9700.0,2255493.258979531
9800.0,2305137.4132908727
9900.0,2114419.6104006143
10000.0,2584264.095613527
10100.0,2261492.941982475
10200.0,2525844.747559501
10300.0,2056102.4170722093
10400.0,2275734.3953345884
10500.0,2125315.32147013
10600.0,2112904.1065747654
10700.0,1910185.0164819793
10800.0,1830351.1841564951
10900.0,2511241.5424821996
