Bin,PopulationSum
0.0,0.0
100.0,1245084.433522115
200.0,1224344.483595426
300.0,865169.0415772704
400.0,609498.3024307145
500.0,439306.79152274306
600.0,321055.0950631452
700.0,248748.33947545363
800.0,199395.35621042486
900.0,152069.00084194762
1000.0,171073.8203693434
1100.0,122311.52332115476
1200.0,129224.76127824551
1300.0,106065.12583549038
1400.0,105116.84097204637
1500.0,95557.58229275787
1600.0,92921.96947018975
1700.0,112114.3610563688
1800.0,102356.06998744694
1900.0,71902.65800876915
2000.0,81717.90397682751
2100.0,99354.57067873911
2200.0,92355.1895827148
2300.0,80696.96844896277
2400.0,70562.56309987625
2500.0,65145.14400069078
2600.0,91197.70560411873
2700.0,74351.11999183334
2800.0,57103.99777778326
2900.0,96780.44006202508
3000.0,67751.06068195961
3100.0,72988.64531388227
3200.0,59751.94327595754
3300.0,102550.96665011632
3400.0,59133.18584887377
3500.0,71186.94959328859
3600.0,60889.25546641203
3700.0,54613.415344181936
3800.0,63818.04893932585
3900.0,77165.63339798758
4000.0,62737.09283906567
4100.0,48601.45768143283
4200.0,45631.57752124779
4300.0,59054.12625382608
4400.0,60572.83976011942
4500.0,76210.77724246809
4600.0,82075.51016442291
4700.0,69715.72282857532
4800.0,50766.31807145893
4900.0,33310.459226693594
5000.0,53041.91465952319
5100.0,50266.04704745987
5200.0,67121.09646214871
5300.0,73055.04437076245
5400.0,58404.15135449825
5500.0,38132.581784705864
5600.0,63921.13720031061
5700.0,67803.49850451574
5800.0,40320.17383242771
5900.0,40927.81731642969
6000.0,59470.70818302035
6100.0,30206.857940516435
6200.0,55354.37724574981
6300.0,43725.96891034588
6400.0,82719.9488627417
6500.0,25836.444137625396
6600.0,58990.06395522971
6700.0,33267.21553759929
6800.0,40449.32807158679
6900.0,54605.06288837083
7000.0,62633.90656539425
7100.0,20400.553555063358
7200.0,21449.434560328722
7300.0,72537.74942581542
7400.0,73509.05140474346
7500.0,44674.82373091392
7600.0,67879.09048218839
7700.0,83971.20293880109
7800.0,46494.73501743097
7900.0,62790.41604463849
8000.0,55701.39554947987
8100.0,24197.290559239686
8200.0,8197.436122894287
8300.0,57715.56885388121
8400.0,50111.678111638874
8500.0,33749.570708271116
8600.0,25557.27285838127
8700.0,34613.165558781475
8800.0,17516.860194832087
8900.0,44100.636723876
9000.0,42462.69842724362
9100.0,27127.74077513255
9200.0,9103.555403042585
9300.0,27746.103723526
9400.0,24982.61717645576
9500.0,85146.52658103034
9600.0,38199.37622537464
9700.0,38613.673795482144
9800.0,58626.32950408384
9900.0,9812.025199055672
10000.0,49692.40112757683
10100.0,80348.75981372409
10200.0,20330.42083799839
10300.0,30655.577947616577
10400.0,20740.16586905718
10500.0,62716.46237736568
10600.0,52738.28605608642
10700.0,31972.342144429684
10800.0,10748.508136749268
10900.0,21698.86536669731
11000.0,43819.87652911991
11100.0,33034.27260341123
11200.0,11188.075790911913
11300.0,22524.782104879618
11400.0,34013.93370056152
11500.0,34333.618463516235
11600.0,34688.61533416994
11700.0,34925.2947678566
11800.0,35315.00856886804
11900.0,47410.04329229146
12000.0,23923.9588432312
12100.0,12056.511878967285
12200.0,36368.741395398974
12300.0,24533.31905347109
12400.0,24747.357135772705
12500.0,49820.80106651783
12600.0,12525.497674942017
12800.0,25483.204167492688
12900.0,12839.336097717285
13000.0,12951.156735137105
13100.0,26044.179264068604
13200.0,13110.87561571598
13500.0,13489.57392501831
13600.0,40646.79088830948
13800.0,13138.489333163056
14000.0,13932.723602294922
14100.0,28166.61698627472
14200.0,28326.507614135742
14400.0,14336.589056968689
14700.0,29340.030180066824
15600.0,77748.81325971708
15800.0,15776.51009555906
15900.0,15806.186378479004
16000.0,15933.165382385254
16600.0,33119.70615005493
17000.0,33829.17146778107
17600.0,17582.576456069946
17800.0,17716.65776130557
18000.0,17967.202520012856
18200.0,18129.162078857422
18300.0,18209.131318245083
18400.0,18328.821066856384
18700.0,18600.272284030914
19000.0,37918.69322077185
19900.0,19822.285652160645
20100.0,20092.32285682857
20300.0,20209.006404161453
20700.0,20689.75429916382
20900.0,20842.950107358396
21000.0,20965.845642089844
23000.0,22945.845135211945
23200.0,23136.6366250813
23300.0,23288.94150161743
23700.0,23663.649522144347
24800.0,24713.642977308482
25400.0,50644.413143992424
25600.0,25590.629596710205
26100.0,26094.770501613617
26300.0,26214.765966922045
30100.0,30073.790837332606
30400.0,30304.025913238525
30800.0,61502.62142944336
31000.0,30989.751136779785
33500.0,33489.46466636658
34200.0,34138.72928699106
35800.0,35768.1145324707
36100.0,36050.41372680664
37500.0,37465.23767852783
37700.0,37672.51543612778
43800.0,43783.768630981445
