Bin,PopulationSum
-200.0,-908.2352941176471
-100.0,-191.7759901860181
0.0,0.0
100.0,2104542.1456829836
200.0,1790067.6761092101
300.0,1441867.149502225
400.0,1156195.5471788056
500.0,964587.053457119
600.0,788512.3676828187
700.0,668607.7375039777
800.0,597818.4008740798
900.0,510350.3300486586
1000.0,421089.0620955451
1100.0,347555.08364643354
1200.0,299678.71233618597
1300.0,273312.1556644999
1400.0,262067.71773315343
1500.0,267566.5977124721
1600.0,232773.4937467333
1700.0,204395.83332428918
1800.0,182148.5834240232
1900.0,224533.57716923117
2000.0,183150.57190661505
2100.0,178376.7136865221
2200.0,164995.73020535347
2300.0,175211.8609715663
2400.0,183235.29694216128
2500.0,146368.5069530833
2600.0,180687.4319629118
2700.0,130735.75073983666
2800.0,172726.15679279112
2900.0,116760.68656006269
3000.0,103122.48445536755
3100.0,113040.24354108237
3200.0,116320.44972185604
3300.0,136617.7981053833
3400.0,114197.2220015619
3500.0,72488.14289380983
3600.0,71055.60956103168
3700.0,94913.0591993127
3800.0,100452.40643467252
3900.0,119278.11127560027
4000.0,98881.88873445615
4100.0,76903.41062769853
4200.0,70764.6842699144
4300.0,59502.93062405847
4400.0,82108.37323742914
4500.0,84404.72830073722
4600.0,88643.66411273503
4700.0,65052.93631891534
4800.0,52225.806757733226
4900.0,38738.90443525277
5000.0,79258.12980076484
5100.0,75813.43564669043
5200.0,77381.50289647467
5300.0,63042.045310089365
5400.0,48067.260993940756
5500.0,81897.53401529044
5600.0,44407.20019329153
5700.0,56400.75593607873
5800.0,46133.278042458
5900.0,64359.211456958205
6000.0,107173.00386453606
6100.0,60372.953780680895
6200.0,24582.02282879129
6300.0,43781.65598712489
6400.0,50883.346559263766
6500.0,62591.93156287151
6600.0,78383.64096305706
6700.0,33253.08114522323
6800.0,40398.439156882465
6900.0,68382.15469598211
7000.0,90410.98699125275
7100.0,63336.35696262121
7200.0,64244.07454323955
7300.0,29074.211713828146
7400.0,44077.13991006091
7500.0,56979.73457490815
7600.0,37725.03940786421
7700.0,53479.149317669304
7800.0,38726.35128842108
7900.0,86454.78849161975
8000.0,7953.156356811523
8100.0,104709.61365182325
8200.0,40728.26136721298
8300.0,82617.21111636609
8400.0,75132.10340621695
8500.0,25339.748521901667
8600.0,76972.97705076262
8700.0,95300.71615217067
8800.0,26169.88670322299
8900.0,26605.451041564345
9000.0,26905.615436136723
9100.0,99530.20056536421
9200.0,73149.5575142093
9300.0,46243.71271346882
9400.0,65556.17965741083
9500.0,47335.394247710705
9600.0,28635.407263994217
9700.0,48279.94366841018
9800.0,48636.70564749651
9900.0,39396.53265460767
10000.0,29920.416962657124
10100.0,107573.05693774845
10200.0,71047.05426834151
10300.0,20472.537159932777
10400.0,82863.58587482199
10500.0,73207.44684009254
10600.0,63395.17472565174
10700.0,53276.689131883904
10800.0,43063.76551308483
10900.0,86793.38321169466
11000.0,32865.1351909861
11100.0,66354.27400971577
11200.0,78161.14608658105
11300.0,56259.22074958682
11400.0,56733.213825531304
11500.0,45848.51865216717
11600.0,69430.10174776986
11700.0,23283.98632433638
11800.0,82093.29271578416
11900.0,59207.796694833785
12000.0,131454.80764942244
12100.0,96564.93277067691
12200.0,60663.511519268155
12300.0,24526.045889735222
12400.0,49317.33396085352
12500.0,24883.011378664523
12600.0,37553.59905748069
12700.0,50618.78946325183
13100.0,26088.70979939401
13200.0,39445.40870196745
13300.0,52954.713980294764
13500.0,13473.655945420265
13600.0,54277.858303250745
13700.0,40929.820632930845
13800.0,13719.010690033436
13900.0,27638.59185618162
14000.0,13989.059197746217
14100.0,28062.14846694097
14300.0,28483.53209283948
14500.0,14449.598559737206
14600.0,14527.733544148505
14700.0,43989.18766215071
14800.0,29417.640390396118
14900.0,29776.01564539969
15000.0,44813.54914185405
15300.0,45795.52805888653
15400.0,15324.928199239075
15500.0,30936.04706838727
15600.0,31087.074975058436
15700.0,15694.497747063637
15800.0,15770.483314573765
15900.0,15840.280159726739
16000.0,47780.72240528092
16100.0,32159.35677222535
16200.0,32245.575590968132
16300.0,16207.527750015259
16400.0,32690.682014226913
16600.0,16577.79965877533
16700.0,16685.809502124786
16900.0,50657.237151920795
17000.0,33895.49665927887
17100.0,51094.39475034177
17400.0,17365.075194835663
17500.0,69754.52392026782
17700.0,52955.31918765232
17800.0,17727.807179927826
17900.0,35687.58754506707
18100.0,36058.46490200609
18200.0,54468.35565006733
18300.0,18226.075393676758
18500.0,18489.720602236688
18700.0,37243.47817041539
18800.0,37572.93043985963
18900.0,18847.81440345943
19000.0,37874.77750444412
19100.0,57146.48044425249
19200.0,19106.23641180992
19300.0,38529.20313167572
19400.0,19320.397060737014
19500.0,19488.720916748047
19600.0,19309.501609241262
19700.0,39269.400829315186
19900.0,59523.956383800134
20000.0,39921.42134410143
20200.0,40342.10825394094
20500.0,20449.084436416626
20700.0,41273.14723215252
20900.0,20861.295189857483
21000.0,20927.351796157658
21100.0,21060.611451640725
21200.0,21120.210130929947
21500.0,42891.07863616943
21800.0,43468.6034976542
22000.0,21933.76971054077
22100.0,44073.204286783934
22400.0,22369.13560716808
22500.0,67373.06103536487
22700.0,90527.52418789268
22900.0,45691.132855176926
23200.0,23119.130078315735
23500.0,23480.19594192505
23600.0,23531.316652595997
23800.0,23764.509126082063
23900.0,23847.070537880063
24300.0,48444.9970664978
24400.0,24368.995293974876
24600.0,24534.580513730645
24700.0,24681.572441101074
24900.0,24801.28522157669
25000.0,49902.75939130783
25100.0,25052.992069244385
25200.0,25162.846033632755
25500.0,25450.410405158997
25900.0,25801.65652437508
26700.0,26624.05713200569
26900.0,26887.183505535126
27300.0,54550.10972315073
27600.0,27577.50730085373
28400.0,28354.864167690277
28600.0,28521.273384690285
29000.0,28972.034192562103
29200.0,58286.353021621704
30200.0,30143.570068359375
30400.0,60769.892278686166
30700.0,30655.351150512695
30800.0,92188.9100728035
31000.0,30951.55413323641
31200.0,31167.291131913662
31600.0,31528.072798132896
31700.0,31670.68830871582
34300.0,34288.80384159088
36200.0,36184.70988035202
37900.0,37839.243534088135
39600.0,39529.14342921972
40500.0,40422.59657096863
