Bin,PopulationSum
-17200.0,-13760.0
-17000.0,-16199.999999999998
-6800.0,-5173.333333333333
-5000.0,-1254.9019607843138
-4200.0,-889.4117647058823
-2400.0,-1929.4117647058824
-2200.0,-543.5294117647059
-1200.0,-1200.0
-800.0,-15.686274509803921
-400.0,-1.5686274509803921
-200.0,-198.4313725490196
0.0,0.0
100.0,2578.1257126870155
200.0,3941.3225562093526
300.0,4747.021796911881
400.0,4220.5557951310975
500.0,6882.448738567203
600.0,4814.524287083416
700.0,3678.410769308227
800.0,3924.7120426527863
900.0,2560.304854854635
1000.0,5344.27912288406
1100.0,2596.0809136466214
1300.0,4889.8916093986045
1400.0,1333.799686593935
1500.0,3746.3457302136167
1700.0,1679.6114984042943
2000.0,1276.3246519746297
2200.0,2186.495290119201
2300.0,8001.132760114953
2800.0,1634.0280905927368
3500.0,3140.728887434567
3600.0,3044.1938019031113
5300.0,10182.503756230017
