Bin,PopulationSum
-7800.0,-2018.8235294117649
-7400.0,-1044.7058823529412
-4000.0,-501.96078431372547
-3600.0,-254.11764705882354
-2400.0,-178.8235294117647
-1800.0,-190.58823529411762
-1200.0,-37.647058823529406
-400.0,-3.1372549019607843
-200.0,-2.3529411764705883
-100.0,-370.3051418722607
-0.0,-81.82027625991032
0.0,0.0
100.0,3489341.111138234
200.0,2840302.6503457967
300.0,2230442.770599308
400.0,1796627.8001070595
500.0,1514841.051412696
600.0,1271439.586949356
700.0,1160592.5022526302
800.0,1083697.1124388739
900.0,1033542.1010401096
1000.0,986338.8354516218
1100.0,923332.9101156519
1200.0,895264.1121097128
1300.0,842826.5728967342
1400.0,793168.5465990322
1500.0,738389.62485865
1600.0,696119.3161925504
1700.0,747497.8553578088
1800.0,656354.7147492693
1900.0,710142.7146321475
2000.0,726167.1081874013
2100.0,614138.9250625853
2200.0,634346.1345544674
2300.0,599162.2600935288
2400.0,681898.7298070141
2500.0,655074.098019442
2600.0,614021.0685483275
2700.0,537506.9786369924
2800.0,467225.34119934187
2900.0,535619.7337848744
3000.0,554335.3348113175
3100.0,569597.1111936541
3200.0,513718.8912056829
3300.0,492839.0484064161
3400.0,470572.66709858726
3500.0,464820.2393575368
3600.0,430890.39934394835
3700.0,372196.71427737107
3800.0,419131.4008819351
3900.0,381380.34518396173
4000.0,412170.8428903896
4100.0,352486.7340678051
4200.0,372485.4931320981
4300.0,335036.9911254524
4400.0,382956.89761823387
4500.0,331801.611214312
4600.0,359600.9853029626
4700.0,279056.70785487385
4800.0,337207.1332181491
4900.0,363949.7722290811
5000.0,301931.4579872923
5100.0,292895.4590018416
5200.0,262673.23263744847
5300.0,262552.6537413299
5400.0,299465.8570070672
5500.0,190387.18708255162
5600.0,316457.49530915543
5700.0,237157.82179319015
5800.0,269974.2301621897
5900.0,226380.31386620298
6000.0,285527.447389683
6100.0,266237.2721341409
6200.0,209192.6278092065
6300.0,250038.2162096292
6400.0,272861.10990610544
6500.0,257771.76472456637
6600.0,268633.2669822769
6700.0,319549.1328684056
6800.0,229620.3166709388
6900.0,239819.0900774429
7000.0,159718.33505159593
7100.0,218438.23693782135
7200.0,207200.06248961523
7300.0,152212.1949649038
7400.0,220518.54078266956
7500.0,200859.0443146031
7600.0,211430.12492713798
7700.0,168362.39340740666
7800.0,232447.92127790675
7900.0,212154.82207768742
8000.0,158826.14539298345
8100.0,176967.0091688062
8200.0,138509.38264175947
8300.0,181453.625193069
8400.0,292809.90441612434
8500.0,236380.44830074234
8600.0,179805.49474188336
8700.0,207630.74926667474
8800.0,131280.04412705428
8900.0,185847.4289189502
9000.0,125425.1859709344
9100.0,135772.6056639197
9200.0,210376.57486747106
9300.0,157263.4959664587
9400.0,93544.23369916709
9500.0,189000.1229264033
9600.0,114589.97362793887
9700.0,192890.59938507434
9800.0,97530.87154614739
9900.0,206549.89357834822
10000.0,79574.02116381808
10100.0,251141.1472145116
10200.0,162305.3509257536
10300.0,40898.07099632546
10400.0,101954.30669873573
10500.0,94042.54338121177
10600.0,94807.72423035372
10700.0,117005.66227664612
10800.0,150574.4170912396
10900.0,195333.33650279115
11000.0,131427.6593501009
11100.0,121463.97600744443
11200.0,89251.07525361003
11300.0,101208.45949274395
11400.0,90956.1006035133
11500.0,68643.5851439872
11600.0,184992.6409000248
11700.0,100154.32221071018
11800.0,152776.1850628843
11900.0,118458.5514475163
12000.0,83535.95606263107
12100.0,84237.85144862533
12200.0,121306.67105119303
12300.0,49001.46656868234
12400.0,111169.37544793337
12500.0,62313.187952863984
12600.0,87833.31673796475
12700.0,38050.79962012172
12800.0,63721.81295472407
12900.0,64204.96853560116
13000.0,25918.08576464653
13100.0,78427.11535791308
13200.0,157893.0582542792
13300.0,66128.93923727423
13400.0,39988.2392710289
13500.0,80675.4589448981
13600.0,67810.5257202669
13700.0,54644.77007701999
13800.0,109878.56618321751
13900.0,108684.5043727812
14000.0,83657.58675784245
14100.0,28084.896625101566
14200.0,98953.81579213124
14300.0,128228.66834809119
14400.0,71802.6805755645
14500.0,100993.3757528225
14600.0,43591.31001466513
14700.0,87959.78986184858
14800.0,44281.352700293064
14900.0,118784.0487282481
15000.0,104613.70016421098
15100.0,30122.834922734648
15200.0,136222.00016590767
15300.0,30477.74900741817
15400.0,61317.243959084386
15500.0,46350.45938377094
15600.0,93221.37177084805
15700.0,31266.151925504208
15800.0,31568.773985631764
15900.0,47563.203438557684
