Bin,PopulationSum
-2800.0,-3414.901960784314
-2600.0,-4781.960784313725
-2500.0,-1254.0855392714634
-2400.0,-7011.764705882353
-2300.0,-2117.584129802006
-2200.0,-2208.627450980392
-2100.0,-1181.9288536600623
-2000.0,-8023.529411764706
-1900.0,-3113.628737984598
-1800.0,-4489.411764705883
-1700.0,-910.4042308234992
-1600.0,-5552.941176470588
-1400.0,-8745.882352941175
-1200.0,-18720.0
-1100.0,-889.3712384130532
-1000.0,-12721.568627450979
-900.0,-823.5137494298465
-800.0,-4034.5098039215686
-600.0,-1964.7058823529414
-400.0,-2214.901960784314
-300.0,-399.44417414814234
-200.0,-4064.3137254901962
-100.0,-585.8722779918462
0.0,0.0
100.0,2391793.7833497664
200.0,1589185.768412435
300.0,1319113.789571891
400.0,1150821.5714510097
500.0,988188.9364924789
600.0,835436.7085150036
700.0,747193.640121267
800.0,641815.817049053
900.0,589714.022848227
1000.0,583103.6096219937
1100.0,506270.23779755924
1200.0,495898.0880040198
1300.0,478489.96953247365
1400.0,459959.20167358743
1500.0,418358.9509146372
1600.0,424528.9871756397
1700.0,355178.98963905213
1800.0,394393.58526694775
1900.0,374996.9892536143
2000.0,308477.9490912743
2100.0,361711.83710260596
2200.0,304683.33764484525
2300.0,305009.1173146871
2400.0,325119.359102457
2500.0,284293.65137538593
2600.0,283089.9089017594
2700.0,349906.99816666666
2800.0,278084.96545191854
2900.0,261988.73976660147
3000.0,212631.83204826014
3100.0,274426.7517373834
3200.0,219479.79523823573
3300.0,263145.31128838006
3400.0,253747.96163908963
3500.0,261047.13501607563
3600.0,255712.71827542875
3700.0,214669.64615100718
3800.0,251431.42710457556
3900.0,238240.6107271281
4000.0,209458.9762163221
4100.0,251480.7089221934
4200.0,228380.94387293886
4300.0,246728.6568693025
4400.0,161183.46581859328
4500.0,200522.77910200553
4600.0,209418.99202961754
4700.0,212482.20425101178
4800.0,185239.08017022384
4900.0,227989.12393972743
5000.0,188059.7517082123
5100.0,219732.67944016788
5200.0,195727.22549943347
5300.0,147170.20090810768
5400.0,205434.0245312661
5500.0,174491.290010795
5600.0,177463.88321955502
5700.0,96129.83145303093
5800.0,287486.31455658376
5900.0,164069.02420819597
6000.0,208276.09925457463
6100.0,222230.06239941574
6200.0,165445.88887956843
6300.0,168675.47778399102
6400.0,158533.90671281703
6500.0,174046.84971066006
6600.0,163568.48663509917
6700.0,259150.96847165003
6800.0,215992.79847802967
6900.0,136941.29857281595
7000.0,173853.38532805815
7100.0,169147.34829982277
7200.0,143204.46976142377
7300.0,167089.631305838
7400.0,176711.60938087013
7500.0,163957.7624617517
7600.0,180864.08815050492
7700.0,130229.7069369927
7800.0,185839.7413081415
7900.0,164701.9561685957
8000.0,206506.86362329684
8100.0,196975.55791882204
8200.0,219933.91903978027
8300.0,255805.4293122366
8400.0,200441.89150113985
8500.0,295549.22361515753
8600.0,188053.90722988546
8700.0,198873.66100334376
8800.0,271394.31542862765
8900.0,186037.87311319634
9000.0,205895.77572468668
9100.0,244357.1805335572
9200.0,109739.23427172564
9300.0,240339.50143510848
9400.0,166069.45016732565
9500.0,179501.33596780524
9600.0,210033.3440922331
9700.0,125376.3798747845
9800.0,185129.56258162484
9900.0,167540.0731688086
10000.0,158858.76055441052
10100.0,160795.35940141603
10200.0,132204.53524052352
10300.0,215550.15905546583
10400.0,196530.38161667436
10500.0,104717.96463332325
10600.0,242531.69225943275
10700.0,191560.81987050734
10800.0,139660.5158816576
10900.0,173837.983562693
11000.0,120217.02667278424
11100.0,99463.94918750226
11200.0,111503.22742142808
11300.0,112604.4256426394
11400.0,260964.79719478637
11500.0,137453.63548250496
11600.0,103910.56768549979
11700.0,163089.49395512044
11800.0,141211.04603946768
11900.0,142131.27170945425
12000.0,143445.54057328962
12100.0,84261.31774593145
12200.0,121490.56931371242
12300.0,122571.20522300526
12400.0,37009.07476949692
12500.0,136901.11335340329
12600.0,112969.38880838081
12700.0,88521.16245801747
12800.0,114574.79280882701
12900.0,128554.07570516318
13000.0,77597.86916544288
13100.0,143502.9883895591
13200.0,105128.6225567311
13300.0,198725.0691363439
13400.0,66859.69600725174
13500.0,147821.61427879333
13600.0,40607.96793463826
13700.0,68225.19224824384
13800.0,82349.15906137228
13900.0,96943.5163038969
14000.0,41840.04062843323
14100.0,56213.0189037323
14200.0,99022.59130099416
14300.0,99671.50660592318
14400.0,71789.2617623508
14500.0,28903.19938850403
14600.0,87292.65309017897
14700.0,73304.0944225192
14800.0,88569.30468320847
14900.0,59495.55483007431
15000.0,179451.8743571639
15100.0,120361.2057730034
15200.0,121076.41373062134
15300.0,91479.60462236404
15400.0,61328.52724407613
15500.0,61847.25543868542
15600.0,46625.53223526478
15700.0,62436.52056694031
15800.0,47229.95291900635
15900.0,15829.623264312744
16000.0,95807.3893148452
16100.0,48216.85820347071
16200.0,80663.3185275197
16300.0,65046.66618394852
16400.0,16356.227875471115
16500.0,32914.17597961426
16600.0,99299.85565212369
16700.0,50026.279682934284
16800.0,50303.61965560913
16900.0,50547.147020071745
17100.0,51199.46203529835
17200.0,17191.415954589844
17300.0,34495.966280296445
17400.0,104125.4697419554
17500.0,52379.496755599976
17600.0,17598.367032170296
17700.0,35337.952921807766
17800.0,35488.53103892505
17900.0,35722.330568909645
18000.0,17955.506408929825
18200.0,54110.4632009058
18300.0,36475.51676082611
18400.0,36682.59010523558
18500.0,18461.865728616714
18700.0,37222.85990780592
18800.0,18701.61100167036
18900.0,37636.74745117128
19200.0,38292.58664608002
19500.0,19411.45718483627
19700.0,19618.029923669994
19900.0,19837.325188189745
20000.0,19989.260480992496
20200.0,40324.17171484232
20300.0,20296.862113952637
20400.0,20345.702565789223
20500.0,20471.560855031013
20600.0,55828.558999029156
20700.0,20678.935351915658
20800.0,41537.867774009705
20900.0,20804.795700073242
21100.0,21036.915810883045
21500.0,42900.49600541592
21700.0,43328.72141696513
21800.0,43435.58455264196
21900.0,109206.72108440101
22000.0,21913.81124687195
22100.0,22051.927805170417
22300.0,22277.506958007812
23200.0,23133.489212036133
23300.0,93120.39097571373
23600.0,23578.27901688218
23800.0,23751.01058101654
24000.0,23910.49688220024
24100.0,72107.89982073754
24300.0,48541.926608622074
24400.0,24386.383708000183
24500.0,24439.617141246796
25100.0,25030.26998823881
25200.0,50304.18882382661
25300.0,50427.92779445648
25500.0,25403.68844872713
26000.0,25964.07631328702
26100.0,26089.672451734543
26200.0,26138.957555770874
26400.0,26340.75544217229
26700.0,26645.230575561523
27000.0,26920.19017791748
27100.0,27025.307540655136
27200.0,27153.901561185718
27300.0,51786.389851950546
27500.0,54924.27526246756
27900.0,27893.621834158897
28000.0,27914.14344958961
28300.0,28285.035992227495
28700.0,28694.71625852585
28800.0,28775.363060951233
29600.0,29590.541729927063
29700.0,29691.651843070984
29800.0,29704.695313841105
30200.0,30158.633575230837
30400.0,30312.533673286438
31400.0,31385.11925703287
32000.0,31949.640187561512
32100.0,32024.770446188748
32200.0,32183.24077141285
32500.0,32452.248800598085
34800.0,34782.06319618225
35200.0,35156.34073013067
35500.0,35481.27087879181
36200.0,36119.068623006344
36400.0,36308.96279144287
36900.0,36862.396391391754
37500.0,37432.98969864845
40000.0,79889.44602425396
40100.0,80048.53831338882
40200.0,40100.71490955353
40300.0,40248.25572036207
40900.0,40830.73171532154
41700.0,41666.80764198303
42600.0,42509.87020766735
44300.0,44281.18297481537
45300.0,45207.10905957222
46100.0,46039.705538749695
46600.0,46558.825474739075
46700.0,46650.533575713634
48100.0,48058.47735595703
50300.0,50275.898933410645
50500.0,50425.76675835252
51000.0,50967.395431518555
51100.0,51035.6630859375
51300.0,51281.5077624917
54100.0,54017.646927535534
55000.0,54950.39002162218
55300.0,55256.35061645508
59200.0,59164.89488661289
60800.0,60718.22155070305
60900.0,60855.18762883544
63000.0,62968.444922566414
64600.0,64508.32996368408
66200.0,66148.48220717907
68800.0,68718.1107569933
71000.0,70922.67512702942
71200.0,71185.30418205261
73100.0,73076.32671070099
76300.0,76258.52372378111
80600.0,80528.96373617649
82000.0,81914.87271261215
97500.0,97426.96269607544
100000.0,99922.45166015625
105800.0,105773.77363097668
183200.0,183191.1640625
