Bin,PopulationSum
-10800.0,-4870.588235294118
-6600.0,-1811.7647058823532
-6400.0,-1781.9607843137255
-5200.0,-917.6470588235295
-5000.0,-294.11764705882354
-3000.0,-776.4705882352941
-2800.0,-417.2549019607843
-2500.0,-265.0833014912465
-2400.0,-630.5882352941177
-2200.0,-155.2941176470588
-1800.0,-84.70588235294117
-1600.0,-163.13725490196077
-1300.0,-60.31243549561968
-1200.0,-117.64705882352942
-1100.0,-65.88096053892491
-1000.0,-113.72549019607844
-600.0,-25.88235294117647
-400.0,-6.2745098039215685
-300.0,-5.238743187399471
0.0,0.0
100.0,6974941.411582867
200.0,6749429.499266843
300.0,5076911.501551946
400.0,3778991.747820579
500.0,2930681.515161087
600.0,2314472.681458352
700.0,1866901.643667631
800.0,1607569.2416700057
900.0,1357683.6305395267
1000.0,1131878.7186774167
1100.0,988519.2411140355
1200.0,897760.29222936
1300.0,870863.5869070855
1400.0,721081.3494580594
1500.0,718562.3039939388
1600.0,633193.2275655655
1700.0,594605.1655923653
1800.0,570520.2003933773
1900.0,442148.7705132069
2000.0,472082.74728560494
2100.0,447092.1266115076
2200.0,413638.52873543533
2300.0,362804.48803775094
2400.0,442250.32313948986
2500.0,376553.7857329535
2600.0,358365.65401059727
2700.0,343057.7180648518
2800.0,283624.9797452709
2900.0,281446.5618866859
3000.0,322942.82034187176
3100.0,285258.04520108725
3200.0,284077.1646894709
3300.0,316205.9197703949
3400.0,298045.1898408523
3500.0,298892.401999478
3600.0,315697.0139651876
3700.0,243778.10199749144
3800.0,257371.55857545097
3900.0,251124.88330007307
4000.0,272171.86255802494
4100.0,217937.77519462223
4200.0,214770.42431127588
4300.0,187003.73091792478
4400.0,217285.44783657696
4500.0,217898.3060970733
4600.0,173098.80236983806
4700.0,153542.447151931
4800.0,186990.6849723279
4900.0,202188.0590278218
5000.0,143599.81180565618
5100.0,211615.69056183688
5200.0,204826.62566458565
5300.0,146811.38163999002
5400.0,234146.83512133037
5500.0,206770.16047427902
5600.0,155398.82141085528
5700.0,203367.44721626304
5800.0,171555.4494348
5900.0,181418.01049187314
6000.0,148828.03578172997
6100.0,169494.70456979098
6200.0,165587.84687022463
6300.0,156403.5608675601
6400.0,132872.58785129146
6500.0,167548.43571322644
6600.0,91601.07496700436
6700.0,128806.76371674382
6800.0,128062.42826036038
6900.0,102793.736879142
7000.0,97361.3866606243
7100.0,162030.45706154034
7200.0,64447.01554043032
7300.0,105885.67770629785
7400.0,139638.76405873336
