system:index,Bin,GridcellCount,PopulationSum,.geo
0,0.0,1.5891312E7,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,4356139.0,4.268554161389808E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,200.0,117217.0,1.6213880517005954E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,300.0,44357.0,1.0699360572184183E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400.0,23909.0,8160283.415040211,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,500.0,15426.0,6800882.958934591,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,600.0,11375.0,6138383.277163789,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,700.0,8928.0,5696603.325621343,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,800.0,7373.0,5448589.507909296,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,900.0,6212.0,5195319.289939465,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1000.0,5194.0,4858490.351192064,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1100.0,4708.0,4864313.3575449325,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1200.0,4217.0,4787548.493660827,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1300.0,3828.0,4733587.099638465,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1400.0,3514.0,4678504.958955149,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1500.0,3175.0,4550459.463100435,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1600.0,2833.0,4342869.161113142,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1700.0,2680.0,4365996.775613369,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1800.0,2335.0,4039809.8661618764,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1900.0,2371.0,4321099.6696649855,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2000.0,2113.0,4085494.27133294,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2100.0,1947.0,3953461.5385968545,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2200.0,1793.0,3817698.6362317363,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2300.0,1707.0,3794739.325884868,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2400.0,1594.0,3713677.5444881916,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2500.0,1468.0,3556546.1266446807,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2600.0,1455.0,3669608.1602995787,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2700.0,1311.0,3442901.3415606287,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2800.0,1277.0,3471275.2542096814,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2900.0,1257.0,3547606.755090528,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,3000.0,1088.0,3178661.881857151,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,3100.0,975.0,2952186.801677114,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,3200.0,1006.0,3138237.348945405,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,3300.0,961.0,3103125.47516246,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,3400.0,881.0,2916009.984895185,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,3500.0,885.0,3028577.4075984103,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,3600.0,827.0,2911356.9863188835,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,3700.0,755.0,2727128.129618076,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,3800.0,679.0,2521954.022502117,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,3900.0,698.0,2666571.0497649806,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,4000.0,654.0,2562267.076095033,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,4100.0,613.0,2466582.5176954675,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,4200.0,574.0,2363721.669352594,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,4300.0,563.0,2385311.027387338,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,4400.0,548.0,2366175.4663959034,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,4500.0,504.0,2230290.962084155,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,4600.0,454.0,2052559.2287827588,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,4700.0,472.0,2185003.0698543563,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,4800.0,461.0,2169126.4362911135,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,4900.0,398.0,1916982.4458694742,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,5000.0,385.0,1890695.4116635635,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,5100.0,359.0,1805415.4998543211,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,5200.0,365.0,1863703.237807927,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,5300.0,325.0,1698096.1635305884,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,5400.0,342.0,1817280.0208282024,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,5500.0,372.0,2000508.4578286419,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,5600.0,299.0,1639904.4126995397,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,5700.0,312.0,1741651.6266269446,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,5800.0,313.0,1790184.4894376846,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,5900.0,292.0,1697210.1826565682,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,6000.0,278.0,1647515.5893865586,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,6100.0,252.0,1512085.1372124634,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,6200.0,246.0,1496137.5498781009,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,6300.0,259.0,1609771.3439630114,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,6400.0,257.0,1620780.3069818644,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,6500.0,259.0,1655241.5618120378,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,6600.0,244.0,1590050.9756333642,"{""type"":""MultiPoint"",""coordinates"":[]}"
