system:index,Bin,GridcellCount,PopulationSum,.geo
0,0.0,1.7945986E7,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,5759774.0,7.445574899643756E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,200.0,274543.0,3.822959389753451E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,300.0,107432.0,2.601216576581925E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400.0,57257.0,1.963225724351809E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,500.0,35666.0,1.5795050273945116E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,600.0,24187.0,1.3121848576143578E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,700.0,17817.0,1.1439006185304297E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,800.0,13542.0,1.0031589214736974E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,900.0,10780.0,9052567.975332731,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1000.0,8674.0,8157659.830608588,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1100.0,7154.0,7436769.336751286,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1200.0,6080.0,6924148.459703293,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1300.0,5188.0,6410297.975786182,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1400.0,4459.0,5949896.403985925,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1500.0,3951.0,5658453.841666809,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1600.0,3464.0,5314657.514689978,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1700.0,3209.0,5245261.607862079,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1800.0,2789.0,4843010.550389562,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1900.0,2628.0,4803541.664121267,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2000.0,2428.0,4682687.379229163,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2100.0,2137.0,4331804.820568012,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2200.0,1921.0,4088025.2922887444,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2300.0,1809.0,4023814.976764293,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2400.0,1706.0,3969265.5496474607,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2500.0,1526.0,3698656.127549975,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2600.0,1486.0,3751972.0819382532,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2700.0,1343.0,3526563.2864311654,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2800.0,1246.0,3407628.429280644,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2900.0,1178.0,3320890.737329613,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,3000.0,1102.0,3204243.507632066,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,3100.0,1032.0,3118740.35026872,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,3200.0,959.0,2986415.188895352,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,3300.0,909.0,2920264.698476087,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,3400.0,950.0,3161814.160481579,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,3500.0,898.0,3063699.229793195,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,3600.0,814.0,2861559.6787226866,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,3700.0,806.0,2918232.027813322,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,3800.0,725.0,2699835.4631657894,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,3900.0,711.0,2713705.499270101,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,4000.0,660.0,2597121.236094484,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,4100.0,655.0,2640144.9651722293,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,4200.0,679.0,2790175.0181429926,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,4300.0,585.0,2458514.7800213685,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,4400.0,521.0,2252517.4943803977,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,4500.0,560.0,2462156.0994996536,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,4600.0,535.0,2433456.6131566097,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,4700.0,516.0,2379684.6508516218,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,4800.0,431.0,2040789.9373240494,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,4900.0,449.0,2158102.277605327,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,5000.0,452.0,2206525.8257198725,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,5100.0,412.0,2071832.2424507895,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,5200.0,375.0,1917175.4796952668,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,5300.0,375.0,1930565.0484048862,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,5400.0,354.0,1880728.6434609643,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,5500.0,336.0,1825589.3910203578,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,5600.0,346.0,1904129.0209184857,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,5700.0,343.0,1920009.7268801145,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,5800.0,326.0,1851264.1662227726,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,5900.0,338.0,1949422.480820472,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,6000.0,335.0,1963931.7476004888,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,6100.0,283.0,1693674.373701276,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,6200.0,312.0,1898077.6869082754,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,6300.0,311.0,1926546.0308920396,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,6400.0,277.0,1740520.460768222,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,6500.0,252.0,1615631.0397889859,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,6600.0,240.0,1556409.8136194067,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,6700.0,225.0,1484818.9115550576,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,6800.0,241.0,1603253.21939427,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,6900.0,242.0,1643745.300857371,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,7000.0,218.0,1514025.073282593,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,7100.0,233.0,1619037.1181022336,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,7200.0,195.0,1381721.0078262172,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,7300.0,209.0,1509751.969341211,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,7400.0,175.0,1287386.4513172521,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,7500.0,193.0,1431335.4098547308,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,7600.0,189.0,1410361.2218195745,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,7700.0,147.0,1117245.191053628,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,7800.0,170.0,1296316.638821473,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,7900.0,162.0,1265470.3492769422,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,8000.0,157.0,1241891.80867195,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,8100.0,157.0,1252748.5204338818,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,8200.0,143.0,1158876.0241938569,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,8300.0,153.0,1258785.4505393857,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,8400.0,138.0,1152100.7698615494,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,8500.0,143.0,1203818.7742430498,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,8600.0,114.0,957222.4735009156,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,8700.0,146.0,1256691.6688314434,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,8800.0,114.0,995597.1668206048,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,8900.0,107.0,940962.2973344122,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,9000.0,114.0,1005440.8627230295,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,9100.0,120.0,1077249.5732368818,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,9200.0,127.0,1154546.9798405264,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,9300.0,116.0,1066682.0682517258,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,9400.0,110.0,1025930.9428482829,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,9500.0,105.0,991750.1519806832,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,9600.0,105.0,992759.9074168811,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,9700.0,103.0,994211.0903600187,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,9800.0,90.0,875490.8148129561,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,9900.0,100.0,974534.4905520447,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,10000.0,97.0,934700.9624846614,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,10100.0,93.0,913755.2077761388,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,10200.0,95.0,962143.6477803952,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,10300.0,79.0,808972.4174598589,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,10400.0,102.0,1045554.9293042327,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,10500.0,75.0,783621.4954285064,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,10600.0,88.0,928384.1774801131,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,10700.0,63.0,663014.9476036096,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,10800.0,61.0,655438.1091920808,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,10900.0,88.0,943222.8437015826,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,11000.0,58.0,630567.9887543144,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,11100.0,82.0,904943.7721780465,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,11200.0,62.0,684239.7168748766,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,11300.0,80.0,900005.7527227327,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,11400.0,85.0,964738.9754479628,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,11500.0,45.0,511915.16462905286,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,11600.0,59.0,669182.8457677122,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,11700.0,65.0,755610.2878238726,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,11800.0,57.0,663423.2556325023,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,11900.0,65.0,757213.0579325581,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,12000.0,72.0,860505.8005779795,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,12100.0,58.0,691264.2261897607,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,12200.0,64.0,777546.6898172107,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,12300.0,46.0,563674.5507538877,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,12400.0,56.0,669085.210877246,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,12500.0,47.0,582189.4953257531,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,12600.0,51.0,639595.1278885017,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,12700.0,59.0,744566.1702312783,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,12800.0,35.0,440960.4406942858,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,12900.0,52.0,647324.1367998015,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,13000.0,36.0,465006.12704684434,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,13100.0,51.0,665386.9163206867,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,13200.0,43.0,561794.3531886393,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,13300.0,39.0,511651.3949739842,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,13400.0,38.0,507270.79691868834,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,13500.0,37.0,496142.34693275177,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,13600.0,39.0,521792.9154403804,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,13700.0,34.0,447534.09280802734,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,13800.0,36.0,495155.71686845017,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,13900.0,38.0,521288.2352466614,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,14000.0,31.0,432157.68413466215,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,14100.0,25.0,351202.0672910642,"{""type"":""MultiPoint"",""coordinates"":[]}"
