system:index,Bin,GridcellCount,PopulationSum,.geo
0,0.0,1.4894563E7,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,4121928.0,4.514581311546093E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,200.0,135494.0,1.8770576007316805E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,300.0,57576.0,1.3898254266822647E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400.0,35158.0,1.20162021636461E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,500.0,25508.0,1.1257556301869547E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,600.0,19746.0,1.0695544130919835E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,700.0,16429.0,1.0524458919665895E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,800.0,13956.0,1.0330398550457235E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,900.0,12154.0,1.0218234353454238E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1000.0,10527.0,9898291.95188335,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1100.0,9390.0,9775122.856976178,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1200.0,8367.0,9532071.767170336,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1300.0,7539.0,9347158.73770392,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1400.0,6710.0,8982127.02505394,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1500.0,5941.0,8541062.335391326,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1600.0,5203.0,8000063.434279948,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1700.0,4737.0,7757879.859852862,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1800.0,4187.0,7261849.454885728,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1900.0,3736.0,6859748.632121883,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2000.0,3358.0,6512452.79435986,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2100.0,3033.0,6176965.176983984,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2200.0,2671.0,5698866.748958037,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2300.0,2488.0,5564621.00860567,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2400.0,2149.0,5012655.103117609,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2500.0,1993.0,4850779.725617096,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2600.0,1695.0,4290729.37768526,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2700.0,1499.0,3938706.3835025816,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2800.0,1369.0,3735796.2344620335,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2900.0,1211.0,3428474.2012957465,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,3000.0,1111.0,3250983.9130942635,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,3100.0,1003.0,3027620.3145072884,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,3200.0,923.0,2877091.7548232526,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,3300.0,777.0,2498711.918369676,"{""type"":""MultiPoint"",""coordinates"":[]}"
