system:index,Bin,GridcellCount,PopulationSum,.geo
0,0.0,9580008.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,940147.0,1.4960534267541887E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,200.0,85377.0,1.2048715031319413E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,300.0,40125.0,9749272.656743435,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400.0,23979.0,8223772.555380075,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,500.0,16388.0,7263546.212007815,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,600.0,12061.0,6543864.989959847,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,700.0,9385.0,6013923.12005649,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,800.0,7480.0,5529056.783168124,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,900.0,6087.0,5110654.483425537,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1000.0,5075.0,4753160.942340486,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1100.0,4363.0,4520050.141834114,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1200.0,3866.0,4379643.655607245,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1300.0,3312.0,4073558.744308624,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1400.0,2954.0,3922516.5615969985,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1500.0,2579.0,3692710.8230144046,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1600.0,2461.0,3766861.619081283,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1700.0,2177.0,3544149.5994279645,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1800.0,1975.0,3415999.0209436156,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1900.0,1887.0,3452260.044892528,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2000.0,1811.0,3481084.774528955,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2100.0,1627.0,3281005.7551263096,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2200.0,1529.0,3247964.534712936,"{""type"":""MultiPoint"",""coordinates"":[]}"
