bin1980,bin2020,pop2020_sum,pixel_count
0.0,0.0,0.0,17670921.0
0.0,1000.0,44046309.0,363057.0
0.0,2000.0,5017622.0,3854.0
0.0,3000.0,1487085.0,613.0
0.0,4000.0,968864.0,283.0
0.0,5000.0,648267.0,146.0
0.0,6000.0,501098.0,92.0
0.0,7000.0,403125.0,62.0
0.0,8000.0,278593.0,38.0
0.0,9000.0,297486.0,35.0
0.0,10000.0,133171.0,14.0
0.0,11000.0,262791.0,25.0
0.0,12000.0,171802.0,16.0
0.0,13000.0,238395.0,19.0
0.0,14000.0,135007.0,10.0
0.0,15000.0,85637.0,6.0
0.0,16000.0,62708.0,4.0
0.0,17000.0,66340.0,4.0
0.0,18000.0,52153.0,3.0
0.0,19000.0,93065.0,5.0
0.0,20000.0,19683.0,1.0
0.0,21000.0,61109.0,3.0
0.0,22000.0,64806.0,3.0
0.0,23000.0,89361.0,4.0
0.0,25000.0,48850.0,2.0
0.0,26000.0,127155.0,5.0
0.0,27000.0,79448.0,3.0
0.0,30000.0,59081.0,2.0
0.0,31000.0,576718.0,13.0
1000.0,0.0,0.0,77.0
1000.0,1000.0,397933291.0,6131653.0
1000.0,2000.0,92643765.0,68504.0
1000.0,3000.0,43336886.0,18062.0
1000.0,4000.0,26304374.0,7705.0
1000.0,5000.0,18322009.0,4146.0
1000.0,6000.0,14177919.0,2613.0
1000.0,7000.0,11102936.0,1726.0
1000.0,8000.0,9115458.0,1227.0
1000.0,9000.0,7312319.0,870.0
1000.0,10000.0,6145753.0,657.0
1000.0,11000.0,5266477.0,505.0
1000.0,12000.0,3987816.0,349.0
1000.0,13000.0,3318489.0,266.0
1000.0,14000.0,2835034.0,211.0
1000.0,15000.0,2483156.0,172.0
1000.0,16000.0,1827234.0,119.0
1000.0,17000.0,1902147.0,116.0
1000.0,18000.0,1680187.0,96.0
1000.0,19000.0,1365360.0,74.0
1000.0,20000.0,1184959.0,61.0
1000.0,21000.0,837773.0,41.0
1000.0,22000.0,753017.0,37.0
1000.0,23000.0,625802.0,28.0
1000.0,24000.0,724875.0,31.0
1000.0,25000.0,366390.0,15.0
1000.0,26000.0,713837.0,30.0
1000.0,27000.0,477198.0,18.0
1000.0,28000.0,548393.0,21.0
1000.0,29000.0,455244.0,16.0
1000.0,30000.0,322886.0,11.0
1000.0,31000.0,6561232.0,159.0
2000.0,1000.0,1655801.0,2693.0
2000.0,2000.0,10141146.0,6674.0
2000.0,3000.0,17289074.0,7051.0
2000.0,4000.0,16831871.0,4911.0
2000.0,5000.0,12294540.0,2784.0
2000.0,6000.0,9549722.0,1758.0
2000.0,7000.0,7096469.0,1111.0
2000.0,8000.0,5776931.0,776.0
2000.0,9000.0,4941522.0,585.0
2000.0,10000.0,3991619.0,424.0
2000.0,11000.0,3137025.0,302.0
2000.0,12000.0,2315450.0,203.0
2000.0,13000.0,2081417.0,167.0
2000.0,14000.0,1536238.0,114.0
2000.0,15000.0,1637581.0,113.0
2000.0,16000.0,1080678.0,72.0
2000.0,17000.0,957201.0,58.0
2000.0,18000.0,1010560.0,58.0
2000.0,19000.0,755278.0,41.0
2000.0,20000.0,449287.0,23.0
2000.0,21000.0,472830.0,24.0
2000.0,22000.0,587838.0,28.0
2000.0,23000.0,245424.0,11.0
2000.0,24000.0,259608.0,11.0
2000.0,25000.0,270103.0,11.0
2000.0,26000.0,280553.0,11.0
2000.0,27000.0,211207.0,8.0
2000.0,28000.0,110023.0,4.0
2000.0,29000.0,142365.0,5.0
2000.0,30000.0,87898.0,3.0
2000.0,31000.0,1493432.0,40.0
3000.0,1000.0,161887.0,273.0
3000.0,2000.0,1075939.0,690.0
3000.0,3000.0,3454534.0,1362.0
3000.0,4000.0,6394558.0,1846.0
3000.0,5000.0,7949856.0,1792.0
3000.0,6000.0,7674304.0,1421.0
3000.0,7000.0,6374535.0,991.0
3000.0,8000.0,5044926.0,684.0
3000.0,9000.0,4921115.0,590.0
3000.0,10000.0,4197767.0,446.0
3000.0,11000.0,3487834.0,335.0
3000.0,12000.0,2792929.0,245.0
3000.0,13000.0,2333778.0,188.0
3000.0,14000.0,1522490.0,113.0
3000.0,15000.0,1331643.0,92.0
3000.0,16000.0,1440514.0,93.0
