bin2000,bin2020,pop2020_sum,pixel_count
0.0,0.0,0.0,9580110.0
0.0,1000.0,651583.0,18357.0
1000.0,1000.0,7.8736509E7,1126599.0
2000.0,1000.0,713889.0,965.0
3000.0,1000.0,51651.0,82.0
4000.0,1000.0,18140.0,29.0
5000.0,1000.0,6972.0,10.0
6000.0,1000.0,3420.0,5.0
7000.0,1000.0,1717.0,4.0
8000.0,1000.0,357.0,1.0
9000.0,1000.0,1992.0,4.0
10000.0,1000.0,1946.0,3.0
11000.0,1000.0,1717.0,3.0
12000.0,1000.0,2575.0,4.0
13000.0,1000.0,577.0,1.0
14000.0,1000.0,2600.0,3.0
17000.0,1000.0,876.0,1.0
0.0,2000.0,139398.0,104.0
1000.0,2000.0,2.1759114E7,16638.0
2000.0,2000.0,1.5324942E7,10007.0
3000.0,2000.0,824530.0,502.0
4000.0,2000.0,97828.0,61.0
5000.0,2000.0,49160.0,33.0
6000.0,2000.0,19678.0,13.0
7000.0,2000.0,9777.0,6.0
8000.0,2000.0,1552.0,1.0
9000.0,2000.0,6715.0,4.0
10000.0,2000.0,1504.0,1.0
12000.0,2000.0,4578.0,3.0
13000.0,2000.0,3855.0,2.0
17000.0,2000.0,1133.0,1.0
31000.0,2000.0,5053.0,3.0
0.0,3000.0,65950.0,28.0
1000.0,3000.0,6174113.0,2601.0
2000.0,3000.0,1.6267281E7,6824.0
3000.0,3000.0,7227061.0,2828.0
4000.0,3000.0,847286.0,330.0
5000.0,3000.0,135491.0,54.0
6000.0,3000.0,69439.0,28.0
7000.0,3000.0,38030.0,16.0
8000.0,3000.0,20289.0,8.0
9000.0,3000.0,7161.0,3.0
10000.0,3000.0,10007.0,4.0
11000.0,3000.0,17332.0,7.0
12000.0,3000.0,2604.0,1.0
14000.0,3000.0,5445.0,2.0
15000.0,3000.0,5220.0,2.0
16000.0,3000.0,2798.0,1.0
17000.0,3000.0,7691.0,3.0
24000.0,3000.0,2221.0,1.0
29000.0,3000.0,2025.0,1.0
31000.0,3000.0,7488.0,3.0
0.0,4000.0,71506.0,21.0
1000.0,4000.0,2930046.0,859.0
2000.0,4000.0,7402243.0,2196.0
3000.0,4000.0,1.0728247E7,3135.0
4000.0,4000.0,3899804.0,1104.0
5000.0,4000.0,764714.0,218.0
6000.0,4000.0,283904.0,79.0
7000.0,4000.0,53675.0,15.0
8000.0,4000.0,42018.0,12.0
9000.0,4000.0,23384.0,7.0
10000.0,4000.0,21308.0,6.0
11000.0,4000.0,13642.0,4.0
12000.0,4000.0,7599.0,2.0
13000.0,4000.0,3107.0,1.0
14000.0,4000.0,3125.0,1.0
15000.0,4000.0,3816.0,1.0
16000.0,4000.0,3820.0,1.0
21000.0,4000.0,3098.0,1.0
0.0,5000.0,39697.0,9.0
1000.0,5000.0,1585998.0,359.0
2000.0,5000.0,3767740.0,858.0
3000.0,5000.0,6726493.0,1544.0
4000.0,5000.0,8041453.0,1811.0
5000.0,5000.0,2422687.0,535.0
6000.0,5000.0,752820.0,166.0
7000.0,5000.0,314004.0,69.0
8000.0,5000.0,107010.0,23.0
9000.0,5000.0,41498.0,9.0
10000.0,5000.0,31331.0,7.0
11000.0,5000.0,8672.0,2.0
12000.0,5000.0,3248.0,1.0
13000.0,5000.0,18267.0,4.0
14000.0,5000.0,8737.0,2.0
15000.0,5000.0,4639.0,1.0
16000.0,5000.0,4756.0,1.0
18000.0,5000.0,4398.0,1.0
31000.0,5000.0,4615.0,1.0
0.0,6000.0,33004.0,6.0
1000.0,6000.0,916042.0,169.0
2000.0,6000.0,2136909.0,395.0
3000.0,6000.0,3894226.0,724.0
4000.0,6000.0,5747196.0,1066.0
5000.0,6000.0,5542481.0,1013.0
6000.0,6000.0,1889024.0,347.0
7000.0,6000.0,522328.0,95.0
8000.0,6000.0,252767.0,47.0
9000.0,6000.0,116797.0,21.0
10000.0,6000.0,84458.0,15.0
11000.0,6000.0,27625.0,5.0
12000.0,6000.0,21930.0,4.0
13000.0,6000.0,5384.0,1.0
15000.0,6000.0,5368.0,1.0
17000.0,6000.0,10917.0,3.0
18000.0,6000.0,5724.0,1.0
19000.0,6000.0,5741.0,1.0
21000.0,6000.0,5368.0,1.0
0.0,7000.0,39309.0,6.0
1000.0,7000.0,624260.0,97.0
2000.0,7000.0,1169825.0,183.0
3000.0,7000.0,2650679.0,415.0
4000.0,7000.0,3646891.0,573.0
5000.0,7000.0,5135911.0,801.0
6000.0,7000.0,3606099.0,557.0
7000.0,7000.0,1499648.0,231.0
8000.0,7000.0,417541.0,64.0
9000.0,7000.0,220309.0,34.0
10000.0,7000.0,148574.0,23.0
11000.0,7000.0,128175.0,20.0
