bin1980,bin2020,pop2020_sum,pixel_count
0.0,0.0,1.52463664E8,1.9333633E7
1000.0,0.0,757912.0,847.0
2000.0,0.0,9289.0,11.0
0.0,1000.0,5.2019542E7,39046.0
1000.0,1000.0,3.2124446E7,21051.0
2000.0,1000.0,867096.0,486.0
3000.0,1000.0,16258.0,10.0
4000.0,1000.0,5157.0,3.0
0.0,2000.0,1.1700206E7,5008.0
1000.0,2000.0,3.2332028E7,13496.0
2000.0,2000.0,8846307.0,3493.0
3000.0,2000.0,697177.0,264.0
4000.0,2000.0,42186.0,15.0
0.0,3000.0,2994677.0,895.0
1000.0,3000.0,1.3063151E7,3875.0
2000.0,3000.0,1.011079E7,2986.0
3000.0,3000.0,2688630.0,753.0
4000.0,3000.0,286046.0,81.0
5000.0,3000.0,49866.0,14.0
6000.0,3000.0,7886.0,2.0
0.0,4000.0,862609.0,198.0
1000.0,4000.0,3123758.0,724.0
2000.0,4000.0,5261916.0,1191.0
3000.0,4000.0,5394470.0,1233.0
4000.0,4000.0,1027282.0,230.0
5000.0,4000.0,157074.0,35.0
6000.0,4000.0,29013.0,7.0
7000.0,4000.0,9370.0,2.0
0.0,5000.0,346890.0,65.0
1000.0,5000.0,567196.0,107.0
2000.0,5000.0,2246969.0,422.0
3000.0,5000.0,1710531.0,318.0
4000.0,5000.0,3153301.0,584.0
5000.0,5000.0,571545.0,100.0
6000.0,5000.0,33196.0,6.0
7000.0,5000.0,5992.0,1.0
0.0,6000.0,44522.0,7.0
1000.0,6000.0,292824.0,46.0
2000.0,6000.0,431092.0,68.0
3000.0,6000.0,1412604.0,222.0
4000.0,6000.0,1172844.0,186.0
5000.0,6000.0,1850143.0,288.0
6000.0,6000.0,257202.0,39.0
7000.0,6000.0,12551.0,2.0
9000.0,6000.0,6165.0,1.0
0.0,7000.0,14949.0,2.0
1000.0,7000.0,119000.0,16.0
2000.0,7000.0,91433.0,13.0
3000.0,7000.0,526443.0,72.0
4000.0,7000.0,385150.0,52.0
5000.0,7000.0,1159142.0,158.0
6000.0,7000.0,1262363.0,170.0
7000.0,7000.0,221977.0,29.0
8000.0,7000.0,7599.0,1.0
0.0,8000.0,8085.0,1.0
1000.0,8000.0,58060.0,7.0
2000.0,8000.0,16059.0,2.0
3000.0,8000.0,107224.0,13.0
4000.0,8000.0,589546.0,71.0
5000.0,8000.0,187127.0,22.0
6000.0,8000.0,1116087.0,134.0
7000.0,8000.0,814789.0,97.0
8000.0,8000.0,123804.0,14.0
1000.0,9000.0,28525.0,3.0
2000.0,9000.0,9615.0,1.0
3000.0,9000.0,9402.0,1.0
4000.0,9000.0,208192.0,24.0
5000.0,9000.0,236377.0,25.0
6000.0,9000.0,110869.0,12.0
7000.0,9000.0,951924.0,101.0
8000.0,9000.0,736111.0,79.0
4000.0,10000.0,30213.0,3.0
5000.0,10000.0,195221.0,19.0
6000.0,10000.0,105002.0,10.0
7000.0,10000.0,223353.0,22.0
8000.0,10000.0,675484.0,66.0
9000.0,10000.0,377879.0,36.0
10000.0,10000.0,10882.0,1.0
2000.0,11000.0,11266.0,1.0
5000.0,11000.0,91704.0,8.0
6000.0,11000.0,194158.0,17.0
7000.0,11000.0,11324.0,1.0
8000.0,11000.0,169508.0,15.0
9000.0,11000.0,314506.0,29.0
10000.0,11000.0,227715.0,20.0
11000.0,11000.0,31859.0,3.0
2000.0,12000.0,12086.0,1.0
4000.0,12000.0,12112.0,1.0
5000.0,12000.0,12103.0,1.0
6000.0,12000.0,87174.0,7.0
7000.0,12000.0,62523.0,5.0
9000.0,12000.0,276720.0,23.0
10000.0,12000.0,286136.0,24.0
11000.0,12000.0,217753.0,18.0
3000.0,13000.0,13224.0,1.0
7000.0,13000.0,53075.0,4.0
8000.0,13000.0,40802.0,3.0
9000.0,13000.0,26976.0,2.0
10000.0,13000.0,216921.0,16.0
11000.0,13000.0,243774.0,19.0
12000.0,13000.0,91924.0,7.0
7000.0,14000.0,25871.0,2.0
8000.0,14000.0,43220.0,3.0
9000.0,14000.0,14482.0,1.0
11000.0,14000.0,173396.0,12.0
12000.0,14000.0,232939.0,16.0
13000.0,14000.0,42786.0,3.0
8000.0,15000.0,15073.0,1.0
9000.0,15000.0,31437.0,2.0
11000.0,15000.0,30160.0,2.0
