bin1980,bin2020,pop2020_sum,pixel_count
0.0,0.0,0.0,7888784.0
1000.0,0.0,0.0,1.0
0.0,1000.0,2.8437654E7,178909.0
1000.0,1000.0,1.97428544E8,2823796.0
2000.0,1000.0,837750.0,1410.0
3000.0,1000.0,83809.0,147.0
4000.0,1000.0,19343.0,40.0
5000.0,1000.0,7209.0,21.0
6000.0,1000.0,4866.0,14.0
7000.0,1000.0,1201.0,12.0
8000.0,1000.0,1058.0,7.0
9000.0,1000.0,593.0,4.0
10000.0,1000.0,510.0,4.0
11000.0,1000.0,381.0,3.0
12000.0,1000.0,265.0,2.0
13000.0,1000.0,1455.0,8.0
14000.0,1000.0,281.0,2.0
15000.0,1000.0,900.0,6.0
16000.0,1000.0,509.0,3.0
17000.0,1000.0,175.0,1.0
19000.0,1000.0,69.0,1.0
21000.0,1000.0,393.0,2.0
0.0,2000.0,3506347.0,2725.0
1000.0,2000.0,5.2055693E7,38249.0
2000.0,2000.0,4618219.0,3027.0
3000.0,2000.0,546146.0,349.0
4000.0,2000.0,112846.0,78.0
5000.0,2000.0,50745.0,33.0
6000.0,2000.0,19574.0,13.0
7000.0,2000.0,13640.0,9.0
8000.0,2000.0,4269.0,3.0
9000.0,2000.0,3573.0,2.0
10000.0,2000.0,1131.0,1.0
11000.0,2000.0,8503.0,5.0
12000.0,2000.0,1625.0,1.0
13000.0,2000.0,1839.0,1.0
0.0,3000.0,857543.0,356.0
1000.0,3000.0,2.5897616E7,10757.0
2000.0,3000.0,8836750.0,3584.0
3000.0,3000.0,1718688.0,673.0
4000.0,3000.0,403356.0,158.0
5000.0,3000.0,136214.0,53.0
6000.0,3000.0,38001.0,15.0
7000.0,3000.0,24390.0,10.0
8000.0,3000.0,15565.0,6.0
9000.0,3000.0,10481.0,4.0
10000.0,3000.0,2267.0,1.0
12000.0,3000.0,5872.0,2.0
13000.0,3000.0,2203.0,1.0
16000.0,3000.0,2321.0,1.0
19000.0,3000.0,4780.0,2.0
0.0,4000.0,499603.0,145.0
1000.0,4000.0,1.6581788E7,4853.0
2000.0,4000.0,9214807.0,2685.0
3000.0,4000.0,3446444.0,991.0
4000.0,4000.0,1113756.0,316.0
5000.0,4000.0,430877.0,121.0
6000.0,4000.0,133646.0,38.0
7000.0,4000.0,53101.0,15.0
8000.0,4000.0,36585.0,10.0
9000.0,4000.0,13870.0,4.0
10000.0,4000.0,16768.0,5.0
11000.0,4000.0,13695.0,4.0
12000.0,4000.0,7063.0,2.0
13000.0,4000.0,3344.0,1.0
15000.0,4000.0,7084.0,2.0
16000.0,4000.0,3863.0,1.0
0.0,5000.0,361670.0,81.0
1000.0,5000.0,1.1907388E7,2687.0
2000.0,5000.0,7137485.0,1616.0
3000.0,5000.0,4682416.0,1053.0
4000.0,5000.0,2065724.0,461.0
5000.0,5000.0,776951.0,171.0
6000.0,5000.0,374350.0,82.0
7000.0,5000.0,144982.0,32.0
8000.0,5000.0,82546.0,18.0
9000.0,5000.0,22068.0,5.0
10000.0,5000.0,51792.0,11.0
12000.0,5000.0,14226.0,3.0
13000.0,5000.0,13274.0,3.0
14000.0,5000.0,9629.0,2.0
15000.0,5000.0,14616.0,3.0
19000.0,5000.0,4507.0,1.0
20000.0,5000.0,4546.0,1.0
22000.0,5000.0,4994.0,1.0
30000.0,5000.0,4505.0,1.0
0.0,6000.0,277521.0,51.0
1000.0,6000.0,9565023.0,1761.0
2000.0,6000.0,5378184.0,990.0
3000.0,6000.0,4561095.0,843.0
4000.0,6000.0,2787681.0,511.0
5000.0,6000.0,1356678.0,247.0
6000.0,6000.0,642320.0,120.0
7000.0,6000.0,313100.0,57.0
8000.0,6000.0,153383.0,27.0
9000.0,6000.0,55169.0,10.0
10000.0,6000.0,66637.0,12.0
11000.0,6000.0,28772.0,5.0
12000.0,6000.0,21298.0,4.0
13000.0,6000.0,11186.0,2.0
14000.0,6000.0,10932.0,2.0
15000.0,6000.0,16804.0,3.0
16000.0,6000.0,23094.0,4.0
0.0,7000.0,177758.0,27.0
1000.0,7000.0,7539365.0,1168.0
2000.0,7000.0,4019471.0,630.0
3000.0,7000.0,3615474.0,562.0
4000.0,7000.0,3050306.0,474.0
5000.0,7000.0,2106601.0,327.0
6000.0,7000.0,900873.0,138.0
7000.0,7000.0,419531.0,66.0
8000.0,7000.0,326467.0,50.0
9000.0,7000.0,183535.0,28.0
10000.0,7000.0,97777.0,15.0
11000.0,7000.0,52141.0,8.0
12000.0,7000.0,33159.0,5.0
13000.0,7000.0,18678.0,3.0
14000.0,7000.0,6038.0,1.0
15000.0,7000.0,19271.0,3.0
16000.0,7000.0,12845.0,2.0
17000.0,7000.0,6557.0,1.0
19000.0,7000.0,12329.0,2.0
20000.0,7000.0,12428.0,2.0
24000.0,7000.0,12345.0,2.0
0.0,8000.0,98644.0,14.0
1000.0,8000.0,6027708.0,812.0
2000.0,8000.0,3490428.0,469.0
3000.0,8000.0,2857297.0,387.0
4000.0,8000.0,2446443.0,328.0
5000.0,8000.0,2070517.0,279.0
6000.0,8000.0,1304746.0,174.0
7000.0,8000.0,684493.0,91.0
8000.0,8000.0,336180.0,45.0
9000.0,8000.0,173892.0,23.0
10000.0,8000.0,158395.0,21.0
11000.0,8000.0,107214.0,14.0
12000.0,8000.0,45736.0,6.0
13000.0,8000.0,22985.0,3.0
14000.0,8000.0,15837.0,2.0
15000.0,8000.0,38291.0,5.0
16000.0,8000.0,22440.0,3.0
17000.0,8000.0,21900.0,3.0
18000.0,8000.0,7042.0,1.0
19000.0,8000.0,7033.0,1.0
22000.0,8000.0,22448.0,3.0
25000.0,8000.0,7396.0,1.0
28000.0,8000.0,324.0,1.0
29000.0,8000.0,7579.0,1.0
0.0,9000.0,143944.0,17.0
1000.0,9000.0,4776912.0,568.0
2000.0,9000.0,2640801.0,312.0
3000.0,9000.0,2692413.0,321.0
4000.0,9000.0,2156729.0,257.0
5000.0,9000.0,1962121.0,232.0
6000.0,9000.0,1289566.0,155.0
7000.0,9000.0,876002.0,103.0
8000.0,9000.0,518022.0,61.0
9000.0,9000.0,351927.0,42.0
10000.0,9000.0,50798.0,6.0
11000.0,9000.0,126058.0,15.0
12000.0,9000.0,154875.0,18.0
13000.0,9000.0,17058.0,2.0
14000.0,9000.0,76196.0,9.0
15000.0,9000.0,50958.0,6.0
16000.0,9000.0,42696.0,5.0
18000.0,9000.0,8928.0,1.0
19000.0,9000.0,8764.0,1.0
21000.0,9000.0,8545.0,1.0
22000.0,9000.0,26052.0,3.0
24000.0,9000.0,8427.0,1.0
26000.0,9000.0,8028.0,1.0
28000.0,9000.0,8633.0,1.0
31000.0,9000.0,8864.0,1.0
0.0,10000.0,56818.0,6.0
1000.0,10000.0,4072976.0,436.0
2000.0,10000.0,2370122.0,251.0
3000.0,10000.0,2302646.0,244.0
4000.0,10000.0,2053423.0,220.0
5000.0,10000.0,1712266.0,180.0
6000.0,10000.0,1288579.0,137.0
7000.0,10000.0,1144704.0,122.0
8000.0,10000.0,600230.0,63.0
9000.0,10000.0,513799.0,55.0
10000.0,10000.0,284453.0,31.0
11000.0,10000.0,254130.0,27.0
12000.0,10000.0,95333.0,10.0
13000.0,10000.0,113493.0,12.0
14000.0,10000.0,48287.0,5.0
15000.0,10000.0,57233.0,6.0
16000.0,10000.0,47220.0,5.0
17000.0,10000.0,28941.0,3.0
18000.0,10000.0,9051.0,1.0
20000.0,10000.0,28828.0,3.0
31000.0,10000.0,19088.0,2.0
0.0,11000.0,83445.0,8.0
1000.0,11000.0,3682158.0,353.0
2000.0,11000.0,1982158.0,191.0
3000.0,11000.0,2031170.0,195.0
4000.0,11000.0,1861443.0,181.0
5000.0,11000.0,1411710.0,135.0
6000.0,11000.0,1253935.0,120.0
7000.0,11000.0,1048030.0,100.0
8000.0,11000.0,682455.0,65.0
9000.0,11000.0,509306.0,49.0
10000.0,11000.0,292276.0,29.0
11000.0,11000.0,157205.0,15.0
12000.0,11000.0,116097.0,11.0
13000.0,11000.0,106097.0,10.0
14000.0,11000.0,127754.0,12.0
15000.0,11000.0,10248.0,1.0
16000.0,11000.0,104782.0,10.0
17000.0,11000.0,72817.0,7.0
18000.0,11000.0,10732.0,1.0
19000.0,11000.0,31167.0,3.0
20000.0,11000.0,21008.0,2.0
21000.0,11000.0,21601.0,2.0
22000.0,11000.0,10610.0,1.0
29000.0,11000.0,10318.0,1.0
31000.0,11000.0,32150.0,3.0
0.0,12000.0,24946.0,3.0
1000.0,12000.0,2826924.0,247.0
2000.0,12000.0,1327472.0,117.0
3000.0,12000.0,1559061.0,136.0
4000.0,12000.0,1598744.0,140.0
5000.0,12000.0,1450427.0,128.0
6000.0,12000.0,1213539.0,107.0
7000.0,12000.0,922027.0,81.0
8000.0,12000.0,676951.0,59.0
9000.0,12000.0,566420.0,49.0
10000.0,12000.0,380653.0,33.0
11000.0,12000.0,254914.0,22.0
12000.0,12000.0,161909.0,14.0
13000.0,12000.0,137750.0,12.0
14000.0,12000.0,80430.0,7.0
15000.0,12000.0,104648.0,9.0
16000.0,12000.0,79907.0,7.0
17000.0,12000.0,46470.0,4.0
19000.0,12000.0,45928.0,4.0
20000.0,12000.0,23629.0,2.0
21000.0,12000.0,23439.0,2.0
22000.0,12000.0,11374.0,1.0
23000.0,12000.0,22800.0,2.0
24000.0,12000.0,11627.0,1.0
25000.0,12000.0,11829.0,1.0
31000.0,12000.0,56310.0,5.0
0.0,13000.0,74982.0,6.0
1000.0,13000.0,2368243.0,190.0
2000.0,13000.0,1460474.0,117.0
3000.0,13000.0,1571291.0,127.0
4000.0,13000.0,1130474.0,91.0
5000.0,13000.0,1180596.0,95.0
6000.0,13000.0,896522.0,72.0
7000.0,13000.0,942494.0,76.0
8000.0,13000.0,702645.0,58.0
9000.0,13000.0,548714.0,45.0
10000.0,13000.0,527710.0,42.0
11000.0,13000.0,418838.0,33.0
12000.0,13000.0,224515.0,18.0
13000.0,13000.0,137644.0,11.0
14000.0,13000.0,88204.0,8.0
15000.0,13000.0,112791.0,9.0
16000.0,13000.0,63194.0,5.0
17000.0,13000.0,37230.0,3.0
18000.0,13000.0,37909.0,3.0
19000.0,13000.0,12557.0,1.0
20000.0,13000.0,24989.0,2.0
21000.0,13000.0,12998.0,1.0
22000.0,13000.0,12329.0,1.0
25000.0,13000.0,12492.0,1.0
29000.0,13000.0,12384.0,1.0
31000.0,13000.0,38279.0,3.0
0.0,14000.0,27484.0,2.0
1000.0,14000.0,2043350.0,152.0
2000.0,14000.0,1023534.0,76.0
3000.0,14000.0,882939.0,65.0
4000.0,14000.0,1170702.0,87.0
5000.0,14000.0,1073240.0,80.0
6000.0,14000.0,959058.0,71.0
7000.0,14000.0,689598.0,52.0
8000.0,14000.0,685298.0,51.0
9000.0,14000.0,565496.0,42.0
10000.0,14000.0,490653.0,36.0
11000.0,14000.0,313554.0,23.0
12000.0,14000.0,268994.0,20.0
13000.0,14000.0,108417.0,8.0
14000.0,14000.0,82049.0,6.0
15000.0,14000.0,107856.0,8.0
16000.0,14000.0,81441.0,6.0
17000.0,14000.0,13799.0,1.0
18000.0,14000.0,80730.0,6.0
19000.0,14000.0,40378.0,3.0
21000.0,14000.0,26777.0,2.0
22000.0,14000.0,13723.0,1.0
23000.0,14000.0,13972.0,1.0
24000.0,14000.0,13258.0,1.0
25000.0,14000.0,13715.0,1.0
29000.0,14000.0,13412.0,1.0
31000.0,14000.0,40822.0,3.0
0.0,15000.0,29143.0,2.0
1000.0,15000.0,1916335.0,133.0
2000.0,15000.0,1144554.0,79.0
3000.0,15000.0,868018.0,60.0
4000.0,15000.0,811894.0,56.0
5000.0,15000.0,1012861.0,70.0
6000.0,15000.0,752180.0,53.0
7000.0,15000.0,809299.0,56.0
8000.0,15000.0,709932.0,49.0
9000.0,15000.0,622385.0,44.0
10000.0,15000.0,393325.0,27.0
11000.0,15000.0,318794.0,22.0
12000.0,15000.0,315239.0,22.0
13000.0,15000.0,175144.0,14.0
14000.0,15000.0,144879.0,10.0
15000.0,15000.0,73468.0,5.0
16000.0,15000.0,44298.0,3.0
17000.0,15000.0,58197.0,4.0
18000.0,15000.0,29478.0,2.0
19000.0,15000.0,14293.0,1.0
20000.0,15000.0,14453.0,1.0
21000.0,15000.0,28990.0,2.0
22000.0,15000.0,28615.0,2.0
23000.0,15000.0,14639.0,1.0
25000.0,15000.0,43589.0,3.0
26000.0,15000.0,14181.0,1.0
27000.0,15000.0,14716.0,1.0
28000.0,15000.0,14307.0,1.0
29000.0,15000.0,29245.0,2.0
