system:index,Bin,TotalCellCount,TotalPopulationSum,.geo
0,0.0,2078034.607843136,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,1684327.9098039225,5.115420503819348E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,200.0,366209.19215686264,5.246182592362172E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,300.0,185298.1176470587,4.545086468138884E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400.0,111184.59215686267,3.848303032281439E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,500.0,73099.537254902,3.2662171667956382E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,600.0,51635.239215686284,2.8273075587318588E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,700.0,37826.82745098041,2.449521101319685E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,800.0,28823.592156862745,2.1553018788389042E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,900.0,22363.796078431376,1.8964002103717286E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1000.0,17829.34117647059,1.690012959097714E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1100.0,14658.454901960786,1.5370752468722645E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1200.0,11985.176470588236,1.376427306236053E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1300.0,10225.243137254904,1.2764801438004663E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1400.0,8712.796078431373,1.1751516943299595E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1500.0,7392.701960784313,1.0706110052117992E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1600.0,6440.921568627452,9974897.405970056,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1700.0,5597.149019607844,9227684.361384386,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1800.0,4869.917647058823,8517405.390502417,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1900.0,4516.713725490196,8350667.223002031,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2000.0,3948.4352941176467,7698435.652146436,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2100.0,3518.329411764706,7208256.925369221,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2200.0,3171.7450980392155,6817765.002469534,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2300.0,2846.8274509803923,6403376.369487633,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2400.0,2654.3764705882354,6237665.860929013,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2500.0,2425.41568627451,5939202.423190745,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2600.0,2183.1450980392156,5564814.605104914,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2700.0,2073.1372549019607,5491754.47824191,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2800.0,1961.035294117647,5390477.018132064,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2900.0,1734.8078431372548,4944565.465286957,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,3000.0,1673.2549019607843,4936220.183192597,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,3100.0,1537.7686274509804,4687299.054639147,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,3200.0,1353.349019607843,4261869.116940596,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,3300.0,1355.2,4401927.421215005,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,3400.0,1239.8784313725491,4153830.731993501,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,3500.0,1174.098039215686,4050636.575828469,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,3600.0,1105.3686274509803,3923595.3507609367,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,3700.0,999.5098039215686,3647078.1323605804,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,3800.0,962.5607843137255,3607504.498976453,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,3900.0,941.0,3622567.1835864545,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,4000.0,845.7333333333333,3341529.241361704,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,4100.0,785.529411764706,3181007.595122377,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,4200.0,751.2705882352941,3117558.0029898193,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,4300.0,788.9176470588235,3352225.489905922,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,4400.0,685.556862745098,2981607.2940784246,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,4500.0,683.4823529411765,3042098.2649129615,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,4600.0,630.2901960784313,2867809.7229973366,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,4700.0,621.2470588235294,2888916.578980907,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,4800.0,619.2352941176471,2941176.935126321,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,4900.0,596.2549019607843,2890299.7266364726,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,5000.0,555.1411764705882,2748972.148938033,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,5100.0,509.7098039215686,2572726.6615296737,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,5200.0,539.3529411764706,2777249.1095647714,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,5300.0,498.6,2617874.2908830433,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,5400.0,466.7764705882353,2497333.4213990965,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,5500.0,452.11764705882354,2464018.064589731,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,5600.0,416.05882352941177,2309340.2387348334,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,5700.0,456.11764705882354,2576102.205179892,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,5800.0,411.24705882352947,2363802.220079666,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,5900.0,395.87450980392157,2316296.652770582,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,6000.0,383.686274509804,2282124.56038461,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,6100.0,350.1137254901961,2117824.5098231877,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,6200.0,391.1176470588236,2404889.5683269133,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,6300.0,366.2313725490196,2289122.3397307466,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,6400.0,318.8627450980392,2024495.6009443223,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,6500.0,342.96862745098036,2211848.779080521,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,6600.0,312.9843137254902,2049514.7225069655,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,6700.0,287.07843137254906,1909344.5398968884,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,6800.0,290.47450980392153,1961115.224001687,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,6900.0,249.8627450980392,1711267.3404299715,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,7000.0,257.91764705882355,1792367.8934859405,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,7100.0,242.22745098039215,1707114.4070987732,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,7200.0,275.83137254901965,1971390.765565774,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,7300.0,238.06666666666666,1725832.6465077216,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,7400.0,219.69803921568626,1614776.0940420886,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,7500.0,247.91764705882355,1846672.529615665,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,7600.0,225.30588235294118,1701767.4939249607,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,7700.0,221.1137254901961,1691487.1643663966,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,7800.0,218.05098039215687,1689527.07824988,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,7900.0,212.1764705882353,1665222.6387585187,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,8000.0,220.8078431372549,1755404.4243549365,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,8100.0,203.70588235294116,1640315.2442075065,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,8200.0,213.50980392156862,1739662.3816715586,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,8300.0,195.69411764705882,1614155.880598531,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,8400.0,200.90196078431373,1677917.3291693379,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,8500.0,183.22745098039215,1548408.9396975143,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,8600.0,185.62352941176468,1586935.8675830446,"{""type"":""MultiPoint"",""coordinates"":[]}"
