system:index,Bin,TotalCellCount,TotalPopulationSum,.geo
0,0.0,318714.937254902,266.61464403105134,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,174771.93333333338,4577688.643412802,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,200.0,22728.725490196077,3418683.5366388233,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,300.0,8888.756862745098,2331129.8108532308,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400.0,4485.992156862745,1675933.4591671135,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,500.0,2655.8156862745095,1289776.7619357377,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,600.0,1916.9607843137255,1135140.240268555,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,700.0,1413.2745098039215,990390.187229566,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,800.0,1038.7333333333333,848827.072874964,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,900.0,813.1764705882352,747805.5134903617,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1000.0,761.2274509803922,784012.2043699184,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1100.0,573.3254901960784,640976.2686247127,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1200.0,538.5529411764705,668668.5878998516,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1300.0,447.99607843137255,600915.6062695975,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1400.0,399.4901960784314,570030.0669303609,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1500.0,347.843137254902,538260.0046164618,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1600.0,302.7725490196078,499689.8259274843,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1700.0,261.25098039215686,464774.46605701436,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1800.0,261.4980392156863,486732.96546646976,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1900.0,204.0705882352941,400960.7841960877,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2000.0,186.76470588235293,387571.48092753335,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2100.0,188.40392156862745,411491.71461719606,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2200.0,166.19607843137254,375235.8450953397,"{""type"":""MultiPoint"",""coordinates"":[]}"
