system:index,Bin,TotalCellCount,TotalPopulationSum,.geo
0,0.0,9583130.137254901,1023224.5666131383,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,1007441.8784313723,3.5790016671235725E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,200.0,62407.137254901936,2.1660951048015486E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,300.0,25817.69411764706,1.6059983649137981E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400.0,14569.556862745098,1.3168396403547406E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,500.0,9406.400000000001,1.1218927213608213E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,600.0,6776.752941176471,9893463.497327153,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,700.0,5131.290196078431,8902228.911981469,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,800.0,4057.7176470588242,8205534.387907526,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,900.0,3408.3921568627457,7615278.066084462,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1000.0,2875.843137254902,7115143.645345728,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1100.0,2319.2941176470586,6428893.630257479,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1200.0,2045.61568627451,5914826.087040154,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1300.0,1800.2078431372547,5601813.50254582,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1400.0,1569.2039215686275,5332509.777877832,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1500.0,1504.1843137254903,5475088.698463528,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1600.0,1363.670588235294,5190067.393544097,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1700.0,1197.764705882353,4702243.833610728,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1800.0,1080.4745098039214,4557363.001487291,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1900.0,987.537254901961,4383231.085828524,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2000.0,899.878431372549,4184002.6431779144,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2100.0,835.3058823529411,3997476.6947749304,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2200.0,784.1098039215688,3847199.026486095,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2300.0,714.8470588235293,3760448.9284161166,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2400.0,685.3725490196078,3689069.0725370753,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2500.0,644.2627450980392,3563055.378698998,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2600.0,602.3725490196078,3485955.206261239,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2700.0,566.5254901960783,3317833.433530974,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2800.0,533.4823529411765,3205467.8560945364,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2900.0,484.9058823529411,3064669.4523413805,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,3000.0,438.2862745098039,2892799.5760130477,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,3100.0,442.0117647058824,2922042.0368143353,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,3200.0,425.7686274509803,3018912.9956565835,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,3300.0,410.878431372549,2933956.2664866676,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,3400.0,388.25490196078437,2764327.202909346,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,3500.0,381.09411764705885,2652283.8371582283,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,3600.0,354.62352941176465,2548920.490687387,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,3700.0,295.7882352941176,2198973.826698886,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,3800.0,304.58039215686273,2306807.5511019025,"{""type"":""MultiPoint"",""coordinates"":[]}"
