system:index,Bin,TotalCellCount,TotalPopulationSum,.geo
0,0.0,1.7956767074509785E7,2.234661239122088E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,5778276.239215686,2.0484214901524276E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,200.0,222749.1529411764,7.569574653328495E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,300.0,81903.85490196079,4.804213118411499E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400.0,42769.78039215685,3.514036933987799E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,500.0,25661.396078431375,2.6589049317654125E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,600.0,17220.93333333333,2.1478305707267344E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,700.0,12332.133333333337,1.8092426117717E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,800.0,9569.623529411765,1.6468018805664409E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,900.0,7489.509803921567,1.4859646948663788E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1000.0,6148.0901960784295,1.3542623005995968E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1100.0,5064.04705882353,1.2046131475911448E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1200.0,4446.133333333332,1.1462833849057276E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1300.0,3713.6901960784317,1.0653167968476951E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1400.0,3191.4509803921565,9533223.527670808,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1500.0,2746.1137254901964,8612356.413475428,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1600.0,2566.529411764706,8826116.231618434,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1700.0,2283.8745098039212,8116189.763131675,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1800.0,2028.949019607843,7810171.4063785365,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1900.0,1932.3921568627454,7754017.620841712,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2000.0,1787.6549019607846,7538177.050197243,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2100.0,1534.0117647058826,6712424.570392292,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2200.0,1480.9764705882355,6694922.213387004,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2300.0,1335.8,6341121.83954329,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2400.0,1216.7529411764706,6112941.917860793,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2500.0,1123.2745098039215,5934428.357057311,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2600.0,1061.2470588235294,5843139.600281748,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2700.0,997.1843137254903,5522186.733111271,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2800.0,984.3529411764706,5591408.392222969,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2900.0,871.2627450980394,5174462.487629719,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,3000.0,833.1529411764704,4983881.649963508,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,3100.0,789.7450980392156,4917246.721451763,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,3200.0,736.0352941176473,4607795.718730817,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,3300.0,693.1019607843137,4487521.058755933,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,3400.0,653.2156862745098,4316157.765157993,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,3500.0,639.5921568627451,4473869.5334992595,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,3600.0,608.4235294117648,4191798.0614847243,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,3700.0,581.3019607843138,4214724.943985465,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,3800.0,528.3215686274509,3956898.801164627,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,3900.0,502.3411764705882,3791181.441285669,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,4000.0,461.39607843137253,3433800.176923427,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,4100.0,468.9843137254902,3681760.5211763387,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,4200.0,414.09411764705885,3171764.0637153913,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,4300.0,451.956862745098,3702996.254097624,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,4400.0,391.70588235294116,3221831.4679714167,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,4500.0,420.07450980392156,3617250.281882825,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,4600.0,414.5529411764706,3563131.88198385,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,4700.0,367.3529411764706,3090284.187874796,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,4800.0,360.4156862745098,3065771.7646463206,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,4900.0,339.57254901960783,3177010.1024500947,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,5000.0,321.5019607843137,2814266.2327224817,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,5100.0,286.921568627451,2685063.113006048,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,5200.0,264.98431372549015,2404797.7428157586,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,5300.0,310.1686274509804,2936533.092630416,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,5400.0,268.5607843137255,2482092.059472471,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,5500.0,282.0666666666666,2927182.751846295,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,5600.0,257.6549019607843,2671365.0986918174,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,5700.0,245.3294117647059,2463853.1812668694,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,5800.0,236.71764705882353,2483054.7906281454,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,5900.0,231.56078431372552,2495539.859791022,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,6000.0,207.9764705882353,2183448.634538926,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,6100.0,205.63529411764705,2189507.4615352144,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,6200.0,213.50980392156862,2310092.960676411,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,6300.0,211.9686274509804,2396613.385824649,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,6400.0,185.0705882352941,2132438.7724405,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,6500.0,178.9372549019608,1997842.5851625404,"{""type"":""MultiPoint"",""coordinates"":[]}"
