system:index,Bin,TotalCellCount,TotalPopulationSum,.geo
0,0.0,1.7956762701960783E7,946467.989921853,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,5778276.239215687,9.667055323168847E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,200.0,222749.14901960778,4.341766923317705E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,300.0,81903.85490196077,2.796118408176864E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400.0,42769.78039215685,2.0720236771063272E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,500.0,25661.39607843138,1.6078653371652914E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,600.0,17220.93333333333,1.3104674824030116E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,700.0,12332.133333333337,1.1157653756860398E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,800.0,9569.623529411765,1.008629873989227E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,900.0,7489.509803921567,8905177.997967571,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1000.0,6148.0901960784295,8147356.682547643,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1100.0,5064.04705882353,7378272.360107109,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1200.0,4446.133333333333,7060688.089062603,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1300.0,3713.6901960784317,6448697.9335126085,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1400.0,3191.4509803921565,5915460.622246359,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1500.0,2746.1137254901964,5429718.197573288,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1600.0,2566.529411764706,5449562.685953786,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1700.0,2283.8745098039212,5121327.20130554,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1800.0,2028.949019607843,4826858.226726705,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1900.0,1932.3921568627452,4829722.730801694,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2000.0,1787.6549019607846,4700118.798348879,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2100.0,1534.0117647058826,4207775.722109187,"{""type"":""MultiPoint"",""coordinates"":[]}"
