system:index,Bin,TotalCellCount,TotalPopulationSum,.geo
0,0.0,2.0407471133333318E7,2.0739742206499986E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,3601230.1647058823,3.340613417198671E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,200.0,518762.34117647033,1.8294197968446246E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,300.0,260868.1411764706,1.3080857615555692E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400.0,159091.83921568625,1.0081693197896178E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,500.0,106588.16862745094,8.225843398740166E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,600.0,76378.39607843138,6.783232960914573E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,700.0,57788.400000000016,5.906646377004722E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,800.0,45376.47058823531,5.211072895404729E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,900.0,36341.83529411765,4.6195857461481474E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1000.0,29698.803921568626,4.168257027877951E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1100.0,24472.39215686275,3.7142923529781155E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1200.0,20805.525490196076,3.378395519482651E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1300.0,18026.478431372547,3.230671061323285E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1400.0,15816.55294117647,2.967130762196325E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1500.0,13613.780392156867,2.7484679350661427E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1600.0,12079.996078431373,2.556965936541368E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1700.0,10634.717647058822,2.405099353115947E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1800.0,9762.38823529412,2.3776953311448637E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1900.0,8614.960784313726,2.170107674506561E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2000.0,7911.521568627452,2.1080960386100795E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2100.0,7108.290196078433,1.962250128500281E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2200.0,6293.105882352941,1.8116073723209597E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2300.0,5843.807843137256,1.7752050750814978E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2400.0,5578.054901960783,1.7373850820681624E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2500.0,5074.78823529412,1.633225690332725E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2600.0,4621.435294117647,1.585785936365651E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2700.0,4317.756862745098,1.5030959522446703E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2800.0,3989.270588235294,1.4303552184496624E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2900.0,3738.231372549019,1.3891490931958977E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,3000.0,3561.76862745098,1.3273324854852399E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,3100.0,3350.0039215686274,1.3164854527254688E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,3200.0,3161.9686274509795,1.2592486706360715E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,3300.0,2897.0745098039215,1.2214910877025448E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,3400.0,2699.4823529411765,1.106549457597473E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,3500.0,2562.5529411764705,1.1254283827191548E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,3600.0,2414.588235294117,1.1114716490180768E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,3700.0,2267.572549019608,1.0265228579055475E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,3800.0,2134.235294117647,1.0286259026481375E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,3900.0,2058.5333333333333,1.0021080161799928E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,4000.0,2012.223529411765,1.0012997463241069E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,4100.0,1990.176470588236,1.0540788354193222E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,4200.0,1842.4705882352941,9696137.58903181,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,4300.0,1788.5725490196078,9647587.031289808,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,4400.0,1593.7843137254906,8696397.806342334,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,4500.0,1577.0823529411766,8764217.754017614,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,4600.0,1471.1999999999996,7749152.392628058,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,4700.0,1478.113725490196,8569589.876591872,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,4800.0,1400.313725490196,8574376.572513169,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,4900.0,1317.4156862745097,7791215.017070042,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,5000.0,1306.7882352941178,7862582.632139825,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,5100.0,1181.6392156862748,7451007.098230384,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,5200.0,1216.870588235294,7871721.313541319,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,5300.0,1153.0549019607843,7542561.852310029,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,5400.0,1087.0117647058826,6834019.897666896,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,5500.0,1104.9450980392155,7216344.951519813,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,5600.0,1002.4588235294118,6578369.034697773,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,5700.0,950.7803921568628,6460255.828524898,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,5800.0,972.2745098039215,6816271.798984857,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,5900.0,953.2274509803922,6676128.171366053,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,6000.0,835.0941176470587,6235545.665475884,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,6100.0,821.8588235294118,5880750.91415731,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,6200.0,853.3098039215687,6718507.9871034585,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,6300.0,815.3803921568626,5922851.490629503,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,6400.0,822.3450980392157,6400728.727009245,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,6500.0,736.6196078431371,5943830.818101839,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,6600.0,751.5607843137254,5734396.587102884,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,6700.0,757.2705882352941,6006344.886731098,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,6800.0,650.1215686274511,5364359.522090233,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,6900.0,665.7529411764706,5409982.058956003,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,7000.0,681.3450980392158,5608689.340920138,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,7100.0,660.1843137254903,5492522.293860948,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,7200.0,628.3176470588235,4905061.415789416,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,7300.0,616.5372549019608,5001065.236814746,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,7400.0,575.9686274509804,4897530.086643878,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,7500.0,595.5764705882353,5195260.103654497,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,7600.0,570.270588235294,4942671.50003664,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,7700.0,555.8156862745097,4910575.781182679,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,7800.0,499.21568627450984,4499920.413753217,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,7900.0,518.8470588235293,4895003.866835846,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,8000.0,538.9450980392157,5070098.933376857,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,8100.0,491.7686274509804,4653336.847303344,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,8200.0,486.32941176470587,4866207.015140419,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,8300.0,482.55686274509804,4470243.211270675,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,8400.0,490.57254901960795,4781023.080238139,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,8500.0,464.38823529411764,4432834.4415204115,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,8600.0,427.6117647058823,4423378.132565832,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,8700.0,431.36470588235295,4238220.37514255,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,8800.0,448.42745098039217,4382262.031702494,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,8900.0,443.39607843137253,4542620.043688709,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,9000.0,426.56078431372555,4657970.066059536,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,9100.0,396.9176470588235,3996112.2666631434,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,9200.0,407.9843137254902,4353169.582046506,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,9300.0,369.21568627450984,3988634.835607225,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,9400.0,399.5411764705882,4390250.311093638,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,9500.0,367.5882352941177,3879852.8094510627,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,9600.0,352.79607843137256,4001842.00169607,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,9700.0,390.46666666666664,4141311.1841539443,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,9800.0,362.50588235294117,3922104.164368962,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,9900.0,353.035294117647,3876141.344400511,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,10000.0,320.74901960784314,3554370.4849912124,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,10100.0,300.36470588235295,3349760.17288416,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,10200.0,331.6235294117647,3862900.147882594,"{""type"":""MultiPoint"",""coordinates"":[]}"
