system:index,Bin,GridcellCount,PopulationSum,.geo
0,0.0,2.6347749E7,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,5222021.0,1.1624209290990682E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,200.0,851151.0,1.2112105437259327E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,300.0,436948.0,1.0656414093959798E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400.0,269762.0,9.285947404071237E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,500.0,181815.0,8.077917789387582E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,600.0,130839.0,7.114964771455233E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,700.0,98885.0,6.363879293209655E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,800.0,77540.0,5.7620524786685295E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,900.0,62172.0,5.242866326448786E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1000.0,50577.0,4.765485647459926E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1100.0,41527.0,4.325100373394191E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1200.0,35203.0,4.015500486077003E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1300.0,30440.0,3.773483194101715E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1400.0,26593.0,3.5612403492312975E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1500.0,22850.0,3.2878157599982966E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1600.0,20143.0,3.0972908059490822E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1700.0,17763.0,2.906357973830231E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1800.0,16254.0,2.8186758216054477E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1900.0,14197.0,2.603993565466634E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2000.0,13038.0,2.5182737152460415E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2100.0,11747.0,2.387667823028139E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2200.0,10380.0,2.2104395461244978E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2300.0,9571.0,2.1360861416926406E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2400.0,9154.0,2.1330472331713133E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2500.0,8317.0,2.022051957958409E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2600.0,7544.0,1.906824366887614E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2700.0,7075.0,1.856717438111448E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2800.0,6543.0,1.7805315986506514E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2900.0,6097.0,1.7207579525618035E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,3000.0,5831.0,1.7043368718773004E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,3100.0,5483.0,1.6556182168513082E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,3200.0,5201.0,1.619258548024992E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,3300.0,4690.0,1.5115856099627832E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,3400.0,4390.0,1.4555566405120118E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,3500.0,4146.0,1.4141421520816294E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,3600.0,3952.0,1.388954369322618E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,3700.0,3666.0,1.3258707652181823E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,3800.0,3487.0,1.2893487112532826E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,3900.0,3344.0,1.2748983595350847E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,4000.0,3274.0,1.2826011629050314E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,4100.0,3188.0,1.2792463057955261E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,4200.0,2997.0,1.2322949379799511E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,4300.0,2881.0,1.2169972587831695E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,4400.0,2592.0,1.1193396691475863E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,4500.0,2549.0,1.12443744060532E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,4600.0,2357.0,1.0600976696826408E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,4700.0,2366.0,1.0893737293431515E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,4800.0,2266.0,1.0675257920418037E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,4900.0,2113.0,1.0151618261122426E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,5000.0,2112.0,1.034958711573455E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,5100.0,1891.0,9485729.223207751,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,5200.0,1958.0,9998964.897183832,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,5300.0,1841.0,9554824.64789875,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,5400.0,1769.0,9404343.60340126,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,5500.0,1758.0,9513077.458431464,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,5600.0,1617.0,8901511.2676907,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,5700.0,1522.0,8517605.759751817,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,5800.0,1595.0,9058694.325323384,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,5900.0,1529.0,8894756.762529438,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,6000.0,1348.0,7934030.389944979,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,6100.0,1333.0,7989855.379880957,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,6200.0,1366.0,8329680.568706329,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,6300.0,1309.0,8113588.106404617,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,6400.0,1313.0,8281718.361874605,"{""type"":""MultiPoint"",""coordinates"":[]}"
