system:index,Bin,GridcellCount,PopulationSum,.geo
0,0.0,2.5520422E7,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,3702517.0,6.925014476309256E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,200.0,333899.0,4.662326836384349E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,300.0,139629.0,3.370289079723239E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400.0,76530.0,2.6137909122319754E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,500.0,49106.0,2.165485486826687E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,600.0,35032.0,1.8920035828875903E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,700.0,26332.0,1.681343242373926E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,800.0,20989.0,1.54731168133583E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,900.0,17235.0,1.4415471472561717E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1000.0,14450.0,1.3497450857777948E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1100.0,12470.0,1.2900604371120377E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1200.0,10904.0,1.2324669221103312E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1300.0,9621.0,1.184201286107794E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1400.0,8371.0,1.1123511801318659E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1500.0,7774.0,1.1083263135166368E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1600.0,6922.0,1.05604261008406E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1700.0,6264.0,1.0173027702116486E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1800.0,5797.0,1.0004982542898552E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1900.0,5419.0,9899744.278823301,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2000.0,4940.0,9515520.33150406,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2100.0,4564.0,9209147.594752483,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2200.0,4287.0,9091765.987795755,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2300.0,3956.0,8779421.023137586,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2400.0,3710.0,8603255.18306976,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2500.0,3509.0,8504431.36788208,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2600.0,3325.0,8374897.818675023,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2700.0,3186.0,8360558.0012683775,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2800.0,2960.0,8048942.370430854,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2900.0,2853.0,8024202.154550113,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,3000.0,2656.0,7752196.269164802,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,3100.0,2418.0,7269823.331918024,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,3200.0,2321.0,7232451.997100335,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,3300.0,2256.0,7248449.716253918,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,3400.0,2173.0,7177941.453675169,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,3500.0,2017.0,6881314.209997203,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,3600.0,1940.0,6804557.182216542,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,3700.0,1883.0,6782967.57056563,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,3800.0,1774.0,6553805.439546166,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,3900.0,1713.0,6530156.222136423,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,4000.0,1594.0,6232335.397348093,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,4100.0,1507.0,6053450.08877673,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,4200.0,1451.0,5962386.966407926,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,4300.0,1347.0,5690086.1455283705,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,4400.0,1327.0,5702664.31892257,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,4500.0,1268.0,5575576.0139674945,"{""type"":""MultiPoint"",""coordinates"":[]}"
