system:index,Bin,TotalCellCount,TotalPopulationSum,.geo
0,0.0,1.5779645964705883E7,278586.9408089709,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,4334100.035294119,6.060585183999949E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,200.0,116015.57254901959,2.405121204381045E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,300.0,43834.266666666656,1.6274418684823995E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400.0,23594.768627450976,1.258052457659637E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,500.0,15205.168627450981,1.0632798367640074E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,600.0,11205.905882352943,9690141.148006728,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,700.0,8789.466666666665,9018312.038424795,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,800.0,7279.913725490198,8689007.833186582,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,900.0,6120.082352941177,8291204.654175823,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1000.0,5116.184313725489,7676718.728444218,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1100.0,4636.35294117647,7736754.047862523,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1200.0,4164.15294117647,7703399.626318413,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1300.0,3786.6470588235297,7653172.415391486,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1400.0,3466.192156862745,7467555.691075872,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1500.0,3138.2941176470586,7177485.647245632,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1600.0,2802.737254901961,6852771.164236018,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1700.0,2646.8196078431374,6838959.487221691,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1800.0,2309.7607843137253,6303459.412923044,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1900.0,2333.8313725490198,6834198.450921772,"{""type"":""MultiPoint"",""coordinates"":[]}"
