system:index,Bin,GridcellCount,PopulationSum,.geo
0,0.0,1.5778177E7,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,4308551.0,4.9262449157283045E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,200.0,170506.0,2.379197504457262E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,300.0,70452.0,1.7013638433583703E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400.0,38831.0,1.3263231125884827E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,500.0,24851.0,1.0944127764969874E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,600.0,17177.0,9265703.81389346,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,700.0,12935.0,8255769.824382415,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,800.0,10262.0,7563799.491086143,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,900.0,8436.0,7040549.105756776,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1000.0,6989.0,6529665.484941357,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1100.0,5987.0,6187362.604606125,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1200.0,5319.0,6021084.453258833,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1300.0,4675.0,5760533.653477787,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1400.0,4203.0,5595425.515560968,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1500.0,3775.0,5397618.521617838,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1600.0,3556.0,5439184.979968178,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1700.0,3153.0,5130940.895450796,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1800.0,3036.0,5238181.408509281,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1900.0,2859.0,5221313.335106825,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2000.0,2629.0,5058173.983308932,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2100.0,2467.0,4992718.065070732,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2200.0,2310.0,4885196.846661449,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2300.0,2147.0,4772972.059737022,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2400.0,2096.0,4872145.16650357,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2500.0,1994.0,4825816.037236921,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2600.0,1928.0,4853150.612164719,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2700.0,1846.0,4838430.22169696,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2800.0,1676.0,4558012.781122149,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2900.0,1669.0,4686453.596258377,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,3000.0,1567.0,4559476.0110370135,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,3100.0,1568.0,4719643.134179716,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,3200.0,1492.0,4649334.251795106,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,3300.0,1418.0,4559457.143021631,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,3400.0,1393.0,4616881.986843297,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,3500.0,1334.0,4555031.847810819,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,3600.0,1302.0,4584272.083940988,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,3700.0,1211.0,4361906.238504893,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,3800.0,1217.0,4509493.265465654,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,3900.0,1172.0,4449332.39944547,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,4000.0,1216.0,4758945.586385174,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,4100.0,1083.0,4341151.002979195,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,4200.0,1025.0,4232409.701512383,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,4300.0,1000.0,4210681.123855228,"{""type"":""MultiPoint"",""coordinates"":[]}"
