system:index,Bin,TotalCellCount,TotalPopulationSum,.geo
0,0.0,1.472962740784307E7,1655.7888502558103,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,4094231.1490195813,4.527371269855693E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,200.0,114855.15686274505,1.831572169892623E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,300.0,50823.921568627484,1.4126993077074666E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400.0,32363.03921568628,1.2707445786443712E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,500.0,23861.5568627451,1.2119432238864973E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,600.0,18424.521568627453,1.145426441457887E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,700.0,15123.372549019607,1.1134056717524443E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,800.0,12333.984313725492,1.0462413435801236E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,900.0,10523.64705882353,1.0091174465462983E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1000.0,8906.30588235294,9517450.582760558,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1100.0,7488.866666666666,8826378.669120278,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1200.0,6285.423529411764,8137251.190258572,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1300.0,5260.529411764706,7380703.762689197,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1400.0,4680.992156862745,7082505.72143524,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1500.0,3897.38431372549,6324929.191023223,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1600.0,3321.137254901961,5749002.659266914,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1700.0,2794.1372549019607,5142899.247086013,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1800.0,2372.3764705882354,4608635.043496234,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1900.0,1988.105882352941,4066475.8906470034,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2000.0,1781.81568627451,3831164.326983878,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2100.0,1462.6901960784312,3306148.110071361,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2200.0,1240.721568627451,2938553.5935555436,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2300.0,1037.9411764705883,2565597.3554844474,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2400.0,979.2745098039215,2528896.569516855,"{""type"":""MultiPoint"",""coordinates"":[]}"
