system:index,Bin,TotalCellCount,TotalPopulationSum,.geo
0,0.0,2078034.611764706,2.79845687513162E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,1684327.9098039216,2.5690360737446404E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,200.0,366209.18823529413,1.607056860073495E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,300.0,185298.11764705883,1.1945243291525175E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400.0,111184.59215686277,9.338617540324497E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,500.0,73099.53725490198,7.41321921306002E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,600.0,51635.23921568628,6.109907179089056E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,700.0,37826.8274509804,5.170706617789918E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,800.0,28823.592156862742,4.458101058488902E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,900.0,22363.796078431376,3.756933997211603E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1000.0,17829.341176470585,3.3543885130808122E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1100.0,14658.45490196079,3.0024823516014952E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1200.0,11985.176470588238,2.6457228701883554E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1300.0,10225.243137254902,2.4015695189057846E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1400.0,8712.796078431373,2.2399840163466167E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1500.0,7392.701960784315,2.0176967717101578E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1600.0,6440.921568627451,1.8888182724300273E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1700.0,5597.149019607843,1.74312411895052E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1800.0,4869.917647058823,1.5818720379039181E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1900.0,4516.713725490196,1.500867798560691E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2000.0,3948.4352941176476,1.4490390659466125E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2100.0,3518.3294117647056,1.3099939695357094E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2200.0,3171.7450980392155,1.2237545826305278E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2300.0,2846.8274509803923,1.146612023808681E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2400.0,2654.3764705882354,1.1291570186709514E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
